date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,230.1,231.66,228.88,231.57,7961870.0,230.601,36197
2024-08-29 15:00:00,231.58,232.73,230.31,232.37,6391336.0,231.683,30783
2024-08-29 16:00:00,232.34,232.92,231.49,231.68,3873833.0,232.278,20423
2024-08-29 17:00:00,231.67,232.71,231.6,232.54,2765948.0,232.235,14182
2024-08-29 18:00:00,232.53,232.58,231.34,231.74,2956623.0,231.977,15229
2024-08-29 19:00:00,231.75,231.75,229.85,230.45,3788558.0,230.69,19634
2024-08-29 20:00:00,230.43,230.78,229.33,229.83,5286058.0,229.991,29970
2024-08-30 14:30:00,230.19,230.4,228.81,229.07,4265398.0,229.744,18918
2024-08-30 15:00:00,229.1,230.01,228.54,228.69,4264461.0,229.172,20863
2024-08-30 16:00:00,228.7,229.0,227.54,228.62,3208347.0,228.338,16666
2024-08-30 17:00:00,228.61,228.88,227.48,228.36,2338787.0,228.133,11912
2024-08-30 18:00:00,228.37,228.72,227.67,227.76,1562704.0,228.17,9031
2024-08-30 19:00:00,227.77,228.69,227.66,228.56,2229074.0,228.058,12607
2024-08-30 20:00:00,228.56,229.85,228.24,228.86,7107507.0,228.921,36268
2024-09-03 14:30:00,228.55,229.0,225.3,226.16,5159511.0,226.992,22740
2024-09-03 15:00:00,226.19,226.48,223.51,223.65,4867498.0,224.802,27873
2024-09-03 16:00:00,223.65,224.67,223.27,223.54,3094347.0,224.041,18076
2024-09-03 17:00:00,223.55,224.32,223.34,223.71,2245287.0,223.806,13506
2024-09-03 18:00:00,223.72,224.15,223.18,223.21,1967720.0,223.666,11376
2024-09-03 19:00:00,223.24,223.3,221.82,221.94,3505503.0,222.359,20683
2024-09-03 20:00:00,221.95,222.8,221.17,222.76,6960625.0,222.206,41160
2024-09-04 14:30:00,221.7,221.78,219.04,219.57,5120283.0,220.244,23168
2024-09-04 15:00:00,219.56,219.62,217.48,219.45,7332605.0,218.585,38677
2024-09-04 16:00:00,219.48,220.25,218.01,219.32,3541593.0,219.199,19009
2024-09-04 17:00:00,219.31,220.22,219.08,220.22,2266714.0,219.732,12873
