date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,196.0,196.06,193.85,194.41,169948.0,194.967,893
2024-08-29 15:00:00,194.5,196.21,194.48,195.87,245350.0,195.475,1499
2024-08-29 16:00:00,195.9,196.44,195.76,195.96,174314.0,195.997,1176
2024-08-29 17:00:00,195.97,196.34,195.86,196.1,186393.0,196.071,1242
2024-08-29 18:00:00,196.12,196.12,195.25,195.36,118900.0,195.648,926
2024-08-29 19:00:00,195.34,195.82,195.09,195.44,194275.0,195.467,1469
2024-08-29 20:00:00,195.35,195.73,194.93,195.2,450831.0,195.232,3466
2024-08-30 14:30:00,195.25,196.16,194.73,195.56,105373.0,195.392,479
2024-08-30 15:00:00,195.51,196.01,194.82,195.18,158473.0,195.388,1181
2024-08-30 16:00:00,195.17,195.32,194.43,194.53,153063.0,194.707,1203
2024-08-30 17:00:00,194.51,195.05,194.17,194.98,115202.0,194.65,692
2024-08-30 18:00:00,195.02,195.16,194.5,194.78,70401.0,194.783,574
2024-08-30 19:00:00,194.76,195.22,194.66,194.98,124505.0,194.966,980
2024-08-30 20:00:00,194.99,196.49,194.81,196.25,607191.0,195.82,3931
2024-09-03 14:30:00,196.14,199.05,196.09,198.82,249738.0,197.298,820
2024-09-03 15:00:00,198.9,199.9,197.92,199.85,374017.0,198.928,2242
2024-09-03 16:00:00,199.83,199.95,198.2,198.79,244986.0,198.688,1580
2024-09-03 17:00:00,198.78,199.28,198.44,198.57,212416.0,198.82,1098
2024-09-03 18:00:00,198.61,199.03,198.11,198.48,225174.0,198.549,1548
2024-09-03 19:00:00,198.47,199.23,198.18,198.41,272917.0,198.861,1968
2024-09-03 20:00:00,198.33,198.43,197.36,197.7,898105.0,197.674,6665
2024-09-04 14:30:00,198.68,199.88,198.41,198.82,209070.0,199.213,939
2024-09-04 15:00:00,198.83,199.07,197.26,197.46,248016.0,198.043,1700
2024-09-04 16:00:00,197.51,198.17,197.42,197.77,161400.0,197.749,892
2024-09-04 17:00:00,197.73,197.8,197.06,197.3,142992.0,197.379,959
2024-09-04 18:00:00,197.32,197.41,196.44,196.87,135042.0,196.87,989
2024-09-04 19:00:00,196.88,197.4,196.73,197.23,154389.0,197.097,1137
2024-09-04 20:00:00,197.24,197.98,196.94,197.0,640314.0,197.277,3940
2024-09-05 14:30:00,196.96,197.13,194.93,195.64,221936.0,196.048,1179
2024-09-05 15:00:00,195.66,195.66,193.76,193.9,357714.0,194.696,2431
2024-09-05 16:00:00,193.85,193.93,192.55,192.86,320299.0,193.105,2384
2024-09-05 17:00:00,192.84,192.92,192.43,192.75,229164.0,192.754,1604
2024-09-05 18:00:00,192.76,192.95,192.17,192.91,239922.0,192.562,1791
2024-09-05 19:00:00,192.9,193.63,192.82,193.38,264814.0,193.137,2108
2024-09-05 20:00:00,193.36,193.45,192.16,192.82,1027467.0,192.643,5928
2024-09-06 14:30:00,193.47,194.74,193.47,194.11,149320.0,194.004,767
2024-09-06 15:00:00,194.09,194.39,192.83,193.08,246540.0,193.672,1742
2024-09-06 16:00:00,193.11,194.17,192.9,193.55,254852.0,193.502,1975
2024-09-06 17:00:00,193.49,193.8,193.02,193.05,136889.0,193.469,1028
2024-09-06 18:00:00,193.09,193.48,192.94,193.39,203501.0,193.256,1148
2024-09-06 19:00:00,193.4,193.62,192.99,193.15,280596.0,193.334,1480
2024-09-06 20:00:00,193.16,194.2,192.93,193.46,713739.0,193.36,4555
2024-09-09 14:30:00,194.97,195.8,193.94,194.93,196377.0,194.924,807
2024-09-09 15:00:00,194.88,195.84,194.77,195.77,189610.0,195.198,1466
2024-09-09 16:00:00,195.76,196.38,194.95,195.67,165952.0,195.775,1072
2024-09-09 17:00:00,195.64,196.53,195.59,196.25,169978.0,196.08,1063
2024-09-09 18:00:00,196.23,196.44,195.84,196.14,146221.0,196.096,1103
2024-09-09 19:00:00,196.11,196.6,196.07,196.35,169488.0,196.346,1241
2024-09-09 20:00:00,196.36,196.61,196.05,196.4,368785.0,196.322,2765
2024-09-10 14:30:00,196.12,198.34,195.0,197.6,321431.0,197.387,964
2024-09-10 15:00:00,197.63,198.75,197.14,197.84,317668.0,197.986,1658
2024-09-10 16:00:00,197.9,198.41,197.44,197.71,165577.0,197.917,1211
2024-09-10 17:00:00,197.7,197.73,192.91,196.99,877917.0,195.961,5050
2024-09-10 18:00:00,196.99,197.54,196.81,197.33,293993.0,197.149,1766
2024-09-10 19:00:00,197.34,198.19,197.21,198.01,238816.0,197.722,1236
