date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,331.67,332.26,329.25,330.97,51023.0,330.904,227
2024-08-29 15:00:00,330.82,333.08,330.82,331.5,61777.0,332.203,347
2024-08-29 16:00:00,331.55,332.3,331.08,332.3,30370.0,331.662,247
2024-08-29 17:00:00,332.25,334.27,332.0,333.19,47719.0,333.231,370
2024-08-29 18:00:00,333.37,333.62,332.35,333.52,23533.0,333.134,195
2024-08-29 19:00:00,333.38,333.46,331.02,331.42,27385.0,332.298,179
2024-08-29 20:00:00,331.39,331.79,330.21,331.1,116365.0,330.829,874
2024-08-30 14:30:00,331.95,334.44,331.94,334.29,52731.0,333.039,217
2024-08-30 15:00:00,334.02,335.66,333.32,333.32,88739.0,334.679,623
2024-08-30 16:00:00,333.38,333.75,331.37,331.37,62206.0,332.357,495
2024-08-30 17:00:00,331.37,332.26,330.3,332.2,34510.0,331.314,307
2024-08-30 18:00:00,332.2,333.1,332.19,332.89,34807.0,332.64,262
2024-08-30 19:00:00,332.86,333.65,332.78,333.44,45591.0,333.346,296
2024-08-30 20:00:00,333.32,335.56,332.83,333.63,226600.0,334.098,1810
2024-09-03 14:30:00,331.89,333.14,329.98,332.55,141185.0,331.829,625
2024-09-03 15:00:00,332.57,333.03,331.24,332.53,85138.0,332.088,624
2024-09-03 16:00:00,332.52,332.64,330.14,330.4,57896.0,331.34,373
2024-09-03 17:00:00,330.37,331.62,330.26,330.98,30571.0,330.878,214
2024-09-03 18:00:00,330.98,332.27,330.84,332.02,36290.0,331.695,243
2024-09-03 19:00:00,331.94,332.07,330.95,331.18,52641.0,331.466,388
2024-09-03 20:00:00,331.11,331.3,329.1,330.69,153242.0,330.207,1208
2024-09-04 14:30:00,329.93,330.0,327.59,329.24,66168.0,329.059,279
2024-09-04 15:00:00,329.37,330.16,327.87,329.72,59614.0,329.019,417
2024-09-04 16:00:00,329.9,330.73,329.12,330.54,48184.0,330.021,315
2024-09-04 17:00:00,330.45,330.48,328.81,330.02,44407.0,329.345,373
2024-09-04 18:00:00,330.01,330.05,328.79,328.79,21830.0,329.572,158
2024-09-04 19:00:00,328.97,330.26,328.75,329.89,26745.0,329.569,199
2024-09-04 20:00:00,329.8,331.1,329.63,330.62,121965.0,330.624,909
2024-09-05 14:30:00,330.9,331.86,326.28,327.89,49389.0,329.249,234
2024-09-05 15:00:00,327.97,328.15,324.36,324.44,88605.0,326.267,596
2024-09-05 16:00:00,324.58,324.58,321.91,322.27,77806.0,322.928,601
2024-09-05 17:00:00,322.27,324.75,321.97,324.41,62436.0,323.315,501
2024-09-05 18:00:00,324.35,325.69,323.72,325.6,37360.0,324.436,287
2024-09-05 19:00:00,325.7,326.08,324.98,324.98,31625.0,325.486,229
2024-09-05 20:00:00,324.8,325.26,323.17,324.45,142274.0,324.054,1177
2024-09-06 14:30:00,324.9,326.97,324.58,325.19,68636.0,325.063,187
2024-09-06 15:00:00,325.12,325.53,322.02,322.02,105409.0,324.307,641
2024-09-06 16:00:00,322.07,323.4,319.63,320.12,163739.0,321.286,887
2024-09-06 17:00:00,320.19,321.27,319.0,319.76,75061.0,319.966,504
2024-09-06 18:00:00,319.56,320.96,319.4,320.68,44979.0,320.241,288
2024-09-06 19:00:00,320.6,321.79,320.26,320.97,51936.0,320.891,346
2024-09-06 20:00:00,321.01,322.11,319.95,320.65,172557.0,320.998,1297
2024-09-09 14:30:00,322.52,324.79,320.1,324.07,102489.0,322.842,356
2024-09-09 15:00:00,324.2,326.34,324.09,324.82,78270.0,324.997,451
2024-09-09 16:00:00,324.74,326.83,323.76,326.05,75161.0,325.287,549
2024-09-09 17:00:00,326.0,327.81,325.9,327.21,95903.0,326.816,435
2024-09-09 18:00:00,327.37,327.66,325.73,325.73,38571.0,326.826,294
2024-09-09 19:00:00,325.74,325.76,324.54,324.66,37216.0,325.309,291
2024-09-09 20:00:00,324.63,326.32,324.24,325.92,119042.0,325.232,836
2024-09-10 14:30:00,327.0,327.0,322.73,323.84,90184.0,325.067,405
2024-09-10 15:00:00,323.86,324.36,322.39,324.25,103175.0,323.213,605
2024-09-10 16:00:00,324.16,325.97,324.05,324.14,48068.0,324.736,403
2024-09-10 17:00:00,323.94,325.0,323.14,324.77,39260.0,323.616,274
2024-09-10 18:00:00,324.8,326.93,324.75,326.5,27383.0,326.126,173
2024-09-10 19:00:00,326.63,327.94,326.59,327.86,62492.0,327.386,467
2024-09-10 20:00:00,327.81,329.23,326.75,328.98,151142.0,328.285,1058
2024-09-11 14:30:00,327.81,327.89,321.71,322.85,78897.0,324.877,400
2024-09-11 15:00:00,322.64,322.64,320.3,321.85,115482.0,321.373,709
2024-09-11 16:00:00,321.55,325.63,321.2,324.61,55319.0,323.364,395
2024-09-11 17:00:00,324.75,327.61,324.66,327.37,43920.0,326.337,378
2024-09-11 18:00:00,327.38,328.23,326.95,327.46,34077.0,327.543,281
2024-09-11 19:00:00,327.46,330.48,326.75,328.86,76807.0,328.642,620
2024-09-11 20:00:00,328.82,330.65,328.39,330.0,160891.0,329.629,1117
2024-09-12 14:30:00,330.22,332.38,328.03,328.38,57293.0,329.762,222
2024-09-12 15:00:00,328.03,328.92,326.91,327.05,62623.0,327.728,402
2024-09-12 16:00:00,327.0,328.85,326.41,328.57,66640.0,327.898,492
2024-09-12 17:00:00,328.74,329.34,327.06,329.34,21136.0,328.277,166
2024-09-12 18:00:00,329.52,330.06,327.92,328.09,58648.0,329.135,394
2024-09-12 19:00:00,328.26,329.24,327.46,328.25,91158.0,328.525,587
2024-09-12 20:00:00,328.43,330.15,327.6,330.15,205258.0,328.667,1541
2024-09-13 14:30:00,327.96,331.67,327.15,329.09,77364.0,329.335,368
2024-09-13 15:00:00,329.02,331.29,328.09,330.5,63990.0,329.681,392
2024-09-13 16:00:00,330.55,333.91,329.43,333.89,95520.0,330.979,487
2024-09-13 17:00:00,333.88,334.45,332.02,333.01,44434.0,333.074,318
2024-09-13 18:00:00,332.7,333.33,331.57,331.71,55883.0,332.815,333
2024-09-13 19:00:00,331.5,332.95,330.97,332.81,56405.0,332.103,434
2024-09-13 20:00:00,332.75,332.98,331.68,332.41,116273.0,332.317,955
2024-09-16 14:30:00,335.84,337.56,333.8,337.13,105602.0,335.521,471
2024-09-16 15:00:00,337.13,337.46,334.77,335.99,70787.0,336.2,469
2024-09-16 16:00:00,336.02,336.76,334.24,334.3,65647.0,335.854,483
2024-09-16 17:00:00,334.35,334.52,332.91,334.34,98262.0,333.413,617
2024-09-16 18:00:00,334.35,335.33,333.84,334.79,40458.0,334.605,292
2024-09-16 19:00:00,334.75,335.28,334.15,335.28,41814.0,334.683,312
2024-09-16 20:00:00,335.31,335.96,334.38,335.43,156930.0,335.294,1170
2024-09-17 14:30:00,334.58,334.58,331.13,331.51,65907.0,332.815,298
2024-09-17 15:00:00,331.61,333.9,331.08,331.47,62966.0,332.6,462
