date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,340.0,340.37,338.8,339.15,16815.0,339.628,76
2024-08-29 15:00:00,339.55,343.87,339.54,343.57,43286.0,342.379,333
2024-08-29 16:00:00,343.57,344.93,343.55,344.36,90703.0,344.386,476
2024-08-29 17:00:00,344.18,345.56,344.06,344.42,51500.0,344.757,339
2024-08-29 18:00:00,344.47,344.63,343.44,344.21,34612.0,344.148,264
2024-08-29 19:00:00,344.08,344.65,343.69,344.23,30160.0,344.105,227
2024-08-29 20:00:00,344.06,345.07,342.78,343.6,201509.0,343.614,1457
2024-08-30 14:30:00,343.76,345.43,341.25,342.32,30788.0,343.035,176
2024-08-30 15:00:00,342.51,342.93,341.71,342.77,27195.0,342.368,234
2024-08-30 16:00:00,342.77,342.78,340.15,340.86,42539.0,341.259,346
2024-08-30 17:00:00,340.71,341.27,339.92,341.27,16349.0,340.655,138
2024-08-30 18:00:00,341.38,341.93,341.35,341.65,19288.0,341.634,173
2024-08-30 19:00:00,341.66,342.53,341.51,342.51,21692.0,342.062,188
2024-08-30 20:00:00,342.6,343.89,342.05,343.59,105783.0,343.318,840
2024-09-03 14:30:00,344.73,347.37,344.51,347.01,46756.0,345.891,218
2024-09-03 15:00:00,347.5,349.43,346.66,349.05,70486.0,348.018,437
2024-09-03 16:00:00,349.12,349.84,347.83,348.31,36179.0,348.594,285
2024-09-03 17:00:00,348.08,348.35,346.28,346.28,26612.0,347.152,229
2024-09-03 18:00:00,346.37,347.38,346.37,346.74,21257.0,346.926,187
2024-09-03 19:00:00,346.72,346.72,345.55,345.69,29394.0,346.115,265
2024-09-03 20:00:00,345.69,346.8,344.71,346.42,178539.0,345.829,1389
2024-09-04 14:30:00,347.31,349.87,346.41,348.44,24343.0,348.038,148
2024-09-04 15:00:00,348.44,349.65,347.69,348.19,49705.0,348.241,377
2024-09-04 16:00:00,348.32,348.59,347.88,348.5,43990.0,348.261,281
2024-09-04 17:00:00,348.3,348.36,347.6,347.86,16596.0,347.891,131
2024-09-04 18:00:00,347.86,347.87,346.92,347.26,14793.0,347.228,128
2024-09-04 19:00:00,347.29,348.53,347.29,348.33,31225.0,348.21,156
2024-09-04 20:00:00,348.34,348.78,348.05,348.34,111533.0,348.449,866
2024-09-05 14:30:00,349.83,349.83,345.09,345.73,47661.0,347.656,209
2024-09-05 15:00:00,345.99,347.79,345.94,347.59,67126.0,347.074,459
2024-09-05 16:00:00,347.31,347.92,346.98,347.75,30967.0,347.435,241
2024-09-05 17:00:00,347.48,348.55,347.27,348.38,26684.0,347.767,198
2024-09-05 18:00:00,348.23,348.38,347.55,347.97,21985.0,348.02,197
2024-09-05 19:00:00,348.15,349.25,348.06,349.05,25359.0,348.468,186
2024-09-05 20:00:00,349.11,349.32,348.02,349.04,55819.0,348.688,420
2024-09-06 14:30:00,349.39,350.28,348.93,349.56,35337.0,349.827,112
2024-09-06 15:00:00,349.8,350.01,347.58,347.88,95502.0,348.613,648
2024-09-06 16:00:00,347.86,349.34,347.23,347.32,59410.0,348.219,328
2024-09-06 17:00:00,347.23,347.92,346.96,347.73,26277.0,347.389,175
2024-09-06 18:00:00,347.84,348.39,346.5,347.12,43068.0,347.52,380
2024-09-06 19:00:00,347.11,347.73,346.7,347.69,32354.0,347.251,265
2024-09-06 20:00:00,347.82,348.38,347.34,348.13,172986.0,347.96,1425
2024-09-09 14:30:00,348.98,348.98,347.28,348.01,16245.0,348.532,75
2024-09-09 15:00:00,347.78,349.38,347.78,348.23,43229.0,348.454,330
2024-09-09 16:00:00,348.38,349.85,347.48,349.35,37210.0,348.741,299
2024-09-09 17:00:00,349.27,351.02,349.11,350.67,84206.0,350.047,392
2024-09-09 18:00:00,350.55,351.0,350.17,350.9,21714.0,350.471,163
2024-09-09 19:00:00,350.81,351.0,350.25,350.65,14348.0,350.565,123
2024-09-09 20:00:00,350.59,350.65,349.48,350.5,69200.0,350.161,531
2024-09-10 14:30:00,350.96,352.49,348.86,350.73,35174.0,351.303,194
2024-09-10 15:00:00,350.53,350.71,349.07,350.16,21105.0,349.87,134
2024-09-10 16:00:00,350.35,352.18,350.07,351.03,20340.0,351.406,130
2024-09-10 17:00:00,350.97,351.27,350.15,350.62,25582.0,350.613,124
2024-09-10 18:00:00,350.62,351.34,350.15,351.14,39150.0,350.562,240
2024-09-10 19:00:00,351.13,351.28,349.95,351.14,28966.0,350.857,257
2024-09-10 20:00:00,351.15,352.0,350.59,351.06,99500.0,351.147,759
2024-09-11 14:30:00,350.88,350.88,343.62,344.61,29833.0,346.391,176
2024-09-11 15:00:00,344.24,344.49,340.46,340.98,108149.0,341.427,689
2024-09-11 16:00:00,340.98,341.48,339.96,340.64,45111.0,340.883,306
2024-09-11 17:00:00,340.63,342.19,339.29,341.6,88636.0,340.91,430
2024-09-11 18:00:00,341.6,342.82,341.52,341.76,58695.0,341.998,394
2024-09-11 19:00:00,341.72,342.15,341.07,341.86,81142.0,341.882,603
2024-09-11 20:00:00,341.91,345.03,341.34,344.65,132725.0,343.699,1018
2024-09-12 14:30:00,344.5,345.66,343.61,344.96,20913.0,344.709,138
2024-09-12 15:00:00,344.72,346.46,344.18,345.89,55312.0,345.762,421
2024-09-12 16:00:00,346.04,346.54,344.98,346.45,54848.0,345.892,463
2024-09-12 17:00:00,346.45,347.58,346.35,347.58,17245.0,346.799,162
2024-09-12 18:00:00,347.53,348.51,347.37,348.29,27875.0,347.867,219
2024-09-12 19:00:00,348.25,349.24,347.64,347.92,37662.0,348.553,279
2024-09-12 20:00:00,348.04,349.14,347.86,348.12,110232.0,348.399,825
2024-09-13 14:30:00,348.0,348.4,345.74,347.81,21669.0,347.256,94
2024-09-13 15:00:00,348.11,348.5,346.71,348.13,20518.0,347.78,140
2024-09-13 16:00:00,348.29,349.72,348.13,349.72,16532.0,349.177,104
2024-09-13 17:00:00,349.55,349.55,347.71,348.2,16909.0,348.653,130
2024-09-13 18:00:00,348.2,349.23,348.2,348.75,10197.0,348.751,73
2024-09-13 19:00:00,348.7,349.29,348.25,348.7,12464.0,348.558,96
2024-09-13 20:00:00,348.81,348.81,347.43,347.85,83203.0,348.091,649
2024-09-16 14:30:00,350.0,353.51,349.65,353.32,36074.0,351.352,182
2024-09-16 15:00:00,352.93,353.54,351.45,351.78,29896.0,352.285,210
2024-09-16 16:00:00,351.81,352.3,351.1,351.89,17355.0,351.753,137
2024-09-16 17:00:00,351.85,352.02,351.65,351.88,15550.0,351.865,129
2024-09-16 18:00:00,351.78,351.78,350.65,350.73,16988.0,351.219,147
2024-09-16 19:00:00,350.73,351.0,350.34,350.92,11417.0,350.689,102
2024-09-16 20:00:00,350.93,351.0,350.25,350.74,58558.0,350.757,462
2024-09-17 14:30:00,350.55,350.55,348.29,348.9,18688.0,349.498,129
2024-09-17 15:00:00,348.9,349.22,346.44,347.28,32304.0,347.762,247
2024-09-17 16:00:00,347.4,348.73,347.4,348.33,30106.0,348.235,271
2024-09-17 17:00:00,348.15,348.93,347.14,347.5,21150.0,348.26,172
2024-09-17 18:00:00,347.5,348.91,347.48,348.59,14619.0,347.971,131
2024-09-17 19:00:00,348.55,349.2,348.4,348.78,8263.0,348.851,79
2024-09-17 20:00:00,348.78,349.53,348.15,349.5,57053.0,348.949,471
2024-09-18 14:30:00,349.79,349.79,347.62,348.81,35387.0,349.063,83
2024-09-18 15:00:00,348.84,349.77,348.6,348.98,20596.0,349.097,149
2024-09-18 16:00:00,348.89,350.5,348.88,350.5,23495.0,349.418,97
2024-09-18 17:00:00,350.5,350.5,349.58,349.58,8620.0,350.001,75
2024-09-18 18:00:00,349.53,350.29,349.1,349.4,30211.0,349.653,201
2024-09-18 19:00:00,349.4,351.02,347.33,348.17,92773.0,348.509,756
