date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,102.65,103.71,97.65,99.03,2252320.0,99.77,10834
2024-08-29 15:00:00,99.0,103.49,98.9,101.84,2480644.0,101.934,13778
2024-08-29 16:00:00,101.94,102.36,100.98,101.29,851997.0,101.61,4917
2024-08-29 17:00:00,101.28,101.35,100.42,100.78,483758.0,100.867,3168
2024-08-29 18:00:00,100.78,101.83,100.7,101.46,440049.0,101.314,2482
2024-08-29 19:00:00,101.49,101.49,99.46,100.02,503902.0,100.201,3017
2024-08-29 20:00:00,100.03,100.25,99.31,100.18,1356040.0,99.83,8692
2024-08-30 14:30:00,100.77,102.1,99.16,99.5,369322.0,100.231,1624
2024-08-30 15:00:00,99.51,100.08,98.86,99.97,504853.0,99.615,3145
2024-08-30 16:00:00,99.96,100.0,99.12,99.66,364930.0,99.584,2503
2024-08-30 17:00:00,99.68,99.7,99.13,99.61,221471.0,99.409,1350
2024-08-30 18:00:00,99.61,99.99,98.94,99.2,254855.0,99.316,1908
2024-08-30 19:00:00,99.21,99.8,99.17,99.76,217688.0,99.574,1547
2024-08-30 20:00:00,99.77,100.48,99.6,100.39,829342.0,100.184,5522
2024-09-03 14:30:00,100.0,101.73,99.7,100.97,170253.0,100.825,823
2024-09-03 15:00:00,100.98,101.58,100.16,101.56,305225.0,100.894,2148
2024-09-03 16:00:00,101.56,102.22,101.42,101.99,262068.0,101.815,1919
2024-09-03 17:00:00,101.99,102.76,101.97,102.0,283242.0,102.349,1994
2024-09-03 18:00:00,101.99,102.7,101.92,102.21,202686.0,102.326,1263
2024-09-03 19:00:00,102.21,102.23,100.92,100.92,247786.0,101.586,1674
2024-09-03 20:00:00,100.9,101.21,100.26,100.95,624342.0,100.83,3991
2024-09-04 14:30:00,100.65,101.03,99.83,100.12,206348.0,100.499,1186
2024-09-04 15:00:00,100.15,100.52,99.46,100.25,173824.0,100.011,1316
2024-09-04 16:00:00,100.25,100.39,99.16,99.31,142563.0,99.61,1096
2024-09-04 17:00:00,99.3,100.11,99.21,100.03,181146.0,99.715,1364
2024-09-04 18:00:00,100.02,100.11,99.33,99.49,149140.0,99.646,1073
2024-09-04 19:00:00,99.49,99.61,99.05,99.14,242361.0,99.29,1581
2024-09-04 20:00:00,99.11,100.02,99.08,99.96,456637.0,99.626,3270
2024-09-05 14:30:00,100.22,100.49,99.54,100.11,82272.0,100.121,442
2024-09-05 15:00:00,100.14,101.01,99.99,100.0,128805.0,100.449,906
2024-09-05 16:00:00,99.95,100.01,99.09,99.29,108922.0,99.448,799
2024-09-05 17:00:00,99.26,99.39,98.91,99.2,90045.0,99.11,658
2024-09-05 18:00:00,99.2,99.55,99.03,99.41,91555.0,99.252,776
2024-09-05 19:00:00,99.45,99.46,99.16,99.35,111116.0,99.274,930
2024-09-05 20:00:00,99.34,99.54,98.92,99.41,383454.0,99.223,2773
2024-09-06 14:30:00,99.3,100.25,99.27,99.92,100702.0,99.872,569
2024-09-06 15:00:00,99.92,100.43,99.12,99.13,118744.0,99.82,869
2024-09-06 16:00:00,99.2,100.05,98.03,98.09,229855.0,98.655,1797
2024-09-06 17:00:00,98.11,98.65,98.1,98.38,132975.0,98.409,952
2024-09-06 18:00:00,98.4,98.72,98.25,98.39,142489.0,98.475,1146
2024-09-06 19:00:00,98.39,98.42,98.02,98.27,263783.0,98.172,1770
2024-09-06 20:00:00,98.28,98.99,98.27,98.51,509786.0,98.533,3534
2024-09-09 14:30:00,98.78,99.18,97.89,98.4,116742.0,98.545,695
2024-09-09 15:00:00,98.44,98.89,98.08,98.3,228417.0,98.424,1774
2024-09-09 16:00:00,98.29,98.93,98.04,98.54,169158.0,98.486,1352
2024-09-09 17:00:00,98.53,98.63,97.71,97.89,172746.0,98.253,1391
2024-09-09 18:00:00,97.88,98.5,97.87,98.14,217813.0,98.261,1631
2024-09-09 19:00:00,98.15,98.15,97.44,97.55,205110.0,97.81,1561
2024-09-09 20:00:00,97.54,98.09,97.29,98.09,586335.0,97.71,3840
2024-09-10 14:30:00,97.72,97.77,96.51,97.45,185671.0,97.082,1314
2024-09-10 15:00:00,97.37,97.79,96.99,97.31,344818.0,97.377,2679
2024-09-10 16:00:00,97.3,97.57,96.6,96.63,277847.0,97.15,2253
2024-09-10 17:00:00,96.63,97.03,96.37,96.86,199682.0,96.652,1678
2024-09-10 18:00:00,96.86,97.03,96.19,96.23,206527.0,96.593,1725
2024-09-10 19:00:00,96.2,96.24,95.41,95.76,414873.0,95.822,3360
2024-09-10 20:00:00,95.75,96.49,95.5,96.34,729878.0,96.137,5073
2024-09-11 14:30:00,96.07,96.67,95.57,95.72,113446.0,95.983,747
2024-09-11 15:00:00,95.7,95.75,94.83,95.65,206680.0,95.326,1578
2024-09-11 16:00:00,95.67,96.83,95.42,96.69,219133.0,96.217,1719
2024-09-11 17:00:00,96.67,97.29,96.52,97.12,164632.0,96.923,1136
2024-09-11 18:00:00,97.13,97.48,97.01,97.27,157300.0,97.205,1187
2024-09-11 19:00:00,97.27,97.28,96.57,96.64,250080.0,96.957,1853
2024-09-11 20:00:00,96.64,97.72,96.61,97.63,480724.0,97.288,3409
2024-09-12 14:30:00,97.35,98.36,96.54,96.65,81968.0,97.287,467
2024-09-12 15:00:00,96.64,97.49,96.49,97.2,139703.0,97.066,999
2024-09-12 16:00:00,97.21,97.39,96.76,96.88,150755.0,96.978,1200
2024-09-12 17:00:00,96.89,97.41,96.79,97.35,134666.0,96.964,956
2024-09-12 18:00:00,97.37,98.42,97.35,98.16,140594.0,97.811,919
2024-09-12 19:00:00,98.11,98.11,97.52,97.9,138226.0,97.942,1054
2024-09-12 20:00:00,97.9,98.12,97.42,97.75,365304.0,97.776,2786
2024-09-13 14:30:00,98.51,99.46,98.01,99.24,171360.0,98.975,1001
2024-09-13 15:00:00,99.26,99.36,98.59,98.66,155353.0,98.946,1254
2024-09-13 16:00:00,98.65,98.93,98.37,98.71,161454.0,98.627,1308
2024-09-13 17:00:00,98.72,98.73,98.32,98.32,74425.0,98.516,584
2024-09-13 18:00:00,98.33,98.48,98.2,98.28,89429.0,98.341,698
2024-09-13 19:00:00,98.28,98.37,97.97,98.23,165443.0,98.149,1170
2024-09-13 20:00:00,98.21,98.75,98.16,98.49,280605.0,98.492,2185
2024-09-16 14:30:00,98.75,98.76,97.37,98.01,178788.0,98.208,880
2024-09-16 15:00:00,98.02,98.06,97.09,97.64,231696.0,97.605,1746
2024-09-16 16:00:00,97.66,98.6,97.14,98.46,266860.0,97.662,2018
2024-09-16 17:00:00,98.44,98.81,98.0,98.75,175567.0,98.467,1379
2024-09-16 18:00:00,98.75,98.95,98.6,98.88,167189.0,98.786,1110
2024-09-16 19:00:00,98.85,99.14,98.78,99.03,162450.0,98.986,1264
2024-09-16 20:00:00,99.03,99.07,98.6,98.79,302058.0,98.803,2232
2024-09-17 14:30:00,99.37,100.16,99.1,99.42,135390.0,99.579,835
2024-09-17 15:00:00,99.45,100.28,99.41,99.71,159132.0,99.912,1195
2024-09-17 16:00:00,99.72,99.92,99.17,99.28,142859.0,99.534,1137
2024-09-17 17:00:00,99.28,99.58,99.06,99.16,160178.0,99.345,1254
2024-09-17 18:00:00,99.14,99.55,99.01,99.46,106991.0,99.312,821
2024-09-17 19:00:00,99.4,99.47,99.18,99.29,108938.0,99.341,962
2024-09-17 20:00:00,99.29,99.58,99.01,99.46,323292.0,99.287,2560
2024-09-18 14:30:00,99.5,99.65,98.81,99.29,96549.0,99.425,362
2024-09-18 15:00:00,99.27,99.94,99.12,99.44,216773.0,99.533,1535
2024-09-18 16:00:00,99.44,99.8,99.11,99.23,184591.0,99.528,1455
2024-09-18 17:00:00,99.23,99.23,99.04,99.2,72664.0,99.122,608
2024-09-18 18:00:00,99.22,99.29,98.86,99.04,100196.0,99.103,686
2024-09-18 19:00:00,98.98,100.36,98.81,99.17,312250.0,99.719,2125
2024-09-18 20:00:00,99.11,99.74,98.86,99.1,397144.0,99.201,2823
2024-09-19 14:30:00,99.46,100.66,99.0,100.6,298704.0,99.801,1489
2024-09-19 15:00:00,100.64,100.94,99.69,99.9,328003.0,100.481,2322
2024-09-19 16:00:00,99.85,99.94,98.81,99.05,294553.0,99.331,1754
2024-09-19 17:00:00,99.06,99.36,98.91,99.27,105644.0,99.114,736
2024-09-19 18:00:00,99.29,99.37,98.85,99.06,160461.0,99.102,942
2024-09-19 19:00:00,99.08,99.12,98.72,98.95,134219.0,98.929,912
2024-09-19 20:00:00,98.92,99.11,98.26,98.48,507069.0,98.533,3878
2024-09-20 14:30:00,98.37,98.5,97.25,97.83,241666.0,98.032,374
2024-09-20 15:00:00,97.78,97.88,96.99,97.07,103173.0,97.44,803
2024-09-20 16:00:00,97.07,97.64,96.9,97.39,102480.0,97.176,867
2024-09-20 17:00:00,97.4,98.06,97.35,97.83,90770.0,97.763,651
2024-09-20 18:00:00,97.83,97.88,97.41,97.54,80551.0,97.63,648
2024-09-20 19:00:00,97.56,97.63,96.98,97.36,121547.0,97.2,939
2024-09-20 20:00:00,97.36,97.43,96.77,97.29,532501.0,97.133,3404
2024-09-23 14:30:00,97.87,97.97,96.7,97.29,96057.0,97.498,459
2024-09-23 15:00:00,97.29,97.66,96.78,97.34,170387.0,97.198,1225
2024-09-23 16:00:00,97.32,97.47,97.0,97.27,91685.0,97.245,713
2024-09-23 17:00:00,97.26,98.17,96.94,98.03,230450.0,97.605,1527
2024-09-23 18:00:00,98.02,98.12,97.53,97.65,131468.0,97.753,1001
2024-09-23 19:00:00,97.66,97.79,97.48,97.67,97532.0,97.65,754
2024-09-23 20:00:00,97.67,98.23,97.61,97.83,329973.0,97.893,2420
2024-09-24 14:30:00,98.22,98.89,97.85,98.3,77051.0,98.31,473
2024-09-24 15:00:00,98.31,98.72,98.09,98.47,221464.0,98.416,1415
2024-09-24 16:00:00,98.45,98.6,97.91,98.03,137124.0,98.32,1121
2024-09-24 17:00:00,98.02,98.42,97.89,98.36,86978.0,98.119,706
2024-09-24 18:00:00,98.37,98.65,98.35,98.65,103281.0,98.491,845
2024-09-24 19:00:00,98.66,98.82,98.43,98.56,139644.0,98.59,1080
2024-09-24 20:00:00,98.55,99.0,98.55,98.97,354162.0,98.805,2671
2024-09-25 14:30:00,98.8,98.81,98.24,98.46,74958.0,98.604,375
2024-09-25 15:00:00,98.39,98.47,97.77,97.9,82734.0,98.073,656
2024-09-25 16:00:00,97.9,98.33,97.73,98.11,141571.0,98.022,1045
2024-09-25 17:00:00,98.09,98.38,98.03,98.05,111868.0,98.218,800
2024-09-25 18:00:00,98.06,98.35,97.91,98.22,127260.0,98.138,999
2024-09-25 19:00:00,98.24,98.48,97.92,98.41,114921.0,98.222,794
2024-09-25 20:00:00,98.39,98.41,97.57,97.86,299610.0,97.953,1816
2024-09-26 14:30:00,98.56,99.31,98.24,98.91,85323.0,98.807,404
2024-09-26 15:00:00,98.89,99.37,98.52,98.62,133268.0,98.861,972
2024-09-26 16:00:00,98.59,98.96,98.45,98.84,83065.0,98.722,711
2024-09-26 17:00:00,98.84,99.08,98.74,98.99,65878.0,98.93,547
2024-09-26 18:00:00,99.0,99.64,98.98,99.47,126095.0,99.376,931
2024-09-26 19:00:00,99.49,99.86,99.47,99.8,145154.0,99.629,1145
2024-09-26 20:00:00,99.78,100.19,99.49,99.99,460455.0,99.935,3109
2024-09-27 14:30:00,101.41,101.86,100.81,101.6,214224.0,101.439,961
2024-09-27 15:00:00,101.64,102.39,101.48,102.24,318445.0,102.051,2052
2024-09-27 16:00:00,102.27,102.51,101.97,102.25,239329.0,102.286,1702
2024-09-27 17:00:00,102.23,102.48,101.75,101.95,184568.0,102.196,1415
2024-09-27 18:00:00,101.95,102.2,101.8,101.85,130294.0,102.014,992
2024-09-27 19:00:00,101.85,102.61,101.85,102.57,278757.0,102.234,1633
2024-09-27 20:00:00,102.58,102.66,102.1,102.23,444500.0,102.319,2858
2024-07-30 14:30:00,85.48,86.11,85.43,85.87,133630.0,85.754,503
2024-07-30 15:00:00,85.84,85.97,84.72,84.97,188453.0,85.18,1285
2024-07-30 16:00:00,84.94,85.25,84.64,85.25,156319.0,84.882,924
2024-07-30 17:00:00,85.27,85.31,84.59,84.65,172964.0,84.863,1185
2024-07-30 18:00:00,84.61,84.92,84.48,84.78,106858.0,84.717,814
2024-07-30 19:00:00,84.79,85.12,84.67,84.87,155605.0,84.894,1114
