date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,888.66,889.34,884.78,885.13,16373.0,888.328,54
2024-08-29 15:00:00,885.05,891.86,885.04,889.1,15990.0,889.55,92
2024-08-29 16:00:00,889.3,893.14,889.12,893.14,8552.0,891.032,56
2024-08-29 17:00:00,893.57,894.81,892.58,893.85,6152.0,893.748,43
2024-08-29 18:00:00,893.94,898.62,893.45,897.75,13262.0,895.564,87
2024-08-29 19:00:00,897.75,898.66,891.33,893.7,19010.0,896.276,149
2024-08-29 20:00:00,892.9,897.01,892.81,895.59,28861.0,894.801,225
2024-08-30 14:30:00,898.29,899.66,894.89,897.76,17830.0,897.972,87
2024-08-30 15:00:00,897.57,898.75,895.44,896.92,13587.0,897.164,117
2024-08-30 16:00:00,896.78,897.05,891.48,893.04,10442.0,893.318,73
2024-08-30 17:00:00,892.63,894.05,889.96,893.89,11496.0,892.853,59
2024-08-30 18:00:00,893.46,895.14,892.55,894.35,6353.0,894.011,51
2024-08-30 19:00:00,894.5,897.86,894.5,897.86,6217.0,896.575,55
2024-08-30 20:00:00,897.7,903.46,896.7,902.39,50283.0,900.455,365
2024-09-03 14:30:00,899.07,900.0,890.83,893.79,17362.0,898.153,53
2024-09-03 15:00:00,893.59,893.69,886.15,888.45,12424.0,888.55,92
2024-09-03 16:00:00,888.63,894.16,888.2,893.39,16566.0,891.74,128
2024-09-03 17:00:00,893.13,894.07,887.2,887.2,8069.0,891.52,60
2024-09-03 18:00:00,887.83,889.79,886.88,887.32,15560.0,887.926,99
2024-09-03 19:00:00,886.75,888.11,885.38,885.38,9051.0,886.776,64
2024-09-03 20:00:00,885.38,886.76,881.01,886.15,26122.0,884.652,212
2024-09-04 14:30:00,880.33,890.7,880.33,886.0,21214.0,883.961,83
2024-09-04 15:00:00,884.94,887.94,882.6,886.63,20018.0,885.738,138
2024-09-04 16:00:00,886.63,887.85,880.83,880.83,19738.0,884.297,128
2024-09-04 17:00:00,881.1,883.07,880.7,880.92,5421.0,881.912,46
2024-09-04 18:00:00,880.97,880.97,879.17,880.14,8064.0,880.045,68
2024-09-04 19:00:00,879.6,882.5,879.24,880.83,14563.0,881.649,85
