date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,49.27,49.34,48.76,48.92,370836.0,48.983,1599
2024-08-29 15:00:00,48.92,49.47,48.91,49.32,903157.0,49.258,4087
2024-08-29 16:00:00,49.32,49.55,49.3,49.54,393968.0,49.422,2219
2024-08-29 17:00:00,49.55,49.73,49.54,49.58,580400.0,49.652,2891
2024-08-29 18:00:00,49.58,49.69,49.46,49.61,347206.0,49.593,1468
2024-08-29 19:00:00,49.61,49.71,49.49,49.61,627007.0,49.598,2425
2024-08-29 20:00:00,49.62,49.77,49.57,49.73,1808681.0,49.678,7933
2024-08-30 14:30:00,49.72,50.22,49.68,49.98,568946.0,49.959,2397
2024-08-30 15:00:00,49.96,50.14,49.92,50.01,604757.0,50.03,2960
2024-08-30 16:00:00,50.01,50.24,49.83,50.23,882802.0,49.989,4588
2024-08-30 17:00:00,50.23,50.24,49.99,50.09,617219.0,50.107,2832
2024-08-30 18:00:00,50.09,50.12,49.95,50.05,385067.0,50.047,2135
2024-08-30 19:00:00,50.04,50.1,49.95,49.98,364330.0,50.041,2054
2024-08-30 20:00:00,49.97,50.09,49.84,49.95,1378803.0,49.981,8428
2024-09-03 14:30:00,49.71,50.54,49.67,49.75,928692.0,49.986,3560
2024-09-03 15:00:00,49.75,50.15,49.65,50.15,893168.0,49.98,5286
2024-09-03 16:00:00,50.15,50.22,49.95,50.21,1012699.0,50.054,5051
2024-09-03 17:00:00,50.2,50.4,50.16,50.4,560780.0,50.313,3482
2024-09-03 18:00:00,50.4,50.58,50.3,50.48,667390.0,50.475,3663
2024-09-03 19:00:00,50.48,50.73,50.43,50.56,775221.0,50.606,4263
2024-09-03 20:00:00,50.55,50.74,50.45,50.55,1858349.0,50.579,10881
2024-09-04 14:30:00,50.72,50.75,50.23,50.28,512967.0,50.46,2139
2024-09-04 15:00:00,50.25,50.37,50.03,50.31,696349.0,50.218,4411
2024-09-04 16:00:00,50.3,50.45,50.05,50.09,426311.0,50.211,2594
2024-09-04 17:00:00,50.08,50.1,49.81,49.82,350365.0,49.932,1892
2024-09-04 18:00:00,49.82,49.89,49.68,49.78,427735.0,49.787,2378
2024-09-04 19:00:00,49.78,49.8,49.68,49.7,368636.0,49.732,2073
2024-09-04 20:00:00,49.71,50.02,49.54,49.95,1370807.0,49.797,7598
2024-09-05 14:30:00,50.08,50.14,49.43,49.47,423397.0,49.811,2332
2024-09-05 15:00:00,49.46,49.73,49.41,49.53,651708.0,49.547,3511
2024-09-05 16:00:00,49.53,49.66,49.43,49.48,585654.0,49.538,3317
2024-09-05 17:00:00,49.48,49.5,49.23,49.46,367716.0,49.393,2098
2024-09-05 18:00:00,49.45,50.07,49.44,50.05,537236.0,49.778,3091
2024-09-05 19:00:00,50.06,50.24,50.01,50.16,677162.0,50.147,3915
2024-09-05 20:00:00,50.15,50.16,49.6,49.8,1828727.0,49.755,9768
2024-09-06 14:30:00,49.79,50.03,49.51,49.67,496882.0,49.773,1955
2024-09-06 15:00:00,49.67,49.7,48.97,49.03,888455.0,49.241,4459
2024-09-06 16:00:00,49.04,49.25,48.82,48.86,851739.0,49.007,4821
2024-09-06 17:00:00,48.85,48.95,48.53,48.69,832373.0,48.735,3258
2024-09-06 18:00:00,48.69,48.87,48.59,48.8,437743.0,48.715,2315
2024-09-06 19:00:00,48.8,48.8,48.55,48.57,677686.0,48.654,3393
2024-09-06 20:00:00,48.58,48.77,48.53,48.71,2274441.0,48.658,9461
2024-09-09 14:30:00,48.72,48.79,47.55,48.38,737023.0,48.083,3521
2024-09-09 15:00:00,48.39,48.97,48.38,48.66,864677.0,48.719,4682
2024-09-09 16:00:00,48.66,49.13,48.58,48.97,603686.0,48.833,3416
2024-09-09 17:00:00,48.97,49.02,48.78,48.88,611818.0,48.905,2362
2024-09-09 18:00:00,48.88,48.97,48.57,48.64,618891.0,48.791,2860
2024-09-09 19:00:00,48.63,48.69,48.52,48.64,527241.0,48.608,2785
2024-09-09 20:00:00,48.64,48.85,48.49,48.52,1555749.0,48.583,7794
2024-09-10 14:30:00,48.5,48.55,47.97,48.03,517983.0,48.28,2637
2024-09-10 15:00:00,48.04,48.26,48.01,48.23,518998.0,48.166,3061
2024-09-10 16:00:00,48.23,48.52,48.23,48.52,470455.0,48.402,2774
2024-09-10 17:00:00,48.52,48.65,48.32,48.58,946088.0,48.476,2728
2024-09-10 18:00:00,48.58,49.2,48.53,49.04,983313.0,48.961,2997
2024-09-10 19:00:00,49.05,49.32,48.9,49.16,633352.0,49.116,3381
2024-09-10 20:00:00,49.16,49.32,49.1,49.29,1268943.0,49.218,8053
2024-09-11 14:30:00,49.11,49.19,48.44,48.45,325636.0,48.759,1595
2024-09-11 15:00:00,48.45,48.63,48.28,48.48,544462.0,48.443,3038
2024-09-11 16:00:00,48.48,48.65,48.36,48.43,585603.0,48.493,3156
2024-09-11 17:00:00,48.43,48.78,48.4,48.7,454248.0,48.554,2307
2024-09-11 18:00:00,48.7,48.82,48.61,48.71,492211.0,48.726,2425
2024-09-11 19:00:00,48.71,48.71,48.45,48.5,469713.0,48.545,2680
2024-09-11 20:00:00,48.49,48.64,48.25,48.57,1392665.0,48.465,7831
2024-09-12 14:30:00,48.38,48.57,47.81,47.91,449561.0,48.204,1763
2024-09-12 15:00:00,47.91,48.25,47.76,48.14,417843.0,48.075,2243
2024-09-12 16:00:00,48.14,48.41,48.12,48.2,308265.0,48.268,1601
2024-09-12 17:00:00,48.19,48.23,48.09,48.21,331076.0,48.166,1579
2024-09-12 18:00:00,48.21,48.36,48.2,48.27,215235.0,48.272,1241
2024-09-12 19:00:00,48.28,48.41,48.2,48.22,359314.0,48.303,1887
2024-09-12 20:00:00,48.22,48.36,48.11,48.25,1148530.0,48.236,6689
2024-09-13 14:30:00,48.25,48.68,48.2,48.56,537241.0,48.478,2521
2024-09-13 15:00:00,48.59,48.98,48.45,48.82,1127918.0,48.703,4982
2024-09-13 16:00:00,48.82,49.04,48.62,49.02,556279.0,48.845,3444
2024-09-13 17:00:00,49.01,49.08,48.9,48.98,586990.0,49.001,3175
2024-09-13 18:00:00,48.98,49.04,48.83,48.84,635708.0,48.94,3650
2024-09-13 19:00:00,48.84,48.93,48.62,48.87,1013341.0,48.813,5692
2024-09-13 20:00:00,48.87,49.15,48.79,49.14,2179314.0,49.008,10999
2024-09-16 14:30:00,49.5,49.76,49.25,49.6,577910.0,49.501,2407
2024-09-16 15:00:00,49.61,49.7,49.45,49.66,608813.0,49.584,3764
2024-09-16 16:00:00,49.66,49.9,49.36,49.88,704836.0,49.66,3943
2024-09-16 17:00:00,49.87,49.87,49.41,49.75,814898.0,49.623,3667
2024-09-16 18:00:00,49.75,49.92,49.68,49.8,863910.0,49.822,5041
2024-09-16 19:00:00,49.8,50.11,49.8,50.11,982375.0,49.939,3909
