date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,50.06,50.17,49.88,50.12,1674463.0,49.982,6866
2024-08-29 15:00:00,50.12,50.7,50.1,50.67,1825260.0,50.359,9288
2024-08-29 16:00:00,50.67,50.82,50.53,50.59,1065807.0,50.682,5978
2024-08-29 17:00:00,50.59,50.72,50.57,50.66,583982.0,50.646,3630
2024-08-29 18:00:00,50.65,50.66,50.44,50.5,918375.0,50.532,4626
2024-08-29 19:00:00,50.5,50.51,50.19,50.34,1196185.0,50.328,5795
2024-08-29 20:00:00,50.34,50.43,50.25,50.39,2555479.0,50.357,14396
2024-08-30 14:30:00,50.55,50.64,50.4,50.54,637684.0,50.523,2312
2024-08-30 15:00:00,50.54,50.69,50.3,50.3,760233.0,50.528,4443
2024-08-30 16:00:00,50.3,50.37,50.15,50.24,782471.0,50.25,4543
2024-08-30 17:00:00,50.23,50.26,50.07,50.22,563345.0,50.191,2989
2024-08-30 18:00:00,50.22,50.29,50.18,50.25,498003.0,50.229,2792
2024-08-30 19:00:00,50.25,50.4,50.23,50.38,667343.0,50.308,3864
2024-08-30 20:00:00,50.38,50.59,50.36,50.52,2729581.0,50.514,13695
2024-09-03 14:30:00,50.21,50.5,50.17,50.31,1321333.0,50.324,4370
2024-09-03 15:00:00,50.3,50.33,50.1,50.15,1077451.0,50.198,5805
2024-09-03 16:00:00,50.15,50.22,49.99,50.15,1184073.0,50.103,5698
2024-09-03 17:00:00,50.15,50.27,50.13,50.15,598184.0,50.187,3446
2024-09-03 18:00:00,50.16,50.28,50.14,50.18,588205.0,50.218,3445
2024-09-03 19:00:00,50.18,50.21,50.05,50.06,844996.0,50.141,4982
2024-09-03 20:00:00,50.07,50.17,49.9,50.08,2913285.0,50.047,15771
2024-09-04 14:30:00,49.92,50.04,49.76,49.84,1270388.0,49.859,4810
2024-09-04 15:00:00,49.84,49.86,49.67,49.81,984291.0,49.761,5729
2024-09-04 16:00:00,49.82,49.9,49.68,49.69,890968.0,49.776,4831
2024-09-04 17:00:00,49.7,49.88,49.69,49.79,766141.0,49.782,3297
2024-09-04 18:00:00,49.79,49.8,49.58,49.59,512610.0,49.678,2567
2024-09-04 19:00:00,49.59,49.85,49.58,49.72,642353.0,49.73,3644
2024-09-04 20:00:00,49.72,49.86,49.65,49.7,2868668.0,49.748,12566
2024-09-05 14:30:00,49.5,49.63,48.93,49.54,1196800.0,49.29,5750
2024-09-05 15:00:00,49.52,49.65,49.27,49.37,1146166.0,49.443,5668
2024-09-05 16:00:00,49.37,49.37,49.04,49.09,987515.0,49.21,5330
2024-09-05 17:00:00,49.08,49.26,49.02,49.2,918653.0,49.122,4087
2024-09-05 18:00:00,49.2,49.35,49.14,49.34,815240.0,49.214,4668
2024-09-05 19:00:00,49.34,49.38,49.2,49.22,713267.0,49.298,4051
2024-09-05 20:00:00,49.21,49.29,49.06,49.14,2408157.0,49.148,11196
2024-09-06 14:30:00,48.88,49.23,48.76,48.8,1072066.0,48.978,5396
2024-09-06 15:00:00,48.81,48.9,48.45,48.48,1318513.0,48.685,7411
2024-09-06 16:00:00,48.47,48.64,48.34,48.38,1196279.0,48.451,6671
2024-09-06 17:00:00,48.38,48.42,48.23,48.28,793674.0,48.328,4016
2024-09-06 18:00:00,48.28,48.41,48.2,48.32,713930.0,48.284,3714
2024-09-06 19:00:00,48.32,48.39,48.24,48.37,1016399.0,48.323,3981
2024-09-06 20:00:00,48.37,48.61,48.34,48.5,3711771.0,48.468,17091
2024-09-09 14:30:00,48.5,48.68,48.26,48.65,1009917.0,48.49,4412
2024-09-09 15:00:00,48.65,48.78,48.58,48.65,922176.0,48.683,5032
2024-09-09 16:00:00,48.66,48.94,48.6,48.91,817195.0,48.764,4418
2024-09-09 17:00:00,48.91,49.15,48.88,49.11,734655.0,49.017,3768
2024-09-09 18:00:00,49.11,49.12,48.96,48.97,930985.0,49.04,4873
2024-09-09 19:00:00,48.96,48.98,48.79,48.88,942634.0,48.879,5067
2024-09-09 20:00:00,48.88,48.96,48.6,48.7,2555880.0,48.758,13694
2024-09-10 14:30:00,48.85,48.97,48.44,48.64,896231.0,48.702,3877
2024-09-10 15:00:00,48.65,48.8,48.55,48.8,904730.0,48.7,5368
2024-09-10 16:00:00,48.79,48.83,48.55,48.57,781319.0,48.739,4063
2024-09-10 17:00:00,48.56,48.79,48.49,48.72,819812.0,48.616,4552
2024-09-10 18:00:00,48.72,48.84,48.71,48.83,507204.0,48.78,2820
2024-09-10 19:00:00,48.83,48.9,48.82,48.83,685865.0,48.863,3415
2024-09-10 20:00:00,48.84,48.91,48.76,48.79,2143273.0,48.825,10356
2024-09-11 14:30:00,48.75,48.8,48.03,48.04,918057.0,48.416,4080
2024-09-11 15:00:00,48.04,48.15,47.86,47.94,1260707.0,47.985,6631
2024-09-11 16:00:00,47.94,48.23,47.85,48.16,1243815.0,48.039,6183
2024-09-11 17:00:00,48.16,48.52,48.14,48.5,833210.0,48.316,4376
2024-09-11 18:00:00,48.5,48.74,48.49,48.69,666408.0,48.629,3556
2024-09-11 19:00:00,48.69,49.0,48.65,48.92,748327.0,48.844,4455
2024-09-11 20:00:00,48.92,49.21,48.86,49.11,3295854.0,49.063,15092
2024-09-12 14:30:00,49.16,49.18,48.93,48.98,736140.0,49.045,3161
2024-09-12 15:00:00,48.98,49.04,48.86,48.99,1015355.0,48.954,5086
2024-09-12 16:00:00,49.0,49.2,48.97,49.11,753541.0,49.081,3791
2024-09-12 17:00:00,49.1,49.25,49.05,49.25,403522.0,49.121,2054
2024-09-12 18:00:00,49.24,49.54,49.23,49.53,734382.0,49.398,2595
2024-09-12 19:00:00,49.53,49.56,49.31,49.47,935321.0,49.491,4621
2024-09-12 20:00:00,49.47,49.64,49.42,49.62,2786842.0,49.533,12995
2024-09-13 14:30:00,49.73,49.93,49.67,49.92,534307.0,49.788,1950
2024-09-13 15:00:00,49.93,50.02,49.82,49.93,1052367.0,49.924,4975
2024-09-13 16:00:00,49.93,50.01,49.8,49.98,859531.0,49.877,4703
2024-09-13 17:00:00,49.99,50.05,49.89,49.97,537378.0,49.958,2741
2024-09-13 18:00:00,49.98,50.05,49.91,50.02,737030.0,49.975,3912
2024-09-13 19:00:00,50.02,50.06,49.78,49.84,744389.0,49.941,3134
2024-09-13 20:00:00,49.84,49.87,49.75,49.8,1574646.0,49.812,8434
2024-09-16 14:30:00,49.88,50.74,49.78,50.72,1522006.0,50.286,6269
2024-09-16 15:00:00,50.73,50.8,50.51,50.66,1208643.0,50.647,6356
2024-09-16 16:00:00,50.65,50.79,50.59,50.77,801193.0,50.705,4846
2024-09-16 17:00:00,50.77,50.78,50.59,50.72,720606.0,50.66,3830
2024-09-16 18:00:00,50.71,50.79,50.62,50.76,686890.0,50.704,3851
2024-09-16 19:00:00,50.76,50.93,50.74,50.93,944999.0,50.828,4227
2024-09-16 20:00:00,50.93,51.07,50.86,51.03,3118900.0,50.976,15269
2024-09-17 14:30:00,50.94,51.24,50.82,50.9,753240.0,51.016,3057
2024-09-17 15:00:00,50.9,51.37,50.87,51.25,1252247.0,51.212,6364
2024-09-17 16:00:00,51.25,51.42,51.19,51.27,1331595.0,51.308,5513
2024-09-17 17:00:00,51.26,51.31,50.8,50.84,850712.0,51.069,4629
2024-09-17 18:00:00,50.83,50.91,50.65,50.8,693481.0,50.802,4108
2024-09-17 19:00:00,50.8,50.91,50.64,50.71,1412718.0,50.833,4112
2024-09-17 20:00:00,50.7,50.75,50.57,50.63,2289345.0,50.635,11791
2024-09-18 14:30:00,50.4,50.78,50.37,50.5,702672.0,50.512,2359
2024-09-18 15:00:00,50.5,50.53,50.27,50.47,788538.0,50.413,4764
2024-09-18 16:00:00,50.47,50.57,50.41,50.55,761726.0,50.509,2763
2024-09-18 17:00:00,50.55,50.74,50.47,50.7,438631.0,50.601,2515
