date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,57.35,57.39,56.5,56.54,414599.0,56.909,1534
2024-08-29 15:00:00,56.54,56.99,56.52,56.67,1011281.0,56.786,4024
2024-08-29 16:00:00,56.66,56.93,56.66,56.91,1179530.0,56.81,4290
2024-08-29 17:00:00,56.91,57.11,56.8,57.05,1202603.0,56.94,4394
2024-08-29 18:00:00,57.05,57.37,57.05,57.35,1066657.0,57.2,4702
2024-08-29 19:00:00,57.35,57.49,57.1,57.25,880636.0,57.304,4317
2024-08-29 20:00:00,57.24,57.37,56.93,56.97,1244933.0,57.071,6861
2024-08-30 14:30:00,56.96,57.25,56.85,57.07,516446.0,56.997,1421
2024-08-30 15:00:00,57.06,57.29,56.85,56.93,745872.0,57.047,3537
2024-08-30 16:00:00,56.93,57.09,56.86,57.02,619306.0,56.973,2838
2024-08-30 17:00:00,57.02,57.13,56.98,57.06,436197.0,57.043,1942
2024-08-30 18:00:00,57.05,57.09,56.95,57.06,454534.0,57.006,2175
2024-08-30 19:00:00,57.06,57.13,57.0,57.09,539439.0,57.055,2661
2024-08-30 20:00:00,57.09,57.42,57.05,57.23,1984608.0,57.218,8505
2024-09-03 14:30:00,57.2,58.18,57.11,57.99,813552.0,57.73,3482
2024-09-03 15:00:00,57.97,58.5,57.85,58.32,1553437.0,58.102,8012
2024-09-03 16:00:00,58.32,58.47,58.0,58.05,988886.0,58.211,5036
2024-09-03 17:00:00,58.05,58.08,57.87,57.96,859905.0,57.967,4084
2024-09-03 18:00:00,57.96,58.05,57.52,57.53,990395.0,57.904,4233
2024-09-03 19:00:00,57.53,57.58,57.43,57.43,513153.0,57.505,3062
2024-09-03 20:00:00,57.43,57.63,57.36,57.38,1999449.0,57.485,8461
2024-09-04 14:30:00,57.39,59.09,57.26,58.97,1611300.0,58.245,5229
2024-09-04 15:00:00,58.97,59.86,58.91,59.32,2773340.0,59.482,11655
2024-09-04 16:00:00,59.31,59.34,58.02,58.04,1562124.0,58.74,5826
2024-09-04 17:00:00,58.03,58.35,57.84,57.94,1321471.0,58.048,4742
2024-09-04 18:00:00,57.94,58.43,57.89,58.4,936570.0,58.22,3596
2024-09-04 19:00:00,58.4,58.89,58.39,58.87,456677.0,58.69,2652
2024-09-04 20:00:00,58.87,59.32,58.76,59.26,1838451.0,59.07,10286
2024-09-05 14:30:00,59.5,59.63,58.46,58.6,571219.0,59.071,2900
2024-09-05 15:00:00,58.58,59.08,58.22,58.33,799828.0,58.758,4332
2024-09-05 16:00:00,58.35,58.57,57.98,58.02,484104.0,58.338,2765
2024-09-05 17:00:00,58.01,58.03,57.58,57.86,547288.0,57.754,2754
