date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,62.01,62.07,61.16,61.35,644737.0,61.591,2751
2024-08-29 15:00:00,61.35,61.94,61.34,61.65,1172815.0,61.662,5364
2024-08-29 16:00:00,61.65,62.06,61.62,62.06,477801.0,61.825,2928
2024-08-29 17:00:00,62.07,62.22,61.94,62.08,566147.0,62.09,3317
2024-08-29 18:00:00,62.07,62.18,61.91,62.14,517218.0,62.037,2853
2024-08-29 19:00:00,62.14,62.18,61.58,61.76,762961.0,61.903,4277
2024-08-29 20:00:00,61.75,62.03,61.67,61.89,1306989.0,61.864,8341
2024-08-30 14:30:00,61.95,62.22,61.93,62.21,563411.0,62.084,2336
2024-08-30 15:00:00,62.21,62.33,62.02,62.12,721951.0,62.164,3860
2024-08-30 16:00:00,62.1,62.16,61.68,61.84,740079.0,61.884,3952
2024-08-30 17:00:00,61.84,61.98,61.66,61.81,533722.0,61.848,2904
2024-08-30 18:00:00,61.81,62.07,61.75,62.04,514780.0,61.894,2942
2024-08-30 19:00:00,62.05,62.48,62.03,62.39,754802.0,62.3,4315
2024-08-30 20:00:00,62.38,62.7,62.3,62.62,1763479.0,62.51,9939
2024-09-03 14:30:00,62.04,62.39,61.75,62.03,814508.0,62.075,3713
2024-09-03 15:00:00,62.03,62.03,60.96,61.14,1529565.0,61.29,8405
2024-09-03 16:00:00,61.14,61.91,61.13,61.87,761942.0,61.644,4245
2024-09-03 17:00:00,61.87,61.96,61.77,61.87,556332.0,61.857,3384
2024-09-03 18:00:00,61.88,61.99,61.78,61.83,631370.0,61.898,3749
2024-09-03 19:00:00,61.82,61.83,61.3,61.36,537793.0,61.591,3575
2024-09-03 20:00:00,61.36,61.48,61.06,61.46,2183474.0,61.308,12113
2024-09-04 14:30:00,61.57,61.72,61.17,61.71,756256.0,61.45,3637
2024-09-04 15:00:00,61.71,62.05,61.29,61.99,1268779.0,61.754,6988
2024-09-04 16:00:00,61.99,62.07,61.33,61.4,689331.0,61.694,4459
2024-09-04 17:00:00,61.39,61.4,61.11,61.23,904668.0,61.245,4004
2024-09-04 18:00:00,61.23,61.23,60.69,60.7,650700.0,60.954,3710
2024-09-04 19:00:00,60.7,60.75,60.44,60.46,739486.0,60.6,3988
2024-09-04 20:00:00,60.46,61.0,60.4,60.96,2270409.0,60.745,11430
2024-09-05 14:30:00,61.61,61.79,60.78,61.27,791428.0,61.149,3902
2024-09-05 15:00:00,61.3,61.65,61.04,61.12,747158.0,61.43,4224
2024-09-05 16:00:00,61.13,61.31,60.69,60.72,792586.0,61.023,4882
2024-09-05 17:00:00,60.72,60.79,60.41,60.53,615537.0,60.561,3921
2024-09-05 18:00:00,60.54,60.72,60.33,60.72,565008.0,60.523,3297
2024-09-05 19:00:00,60.73,60.85,60.63,60.74,532912.0,60.739,3129
2024-09-05 20:00:00,60.73,60.76,60.47,60.62,1324458.0,60.61,7344
2024-09-06 14:30:00,60.7,61.08,60.66,61.0,648099.0,60.866,3262
2024-09-06 15:00:00,61.0,61.02,59.73,59.84,1666275.0,60.398,8585
2024-09-06 16:00:00,59.85,60.32,59.33,59.4,1468514.0,59.67,7464
2024-09-06 17:00:00,59.39,59.53,58.98,59.1,916985.0,59.219,4505
2024-09-06 18:00:00,59.1,59.28,59.03,59.13,931071.0,59.133,5182
2024-09-06 19:00:00,59.13,59.16,58.8,58.94,798894.0,58.927,4773
2024-09-06 20:00:00,58.94,59.17,58.85,59.09,2908929.0,59.012,14229
2024-09-09 14:30:00,59.91,60.34,59.61,60.07,1153449.0,60.013,4008
2024-09-09 15:00:00,60.07,60.67,58.17,58.57,5118876.0,59.339,26447
2024-09-09 16:00:00,58.56,59.14,58.45,58.93,2505979.0,58.746,13351
2024-09-09 17:00:00,58.93,59.67,58.87,59.63,1511524.0,59.345,6589
2024-09-09 18:00:00,59.64,59.76,59.52,59.53,619634.0,59.657,3460
2024-09-09 19:00:00,59.53,59.64,59.33,59.54,748266.0,59.52,4000
2024-09-09 20:00:00,59.53,59.74,59.39,59.56,1874136.0,59.529,10710
2024-09-10 14:30:00,59.89,59.89,58.42,58.46,1989934.0,58.88,9689
2024-09-10 15:00:00,58.45,58.5,57.38,57.85,4535106.0,57.749,20354
2024-09-10 16:00:00,57.84,57.92,57.15,57.18,1911523.0,57.573,9886
2024-09-10 17:00:00,57.16,57.24,56.69,56.78,1979474.0,56.904,9595
2024-09-10 18:00:00,56.78,57.81,56.77,57.73,1990745.0,57.251,9604
2024-09-10 19:00:00,57.73,58.16,57.7,58.12,1345774.0,57.939,5796
2024-09-10 20:00:00,58.11,58.15,57.79,57.93,2711705.0,57.935,13105
2024-09-11 14:30:00,57.59,57.59,56.82,56.88,1345763.0,57.106,5826
2024-09-11 15:00:00,56.86,56.86,56.18,56.48,2100096.0,56.451,11157
2024-09-11 16:00:00,56.48,56.75,56.24,56.6,1413082.0,56.498,7931
2024-09-11 17:00:00,56.59,56.83,56.56,56.76,959021.0,56.712,5508
2024-09-11 18:00:00,56.76,57.01,56.73,56.92,1359005.0,56.866,7105
2024-09-11 19:00:00,56.91,57.37,56.83,57.2,1197251.0,57.118,6527
2024-09-11 20:00:00,57.19,57.38,56.98,57.28,3409212.0,57.22,15476
2024-09-12 14:30:00,57.37,57.86,56.83,57.22,1321114.0,57.329,6559
2024-09-12 15:00:00,57.22,57.54,56.96,57.23,1001050.0,57.29,5815
2024-09-12 16:00:00,57.22,57.52,57.19,57.44,1384555.0,57.385,4371
2024-09-12 17:00:00,57.45,57.79,57.41,57.73,649452.0,57.586,3675
2024-09-12 18:00:00,57.73,57.85,57.63,57.8,715726.0,57.748,3917
2024-09-12 19:00:00,57.8,57.86,57.29,57.59,1440463.0,57.541,7045
2024-09-12 20:00:00,57.58,57.67,57.22,57.34,2127549.0,57.365,11337
2024-09-13 14:30:00,57.71,58.23,57.61,58.2,1160502.0,57.958,5597
2024-09-13 15:00:00,58.2,58.28,57.77,57.84,1263845.0,58.072,6870
2024-09-13 16:00:00,57.84,57.88,57.66,57.76,847017.0,57.765,4176
2024-09-13 17:00:00,57.78,57.8,57.43,57.54,559190.0,57.58,2736
2024-09-13 18:00:00,57.54,57.73,57.51,57.59,532925.0,57.628,3079
2024-09-13 19:00:00,57.58,57.73,57.44,57.51,487959.0,57.553,3078
2024-09-13 20:00:00,57.5,57.76,57.45,57.69,1389729.0,57.644,7124
2024-09-16 14:30:00,57.93,58.73,57.93,58.67,893923.0,58.475,3583
2024-09-16 15:00:00,58.68,58.79,58.23,58.3,961204.0,58.511,5105
2024-09-16 16:00:00,58.3,58.33,58.0,58.29,555398.0,58.177,3139
2024-09-16 17:00:00,58.28,58.33,58.19,58.23,659816.0,58.258,3082
2024-09-16 18:00:00,58.23,58.41,58.07,58.37,653858.0,58.238,2976
2024-09-16 19:00:00,58.38,58.55,58.29,58.55,530470.0,58.399,2864
2024-09-16 20:00:00,58.55,58.57,58.28,58.4,1375089.0,58.42,7472
2024-09-17 14:30:00,58.86,59.05,58.76,58.87,732369.0,58.922,2760
2024-09-17 15:00:00,58.87,59.37,58.82,59.01,1420074.0,59.167,7276
2024-09-17 16:00:00,59.01,59.41,59.0,59.2,1227359.0,59.252,6576
2024-09-17 17:00:00,59.18,59.31,58.88,58.96,722827.0,59.14,4009
2024-09-17 18:00:00,58.96,59.07,58.75,59.0,578288.0,58.959,3188
2024-09-17 19:00:00,59.0,59.08,58.92,59.05,417331.0,59.03,2456
2024-09-17 20:00:00,59.04,59.29,58.95,59.29,1605718.0,59.154,8231
2024-09-18 14:30:00,59.75,59.81,59.29,59.55,901617.0,59.62,4079
2024-09-18 15:00:00,59.55,59.56,59.34,59.51,894363.0,59.471,4717
2024-09-18 16:00:00,59.52,59.8,59.48,59.51,618246.0,59.658,3790
2024-09-18 17:00:00,59.51,59.67,59.47,59.63,513704.0,59.578,2849
2024-09-18 18:00:00,59.64,59.92,59.63,59.88,631025.0,59.799,3628
2024-09-18 19:00:00,59.87,60.89,59.7,60.22,2095920.0,60.378,10647
2024-09-18 20:00:00,60.19,60.61,59.74,59.89,2745522.0,60.066,15719
2024-09-19 14:30:00,60.92,61.5,60.6,61.36,1872712.0,61.018,9773
2024-09-19 15:00:00,61.37,61.95,61.15,61.8,2934409.0,61.662,11216
2024-09-19 16:00:00,61.79,61.94,61.64,61.72,1425631.0,61.762,6873
2024-09-19 17:00:00,61.72,62.29,61.61,62.28,1542879.0,61.898,7344
2024-09-19 18:00:00,62.28,62.93,62.26,62.75,1490613.0,62.545,7633
2024-09-19 19:00:00,62.74,63.17,62.62,62.91,1796888.0,62.851,8901
2024-09-19 20:00:00,62.91,63.16,62.61,63.06,3784841.0,62.887,17941
2024-09-20 14:30:00,62.52,62.65,61.88,61.99,2339693.0,62.274,4854
2024-09-20 15:00:00,62.0,62.29,61.67,62.13,1173327.0,61.975,6441
2024-09-20 16:00:00,62.13,62.18,61.78,61.97,990240.0,61.949,6169
2024-09-20 17:00:00,61.96,62.04,61.77,61.95,603370.0,61.903,2962
2024-09-20 18:00:00,61.96,62.16,61.89,62.13,523322.0,62.04,3119
2024-09-20 19:00:00,62.13,62.16,61.83,61.93,455629.0,61.961,2779
2024-09-20 20:00:00,61.92,62.3,61.89,62.12,2201868.0,62.132,11829
2024-09-23 14:30:00,62.22,62.79,62.17,62.43,967623.0,62.457,4596
2024-09-23 15:00:00,62.42,62.87,62.36,62.66,1180363.0,62.679,5986
2024-09-23 16:00:00,62.67,62.67,62.31,62.5,847094.0,62.415,4790
2024-09-23 17:00:00,62.5,62.61,62.28,62.55,835836.0,62.415,4629
2024-09-23 18:00:00,62.55,62.86,62.48,62.78,639791.0,62.691,2854
2024-09-23 19:00:00,62.78,62.8,62.58,62.58,532932.0,62.724,2875
2024-09-23 20:00:00,62.58,62.76,62.48,62.58,1489761.0,62.602,7437
2024-09-24 14:30:00,62.68,62.9,62.53,62.67,559467.0,62.749,2291
2024-09-24 15:00:00,62.67,62.74,61.65,61.68,1421545.0,62.076,6938
2024-09-24 16:00:00,61.68,61.86,61.16,61.24,1557064.0,61.603,7258
2024-09-24 17:00:00,61.25,61.37,61.12,61.35,819996.0,61.265,4402
2024-09-24 18:00:00,61.35,61.46,61.3,61.41,562047.0,61.392,2736
2024-09-24 19:00:00,61.41,61.47,61.3,61.43,610471.0,61.396,3064
2024-09-24 20:00:00,61.43,61.5,61.2,61.38,1683396.0,61.317,8064
2024-09-25 14:30:00,61.12,61.29,60.56,60.62,868114.0,60.889,3491
2024-09-25 15:00:00,60.61,60.79,60.45,60.66,967703.0,60.631,4974
2024-09-25 16:00:00,60.67,60.72,60.36,60.55,828658.0,60.511,4087
2024-09-25 17:00:00,60.55,60.65,60.33,60.4,575497.0,60.486,2923
2024-09-25 18:00:00,60.41,60.47,60.11,60.37,811830.0,60.292,3954
2024-09-25 19:00:00,60.38,60.61,60.22,60.46,683802.0,60.414,3662
2024-09-25 20:00:00,60.46,60.57,60.33,60.4,1286557.0,60.427,6790
2024-09-26 14:30:00,61.05,61.45,60.86,61.41,967778.0,61.206,4157
2024-09-26 15:00:00,61.4,61.81,61.2,61.43,1563344.0,61.527,8186
2024-09-26 16:00:00,61.43,61.55,61.19,61.49,761095.0,61.385,4149
2024-09-26 17:00:00,61.49,61.74,61.48,61.57,462315.0,61.603,2679
2024-09-26 18:00:00,61.57,62.0,61.56,61.86,487391.0,61.809,2788
2024-09-26 19:00:00,61.86,61.97,61.75,61.83,371777.0,61.853,2504
2024-09-26 20:00:00,61.83,61.94,61.65,61.72,1508055.0,61.803,7439
2024-09-27 14:30:00,62.01,62.48,61.79,62.03,522057.0,62.077,2412
2024-09-27 15:00:00,62.02,62.54,61.86,62.48,827549.0,62.199,4604
2024-09-27 16:00:00,62.47,62.61,62.31,62.31,619748.0,62.499,3783
2024-09-27 17:00:00,62.3,62.38,62.18,62.34,493235.0,62.286,2995
2024-09-27 18:00:00,62.34,62.42,62.16,62.18,358120.0,62.253,1935
2024-09-27 19:00:00,62.18,62.23,61.85,62.2,556495.0,62.056,2967
2024-09-27 20:00:00,62.19,62.24,61.79,61.87,1166677.0,61.963,6635
2024-07-30 14:30:00,65.01,66.23,65.01,66.03,1316628.0,65.815,5636
2024-07-30 15:00:00,66.03,66.15,65.36,66.0,1447602.0,65.79,7017
2024-07-30 16:00:00,66.01,66.09,65.68,66.02,764919.0,65.896,3853
2024-07-30 17:00:00,66.01,66.08,65.4,65.43,788704.0,65.725,4079
2024-07-30 18:00:00,65.44,65.46,65.12,65.42,804159.0,65.331,3316
2024-07-30 19:00:00,65.41,65.71,65.37,65.5,962502.0,65.528,3788
2024-07-30 20:00:00,65.5,66.01,65.49,65.88,2149106.0,65.792,10165
2024-07-31 14:30:00,65.91,65.99,65.19,65.83,690253.0,65.638,3215
2024-07-31 15:00:00,65.82,65.91,65.47,65.88,564333.0,65.701,2906
2024-07-31 16:00:00,65.88,66.01,65.72,65.86,402127.0,65.865,2248
2024-07-31 17:00:00,65.85,65.92,65.67,65.69,288276.0,65.798,1430
2024-07-31 18:00:00,65.69,65.83,65.4,65.54,349144.0,65.579,1842
2024-07-31 19:00:00,65.55,66.03,65.39,65.97,562998.0,65.671,3050
2024-07-31 20:00:00,65.96,65.97,64.83,64.89,2577827.0,65.156,12201
2024-08-01 14:30:00,65.08,65.22,64.39,64.45,692545.0,64.823,2672
2024-08-01 15:00:00,64.45,64.54,63.11,63.13,1854131.0,63.781,8650
2024-08-01 16:00:00,63.13,63.16,62.63,62.97,1710276.0,62.925,8541
2024-08-01 17:00:00,62.97,63.33,62.82,63.11,1399723.0,63.07,6454
2024-08-01 18:00:00,63.11,63.14,62.51,62.69,1293329.0,62.785,6139
2024-08-01 19:00:00,62.7,62.77,62.03,62.1,1515872.0,62.31,6853
2024-08-01 20:00:00,62.1,63.37,61.95,63.28,3730590.0,62.874,17611
2024-08-02 14:30:00,59.67,60.6,58.82,59.65,4472349.0,59.572,17644
2024-08-02 15:00:00,59.65,60.25,58.77,58.9,3986978.0,59.267,18523
2024-08-02 16:00:00,58.9,59.23,58.51,59.12,3638346.0,58.834,17144
