date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,115.28,116.36,114.59,116.2,192027.0,115.516,1170
2024-08-29 15:00:00,116.3,116.89,115.51,116.45,133386.0,116.195,926
2024-08-29 16:00:00,116.4,116.6,115.99,116.18,131850.0,116.331,963
2024-08-29 17:00:00,116.16,116.47,115.62,115.77,117999.0,116.143,837
2024-08-29 18:00:00,115.76,115.95,115.31,115.9,71733.0,115.673,575
2024-08-29 19:00:00,115.91,115.91,114.45,114.87,133929.0,115.037,1074
2024-08-29 20:00:00,114.92,115.42,114.57,115.22,441678.0,115.062,3513
2024-08-30 14:30:00,117.22,117.97,116.52,116.67,134594.0,117.273,802
2024-08-30 15:00:00,116.78,117.19,115.31,115.37,101459.0,116.296,634
2024-08-30 16:00:00,115.29,115.43,114.66,115.16,98873.0,115.002,721
2024-08-30 17:00:00,115.15,115.65,114.94,115.63,78404.0,115.229,467
2024-08-30 18:00:00,115.65,115.98,115.62,115.87,62294.0,115.782,432
2024-08-30 19:00:00,115.86,116.33,115.86,116.19,76262.0,116.139,601
2024-08-30 20:00:00,116.22,116.48,116.02,116.26,283004.0,116.285,2270
2024-09-03 14:30:00,114.87,115.51,113.51,114.7,305493.0,114.655,1647
2024-09-03 15:00:00,114.67,114.9,113.31,113.34,320771.0,114.031,2097
2024-09-03 16:00:00,113.34,113.91,112.71,112.87,246254.0,113.406,1552
2024-09-03 17:00:00,112.84,113.05,112.38,112.61,173116.0,112.719,1424
2024-09-03 18:00:00,112.61,113.23,112.38,112.38,197163.0,112.887,1483
2024-09-03 19:00:00,112.42,112.47,111.5,111.83,276033.0,111.838,1896
2024-09-03 20:00:00,111.84,111.92,111.1,111.49,547452.0,111.564,3947
2024-09-04 14:30:00,110.77,111.4,109.03,110.36,256640.0,110.02,1425
2024-09-04 15:00:00,110.25,111.12,108.88,110.96,367224.0,110.385,2589
2024-09-04 16:00:00,110.95,110.95,109.48,109.91,126158.0,110.144,1007
2024-09-04 17:00:00,109.91,110.02,109.38,109.92,139262.0,109.765,1098
2024-09-04 18:00:00,109.91,110.09,109.62,109.77,146487.0,109.881,1159
2024-09-04 19:00:00,109.75,109.8,108.82,108.91,200703.0,109.263,1644
2024-09-04 20:00:00,108.91,109.28,108.54,108.64,695576.0,108.829,4311
2024-09-05 14:30:00,108.01,109.54,108.0,109.09,107746.0,108.671,516
2024-09-05 15:00:00,109.28,110.5,108.78,108.82,478803.0,109.651,1901
2024-09-05 16:00:00,108.87,108.91,108.0,108.49,143478.0,108.415,1102
2024-09-05 17:00:00,108.54,109.11,108.53,108.99,98221.0,108.847,747
2024-09-05 18:00:00,109.01,110.24,108.92,110.12,175446.0,109.579,1353
2024-09-05 19:00:00,110.15,110.5,110.09,110.16,119433.0,110.248,930
2024-09-05 20:00:00,110.14,110.17,109.39,110.09,329749.0,109.876,2483
2024-09-06 14:30:00,109.87,110.97,108.18,108.18,175197.0,109.483,866
2024-09-06 15:00:00,108.14,108.14,106.47,106.75,246578.0,107.284,1484
2024-09-06 16:00:00,106.8,107.37,105.99,106.23,200450.0,106.527,1493
2024-09-06 17:00:00,106.21,106.3,105.49,105.64,214343.0,105.788,1498
2024-09-06 18:00:00,105.61,106.41,105.61,105.93,168470.0,106.056,1238
2024-09-06 19:00:00,105.94,106.61,105.44,106.44,245217.0,105.875,1364
2024-09-06 20:00:00,106.43,107.26,106.17,107.2,629862.0,106.812,4745
2024-09-09 14:30:00,108.27,109.02,107.51,107.63,154517.0,108.315,1045
2024-09-09 15:00:00,107.66,108.35,107.03,107.03,192702.0,107.915,1513
2024-09-09 16:00:00,107.0,107.46,106.74,107.37,189675.0,107.172,1474
2024-09-09 17:00:00,107.4,108.5,107.3,108.45,126947.0,107.967,922
2024-09-09 18:00:00,108.49,108.52,107.66,107.71,107906.0,108.048,776
2024-09-09 19:00:00,107.7,107.71,107.3,107.56,114074.0,107.531,852
2024-09-09 20:00:00,107.55,107.86,107.18,107.75,437897.0,107.589,3566
2024-09-10 14:30:00,108.46,110.2,108.37,109.13,210693.0,109.359,1083
2024-09-10 15:00:00,109.25,109.47,108.13,108.55,203403.0,108.796,1426
2024-09-10 16:00:00,108.54,109.0,107.2,107.22,112051.0,108.501,936
2024-09-10 17:00:00,107.15,108.07,107.02,107.87,117805.0,107.435,766
2024-09-10 18:00:00,107.87,108.13,107.65,107.68,196271.0,107.893,1610
2024-09-10 19:00:00,107.76,108.48,107.75,108.03,150802.0,108.167,1178
2024-09-10 20:00:00,108.03,108.34,107.87,108.12,440893.0,108.066,3433
2024-09-11 14:30:00,108.24,108.42,107.52,107.91,144715.0,108.023,962
2024-09-11 15:00:00,107.93,108.15,107.14,107.59,601194.0,107.785,2694
2024-09-11 16:00:00,107.57,108.69,107.46,108.15,295210.0,108.088,1854
2024-09-11 17:00:00,108.14,108.86,108.07,108.11,282969.0,108.416,2084
2024-09-11 18:00:00,108.2,109.0,108.03,108.69,342860.0,108.363,2055
2024-09-11 19:00:00,108.68,109.38,108.47,108.96,356284.0,108.908,2838
2024-09-11 20:00:00,108.94,109.66,108.77,109.51,789178.0,109.271,5570
2024-09-12 14:30:00,110.0,110.42,109.2,109.87,132288.0,109.834,458
2024-09-12 15:00:00,109.89,110.92,109.47,110.24,322800.0,110.187,1387
2024-09-12 16:00:00,110.17,110.72,110.0,110.49,136774.0,110.278,1040
2024-09-12 17:00:00,110.45,110.71,110.32,110.57,137248.0,110.517,954
2024-09-12 18:00:00,110.58,110.64,110.22,110.3,132550.0,110.46,792
2024-09-12 19:00:00,110.37,110.42,109.56,109.91,119134.0,110.044,947
2024-09-12 20:00:00,109.89,110.3,109.4,109.59,579276.0,109.942,2974
2024-09-13 14:30:00,109.56,110.5,109.5,109.88,167165.0,109.913,800
2024-09-13 15:00:00,109.88,110.9,109.35,110.5,480504.0,110.254,2319
2024-09-13 16:00:00,110.46,110.58,109.77,109.96,135613.0,110.118,776
2024-09-13 17:00:00,109.98,110.09,109.47,109.92,170876.0,109.705,1016
2024-09-13 18:00:00,109.93,109.95,109.47,109.76,192506.0,109.683,1438
2024-09-13 19:00:00,109.78,109.81,108.96,109.11,143536.0,109.331,1101
2024-09-13 20:00:00,109.09,109.44,108.79,109.27,519116.0,109.097,4097
2024-09-16 14:30:00,109.16,109.85,108.35,109.53,127234.0,109.289,535
2024-09-16 15:00:00,109.47,110.09,109.05,109.63,192598.0,109.64,1387
2024-09-16 16:00:00,109.62,110.9,109.34,110.88,207544.0,110.398,1156
2024-09-16 17:00:00,110.91,110.95,110.05,110.46,258801.0,110.38,1743
2024-09-16 18:00:00,110.47,111.2,110.28,111.05,461440.0,110.713,1988
2024-09-16 19:00:00,111.09,111.23,110.51,110.96,78669.0,110.889,629
2024-09-16 20:00:00,110.98,111.59,110.62,111.43,468583.0,111.217,3506
2024-09-17 14:30:00,112.3,112.85,111.76,112.55,180708.0,112.477,1174
2024-09-17 15:00:00,112.57,113.65,112.34,113.07,240906.0,112.896,1690
2024-09-17 16:00:00,113.08,113.6,112.78,113.21,155101.0,113.24,1329
2024-09-17 17:00:00,113.23,113.32,111.5,111.89,106907.0,112.271,864
2024-09-17 18:00:00,111.9,112.39,111.74,112.28,72279.0,112.138,539
2024-09-17 19:00:00,112.28,112.62,111.99,112.14,75418.0,112.29,609
2024-09-17 20:00:00,112.12,112.15,111.45,111.9,462341.0,111.841,3552
2024-09-18 14:30:00,111.72,112.8,111.5,112.58,66968.0,112.187,462
2024-09-18 15:00:00,112.48,112.48,111.71,111.96,101207.0,112.053,806
2024-09-18 16:00:00,112.0,112.23,111.68,111.74,108010.0,111.957,905
2024-09-18 17:00:00,111.7,113.55,111.65,113.47,168756.0,112.846,1330
2024-09-18 18:00:00,113.47,113.63,112.83,113.0,121901.0,113.204,751
2024-09-18 19:00:00,112.85,114.94,112.72,114.12,443270.0,114.26,2928
2024-09-18 20:00:00,114.04,114.57,112.91,113.16,405758.0,113.686,2887
2024-09-19 14:30:00,115.86,116.6,114.91,115.33,167312.0,115.728,999
2024-09-19 15:00:00,115.23,116.58,115.08,115.85,183215.0,115.906,1367
2024-09-19 16:00:00,115.86,116.64,115.57,115.82,226594.0,116.03,1666
2024-09-19 17:00:00,115.82,116.26,115.57,115.61,109274.0,115.973,787
2024-09-19 18:00:00,115.66,115.99,115.09,115.99,234223.0,115.55,1186
2024-09-19 19:00:00,115.99,116.09,115.43,115.53,165892.0,115.742,1240
2024-09-19 20:00:00,115.53,115.79,115.24,115.52,531826.0,115.486,3616
2024-09-20 14:30:00,115.18,115.62,114.5,114.51,256096.0,115.211,282
2024-09-20 15:00:00,114.59,114.89,114.3,114.38,87337.0,114.625,634
2024-09-20 16:00:00,114.37,114.5,113.91,114.41,83184.0,114.349,737
2024-09-20 17:00:00,114.39,114.92,114.34,114.63,100593.0,114.561,684
2024-09-20 18:00:00,114.61,115.0,114.54,114.77,58063.0,114.761,421
2024-09-20 19:00:00,114.77,114.95,114.43,114.66,65558.0,114.655,508
2024-09-20 20:00:00,114.67,115.18,114.44,114.8,390130.0,114.845,2843
2024-09-23 14:30:00,115.19,115.69,114.9,115.47,108765.0,115.259,399
2024-09-23 15:00:00,115.35,115.85,115.1,115.81,85653.0,115.465,722
2024-09-23 16:00:00,115.8,116.16,115.28,116.05,96768.0,115.742,790
2024-09-23 17:00:00,116.0,116.01,115.66,115.88,71262.0,115.826,558
2024-09-23 18:00:00,115.87,116.41,115.67,116.33,77370.0,116.076,594
2024-09-23 19:00:00,116.35,116.67,116.17,116.62,104244.0,116.442,904
2024-09-23 20:00:00,116.61,116.63,115.92,116.23,285785.0,116.19,2148
2024-09-24 14:30:00,116.58,116.96,116.2,116.4,118192.0,116.558,677
2024-09-24 15:00:00,116.36,116.71,115.66,116.7,255041.0,116.002,1897
2024-09-24 16:00:00,116.64,118.08,116.61,117.81,153376.0,117.498,1317
2024-09-24 17:00:00,117.81,118.38,117.27,117.35,107081.0,117.944,891
2024-09-24 18:00:00,117.3,117.44,116.89,116.95,72971.0,117.195,580
2024-09-24 19:00:00,116.96,117.2,116.85,117.13,82713.0,117.021,706
2024-09-24 20:00:00,117.13,117.41,116.9,117.31,439790.0,117.147,3092
2024-09-25 14:30:00,116.63,116.94,115.56,116.37,119767.0,116.353,670
2024-09-25 15:00:00,116.35,117.5,116.22,116.48,128908.0,116.791,1029
2024-09-25 16:00:00,116.41,116.63,116.19,116.37,173915.0,116.405,1180
2024-09-25 17:00:00,116.34,116.56,116.11,116.36,170749.0,116.291,942
2024-09-25 18:00:00,116.28,116.53,115.95,116.42,75400.0,116.238,627
2024-09-25 19:00:00,116.39,116.39,116.06,116.15,84578.0,116.204,684
2024-09-25 20:00:00,116.15,116.55,115.87,116.01,222497.0,116.141,1681
2024-09-26 14:30:00,118.27,118.27,115.18,115.18,83799.0,116.545,525
2024-09-26 15:00:00,115.29,115.4,113.1,113.33,149868.0,114.389,1092
2024-09-26 16:00:00,113.29,114.78,113.12,114.78,68068.0,113.937,522
2024-09-26 17:00:00,114.73,114.73,113.84,113.86,78513.0,114.207,434
2024-09-26 18:00:00,113.82,113.89,113.34,113.62,84763.0,113.623,676
2024-09-26 19:00:00,113.65,114.37,113.55,114.31,108869.0,113.98,677
2024-09-26 20:00:00,114.29,114.71,114.01,114.22,289143.0,114.337,2052
2024-09-27 14:30:00,115.13,115.13,114.03,114.9,78595.0,114.712,444
2024-09-27 15:00:00,114.85,115.18,114.36,114.48,168022.0,114.815,1140
2024-09-27 16:00:00,114.47,114.52,113.63,113.67,118700.0,113.99,785
2024-09-27 17:00:00,113.68,114.31,113.45,114.14,120328.0,113.933,855
2024-09-27 18:00:00,114.13,114.45,113.98,114.42,39251.0,114.17,286
2024-09-27 19:00:00,114.43,114.56,113.89,114.33,43781.0,114.265,356
2024-09-27 20:00:00,114.3,114.51,114.17,114.2,202063.0,114.331,1650
2024-07-30 14:30:00,117.87,117.94,116.12,116.2,233556.0,117.219,1670
2024-07-30 15:00:00,116.33,116.68,114.91,115.01,321532.0,115.776,2287
2024-07-30 16:00:00,115.03,115.33,113.77,113.83,221330.0,114.543,1670
2024-07-30 17:00:00,113.88,114.49,113.58,113.82,240895.0,114.047,1679
