date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,58.34,59.05,58.09,59.02,132227.0,58.574,667
2024-08-29 15:00:00,59.03,59.55,59.03,59.32,231944.0,59.275,1612
2024-08-29 16:00:00,59.36,59.54,59.31,59.39,76502.0,59.451,640
2024-08-29 17:00:00,59.41,59.53,59.24,59.44,69475.0,59.429,550
2024-08-29 18:00:00,59.43,59.68,59.29,59.53,52072.0,59.483,440
2024-08-29 19:00:00,59.52,59.52,58.97,59.09,64344.0,59.28,427
2024-08-29 20:00:00,59.09,59.18,58.93,59.02,176220.0,59.049,1489
2024-08-30 14:30:00,59.41,59.49,59.11,59.37,83133.0,59.295,487
2024-08-30 15:00:00,59.37,59.78,59.31,59.34,116704.0,59.515,936
2024-08-30 16:00:00,59.34,59.38,58.66,58.9,206946.0,59.069,884
2024-08-30 17:00:00,58.88,59.06,58.8,58.99,124072.0,58.949,640
2024-08-30 18:00:00,58.98,59.08,58.94,59.01,45968.0,59.008,408
2024-08-30 19:00:00,59.01,59.24,59.0,59.04,135239.0,59.077,700
2024-08-30 20:00:00,59.05,59.34,58.88,59.23,637403.0,59.124,4059
2024-09-03 14:30:00,59.21,59.53,58.8,59.09,149847.0,59.162,902
2024-09-03 15:00:00,59.08,59.13,58.61,58.7,170847.0,58.913,1262
2024-09-03 16:00:00,58.68,58.99,58.36,58.44,115266.0,58.721,948
2024-09-03 17:00:00,58.43,58.48,58.08,58.29,110767.0,58.289,846
2024-09-03 18:00:00,58.29,58.49,58.15,58.17,78405.0,58.335,664
2024-09-03 19:00:00,58.18,58.5,58.11,58.27,219834.0,58.297,1411
2024-09-03 20:00:00,58.28,58.31,57.7,57.89,468786.0,57.985,3150
2024-09-04 14:30:00,57.14,57.37,56.33,57.13,150197.0,56.913,500
2024-09-04 15:00:00,57.1,57.37,56.7,57.24,166018.0,57.077,950
2024-09-04 16:00:00,57.21,57.23,56.5,56.72,130325.0,56.807,819
2024-09-04 17:00:00,56.72,57.44,56.64,57.43,74104.0,57.115,521
2024-09-04 18:00:00,57.41,57.45,57.2,57.2,79955.0,57.341,578
2024-09-04 19:00:00,57.23,57.31,57.08,57.2,98738.0,57.185,769
2024-09-04 20:00:00,57.18,57.46,56.89,57.42,373592.0,57.205,2536
2024-09-05 14:30:00,57.43,57.43,56.53,56.84,87065.0,57.066,495
2024-09-05 15:00:00,56.85,57.33,56.72,56.73,153255.0,57.037,1045
2024-09-05 16:00:00,56.72,57.06,56.6,56.76,232355.0,56.844,1097
2024-09-05 17:00:00,56.72,56.9,56.5,56.73,179639.0,56.705,1329
2024-09-05 18:00:00,56.73,57.16,56.67,57.08,236760.0,56.969,1813
2024-09-05 19:00:00,57.08,57.21,56.95,56.98,298461.0,57.089,2035
2024-09-05 20:00:00,56.97,57.02,56.57,56.9,919588.0,56.844,5983
2024-09-06 14:30:00,60.34,61.09,57.32,57.73,1303052.0,58.965,5767
2024-09-06 15:00:00,57.69,60.07,57.34,58.5,1323495.0,59.012,6046
2024-09-06 16:00:00,58.57,59.55,58.03,58.46,528907.0,58.797,2931
2024-09-06 17:00:00,58.47,59.58,58.12,59.3,672789.0,59.046,3378
2024-09-06 18:00:00,59.33,59.46,58.99,59.11,397088.0,59.234,2068
2024-09-06 19:00:00,59.13,59.23,58.44,59.16,464540.0,58.897,2553
2024-09-06 20:00:00,59.16,59.47,58.82,59.22,1111843.0,59.148,7799
2024-09-09 14:30:00,58.62,59.2,55.8,56.01,753514.0,57.231,3566
2024-09-09 15:00:00,56.05,57.14,55.77,56.71,567810.0,56.498,3192
2024-09-09 16:00:00,56.72,57.02,56.6,56.99,279480.0,56.831,1739
2024-09-09 17:00:00,57.0,57.12,56.61,56.72,182169.0,56.884,1374
2024-09-09 18:00:00,56.74,56.87,56.08,56.11,224409.0,56.402,1638
2024-09-09 19:00:00,56.07,56.1,55.72,55.87,292472.0,55.888,1882
2024-09-09 20:00:00,55.86,56.05,55.41,56.04,813154.0,55.772,5225
2024-09-10 14:30:00,56.4,56.5,54.92,55.42,260056.0,55.503,1177
2024-09-10 15:00:00,55.44,55.84,54.91,55.75,400345.0,55.389,2613
2024-09-10 16:00:00,55.76,55.91,55.23,55.24,235206.0,55.675,1503
2024-09-10 17:00:00,55.22,55.42,55.01,55.02,182800.0,55.213,1213
2024-09-10 18:00:00,55.03,55.41,54.93,55.15,234416.0,55.173,1460
2024-09-10 19:00:00,55.14,55.37,54.93,55.03,249412.0,55.14,1886
2024-09-10 20:00:00,55.01,55.15,54.51,54.55,608693.0,54.726,4328
2024-09-11 14:30:00,54.5,55.61,54.32,55.03,113161.0,55.03,607
2024-09-11 15:00:00,55.0,55.16,54.31,54.72,219166.0,54.762,1634
2024-09-11 16:00:00,54.7,55.24,54.59,55.02,208339.0,54.98,1537
2024-09-11 17:00:00,55.03,55.36,55.01,55.23,126593.0,55.204,892
2024-09-11 18:00:00,55.25,55.53,55.25,55.45,132850.0,55.413,998
2024-09-11 19:00:00,55.46,55.71,55.35,55.46,185456.0,55.524,1471
2024-09-11 20:00:00,55.46,55.5,55.28,55.31,479338.0,55.382,3447
2024-09-12 14:30:00,55.76,56.63,55.56,56.44,155324.0,56.286,709
2024-09-12 15:00:00,56.44,56.62,55.83,55.83,182682.0,56.234,1136
2024-09-12 16:00:00,55.8,56.11,55.77,56.05,130347.0,55.91,914
2024-09-12 17:00:00,56.07,56.67,56.04,56.59,143122.0,56.297,895
2024-09-12 18:00:00,56.6,56.98,56.58,56.87,165595.0,56.782,1101
2024-09-12 19:00:00,56.88,56.9,56.41,56.54,125421.0,56.631,812
2024-09-12 20:00:00,56.53,56.64,56.31,56.49,316993.0,56.5,2362
2024-09-13 14:30:00,56.48,56.88,56.13,56.56,60695.0,56.453,317
2024-09-13 15:00:00,56.59,57.15,56.25,56.87,143894.0,56.832,920
2024-09-13 16:00:00,56.87,56.88,56.61,56.85,211146.0,56.76,1002
2024-09-13 17:00:00,56.87,57.05,56.76,57.03,163566.0,56.904,1139
2024-09-13 18:00:00,57.04,57.08,56.63,56.8,153807.0,56.888,871
2024-09-13 19:00:00,56.82,56.94,56.7,56.89,217085.0,56.826,1591
2024-09-13 20:00:00,56.88,56.93,56.43,56.63,330333.0,56.674,2541
2024-09-16 14:30:00,56.56,56.89,56.19,56.81,124151.0,56.601,552
2024-09-16 15:00:00,56.82,57.16,56.74,56.96,224437.0,56.982,1136
2024-09-16 16:00:00,56.95,57.31,56.68,57.26,139761.0,57.004,1031
2024-09-16 17:00:00,57.26,57.31,56.98,57.3,246188.0,57.172,1514
2024-09-16 18:00:00,57.3,57.38,56.96,56.97,129190.0,57.115,945
2024-09-16 19:00:00,56.97,57.01,56.68,56.78,94594.0,56.87,771
2024-09-16 20:00:00,56.77,56.83,56.45,56.76,430234.0,56.689,3057
2024-09-17 14:30:00,56.91,57.32,56.41,56.62,157424.0,56.889,708
2024-09-17 15:00:00,56.61,56.69,56.31,56.34,157549.0,56.51,1153
2024-09-17 16:00:00,56.35,56.42,56.21,56.26,95149.0,56.289,685
2024-09-17 17:00:00,56.26,56.26,55.6,55.66,103031.0,55.924,722
2024-09-17 18:00:00,55.7,55.74,55.24,55.43,102190.0,55.497,741
2024-09-17 19:00:00,55.41,55.69,55.34,55.63,117686.0,55.529,766
2024-09-17 20:00:00,55.61,55.92,55.6,55.68,293499.0,55.747,2322
2024-09-18 14:30:00,55.34,55.64,55.14,55.51,203517.0,55.381,697
2024-09-18 15:00:00,55.5,56.05,55.44,56.02,218996.0,55.645,1323
2024-09-18 16:00:00,56.02,56.52,55.99,56.17,175790.0,56.302,1214
2024-09-18 17:00:00,56.17,56.56,56.12,56.27,135899.0,56.351,887
2024-09-18 18:00:00,56.29,56.4,56.23,56.32,98083.0,56.317,716
2024-09-18 19:00:00,56.31,57.01,56.15,56.66,229968.0,56.655,1578
2024-09-18 20:00:00,56.63,56.82,56.35,56.62,421353.0,56.6,2787
2024-09-19 14:30:00,57.41,57.83,56.7,57.55,176321.0,57.383,818
2024-09-19 15:00:00,57.55,58.35,57.52,58.24,378101.0,57.991,1806
2024-09-19 16:00:00,58.23,58.25,57.74,57.85,199623.0,58.054,1113
2024-09-19 17:00:00,57.83,58.33,57.72,58.3,172368.0,58.016,924
2024-09-19 18:00:00,58.29,58.41,58.1,58.25,144736.0,58.253,1023
2024-09-19 19:00:00,58.26,58.28,57.95,57.98,142265.0,58.102,1059
2024-09-19 20:00:00,57.98,58.01,57.59,57.91,372426.0,57.82,2715
