date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,157.5,157.58,155.83,155.95,46600.0,157.053,146
2024-08-29 15:00:00,155.78,157.55,155.78,156.75,38167.0,156.99,327
2024-08-29 16:00:00,156.81,157.8,156.74,157.58,34897.0,157.31,301
2024-08-29 17:00:00,157.63,157.99,157.46,157.75,95122.0,157.805,531
2024-08-29 18:00:00,157.75,158.74,157.63,158.57,42779.0,158.119,397
2024-08-29 19:00:00,158.57,158.58,157.41,157.65,86799.0,158.073,788
2024-08-29 20:00:00,157.65,157.72,156.73,156.76,386625.0,157.142,2739
2024-08-30 14:30:00,156.88,158.01,156.88,157.49,25358.0,157.357,160
2024-08-30 15:00:00,157.69,157.93,157.08,157.53,33025.0,157.606,278
2024-08-30 16:00:00,157.54,157.66,156.96,157.41,30939.0,157.344,231
2024-08-30 17:00:00,157.36,157.76,157.33,157.65,30644.0,157.558,261
2024-08-30 18:00:00,157.75,157.93,157.47,157.63,36510.0,157.759,298
2024-08-30 19:00:00,157.71,158.32,157.7,158.19,45611.0,158.046,383
2024-08-30 20:00:00,158.18,158.65,157.98,158.15,195314.0,158.284,1431
2024-09-03 14:30:00,157.79,159.24,157.79,158.54,46377.0,158.337,217
2024-09-03 15:00:00,158.54,158.9,157.6,158.82,63747.0,158.215,488
2024-09-03 16:00:00,158.91,159.29,158.73,159.21,32913.0,159.04,270
2024-09-03 17:00:00,159.15,159.22,158.48,158.5,29458.0,158.901,245
2024-09-03 18:00:00,158.5,158.58,157.9,157.97,34887.0,158.306,270
2024-09-03 19:00:00,157.92,157.96,157.3,157.66,48737.0,157.608,347
2024-09-03 20:00:00,157.6,158.42,157.6,158.29,218750.0,158.004,1681
2024-09-04 14:30:00,158.24,159.61,157.99,158.92,14296.0,158.527,71
2024-09-04 15:00:00,158.91,159.72,158.31,159.68,98335.0,158.98,562
2024-09-04 16:00:00,159.72,159.75,158.79,158.87,33905.0,159.147,267
2024-09-04 17:00:00,158.88,158.88,158.28,158.66,46795.0,158.565,385
2024-09-04 18:00:00,158.64,158.65,158.16,158.42,33705.0,158.385,284
2024-09-04 19:00:00,158.46,158.83,158.39,158.44,35549.0,158.631,319
2024-09-04 20:00:00,158.42,159.58,158.29,159.3,211189.0,159.077,1648
2024-09-05 14:30:00,160.0,160.39,158.87,159.05,21804.0,159.504,123
2024-09-05 15:00:00,159.15,159.61,158.57,158.69,31129.0,159.037,275
2024-09-05 16:00:00,158.67,158.68,158.09,158.29,46935.0,158.418,411
2024-09-05 17:00:00,158.32,158.53,158.22,158.43,39067.0,158.371,349
2024-09-05 18:00:00,158.42,158.44,157.69,158.29,43896.0,157.984,375
2024-09-05 19:00:00,158.35,158.42,157.91,157.96,57902.0,158.148,505
2024-09-05 20:00:00,157.97,158.72,157.58,157.98,225995.0,158.126,1689
2024-09-06 14:30:00,158.98,160.64,158.08,159.87,48689.0,159.73,282
2024-09-06 15:00:00,159.92,159.95,157.76,157.97,80561.0,158.474,533
2024-09-06 16:00:00,157.97,158.84,157.01,157.27,72546.0,157.563,618
2024-09-06 17:00:00,157.16,157.47,156.95,157.34,39273.0,157.243,347
2024-09-06 18:00:00,157.37,157.96,157.24,157.93,33254.0,157.608,297
2024-09-06 19:00:00,157.86,158.36,157.61,157.74,57628.0,157.969,393
2024-09-06 20:00:00,157.75,158.15,157.15,157.46,199818.0,157.55,1599
2024-09-09 14:30:00,156.56,157.5,155.41,157.22,42636.0,156.377,263
2024-09-09 15:00:00,157.28,157.5,156.72,156.81,42085.0,157.098,344
2024-09-09 16:00:00,156.69,156.96,156.0,156.45,37777.0,156.445,321
2024-09-09 17:00:00,156.5,157.01,156.49,156.94,40805.0,156.833,313
2024-09-09 18:00:00,156.87,156.93,156.12,156.43,75768.0,156.387,331
2024-09-09 19:00:00,156.37,156.65,156.25,156.59,87955.0,156.457,382
2024-09-09 20:00:00,156.59,157.01,156.03,156.76,230031.0,156.67,1566
2024-09-10 14:30:00,156.97,157.8,155.85,157.03,14518.0,156.979,68
2024-09-10 15:00:00,157.05,157.06,155.72,156.05,45493.0,156.332,376
2024-09-10 16:00:00,156.29,156.54,155.02,155.02,28075.0,155.941,247
2024-09-10 17:00:00,155.01,155.83,155.01,155.72,62103.0,155.496,474
2024-09-10 18:00:00,155.7,156.28,155.12,155.53,74149.0,155.606,627
2024-09-10 19:00:00,155.56,156.22,155.56,156.01,49825.0,155.992,357
2024-09-10 20:00:00,156.01,156.07,155.56,155.61,151337.0,155.774,1171
2024-09-11 14:30:00,155.59,155.73,154.45,155.07,32585.0,155.121,170
2024-09-11 15:00:00,155.24,155.44,153.98,154.18,50629.0,154.745,323
2024-09-11 16:00:00,154.13,155.1,154.07,154.37,46286.0,154.843,249
2024-09-11 17:00:00,154.43,155.14,154.43,154.96,43249.0,154.867,285
2024-09-11 18:00:00,154.94,156.56,154.92,156.5,162126.0,155.558,888
2024-09-11 19:00:00,156.52,157.18,156.11,156.9,43554.0,156.582,339
2024-09-11 20:00:00,156.91,157.61,156.57,157.35,193459.0,157.141,1418
2024-09-12 14:30:00,157.9,159.2,156.66,157.0,21287.0,158.036,125
2024-09-12 15:00:00,156.75,157.8,156.47,157.23,18869.0,157.238,167
2024-09-12 16:00:00,157.07,158.13,157.05,157.58,17518.0,157.6,153
2024-09-12 17:00:00,157.58,157.85,157.29,157.66,19095.0,157.626,164
2024-09-12 18:00:00,157.74,158.57,157.57,158.45,32356.0,158.142,215
2024-09-12 19:00:00,158.45,158.62,158.14,158.38,35150.0,158.45,315
2024-09-12 20:00:00,158.37,158.8,158.3,158.57,118525.0,158.536,968
2024-09-13 14:30:00,159.0,160.57,158.91,160.33,35163.0,159.761,203
2024-09-13 15:00:00,160.3,160.94,159.87,159.96,110377.0,160.46,610
2024-09-13 16:00:00,159.96,160.03,159.35,159.94,31701.0,159.791,220
2024-09-13 17:00:00,159.97,160.02,159.36,159.58,31214.0,159.701,267
2024-09-13 18:00:00,159.63,159.98,159.58,159.82,27692.0,159.814,230
2024-09-13 19:00:00,159.82,160.29,159.53,159.99,118345.0,159.756,546
2024-09-13 20:00:00,160.0,160.35,159.72,160.26,223517.0,160.066,1664
2024-09-16 14:30:00,161.31,162.54,160.74,161.11,70859.0,161.7,322
2024-09-16 15:00:00,161.18,161.9,160.63,161.06,109431.0,161.258,609
