date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,69.25,69.53,68.71,69.3,321218.0,68.989,1741
2024-08-29 15:00:00,69.31,69.47,69.1,69.17,344100.0,69.284,2375
2024-08-29 16:00:00,69.19,71.08,69.18,70.92,1023560.0,70.204,4828
2024-08-29 17:00:00,70.9,71.42,70.59,71.16,868889.0,70.993,4672
2024-08-29 18:00:00,71.15,71.15,70.74,71.06,540314.0,70.963,3564
2024-08-29 19:00:00,71.04,71.12,70.37,70.56,434918.0,70.719,2497
2024-08-29 20:00:00,70.55,70.68,70.09,70.14,1226951.0,70.345,7268
2024-08-30 14:30:00,70.33,71.13,70.33,70.63,284412.0,70.684,1127
2024-08-30 15:00:00,70.62,70.88,70.08,70.35,316190.0,70.631,1903
2024-08-30 16:00:00,70.31,70.45,69.9,70.04,287447.0,70.167,1904
2024-08-30 17:00:00,70.04,70.09,69.63,70.01,264803.0,69.879,1586
2024-08-30 18:00:00,70.0,70.29,69.88,69.97,346624.0,70.1,1741
2024-08-30 19:00:00,69.97,70.04,69.76,69.84,417170.0,69.881,2875
2024-08-30 20:00:00,69.84,70.2,69.81,69.96,1398635.0,70.011,7780
2024-09-03 14:30:00,69.71,69.96,69.28,69.41,253820.0,69.603,1123
2024-09-03 15:00:00,69.4,69.41,68.21,68.5,573283.0,68.837,3019
2024-09-03 16:00:00,68.52,68.52,67.94,68.19,526198.0,68.248,3029
2024-09-03 17:00:00,68.19,68.8,68.05,68.75,317516.0,68.269,2359
2024-09-03 18:00:00,68.75,68.78,68.33,68.37,226837.0,68.62,1698
2024-09-03 19:00:00,68.36,68.46,68.16,68.17,305526.0,68.313,2060
2024-09-03 20:00:00,68.17,68.82,68.14,68.75,1041960.0,68.445,5582
2024-09-04 14:30:00,68.75,69.42,68.24,69.32,341851.0,68.9,1835
2024-09-04 15:00:00,69.37,69.92,69.14,69.61,568127.0,69.507,3520
2024-09-04 16:00:00,69.6,69.67,69.14,69.22,255113.0,69.312,1665
2024-09-04 17:00:00,69.19,69.23,68.9,68.99,186320.0,69.066,982
2024-09-04 18:00:00,68.98,68.98,68.7,68.84,151524.0,68.807,1005
2024-09-04 19:00:00,68.85,68.95,68.77,68.83,144609.0,68.857,1082
2024-09-04 20:00:00,68.83,69.27,68.8,68.92,501746.0,69.049,3335
2024-09-05 14:30:00,68.81,69.01,68.17,68.79,293771.0,68.561,1389
2024-09-05 15:00:00,68.8,69.1,64.7,66.22,2728544.0,66.295,15159
2024-09-05 16:00:00,66.24,67.07,65.91,66.88,1333679.0,66.554,7337
2024-09-05 17:00:00,66.88,67.57,66.86,67.25,526325.0,67.081,3223
2024-09-05 18:00:00,67.23,67.25,65.88,66.13,561103.0,66.534,3637
2024-09-05 19:00:00,66.14,66.4,66.0,66.27,482019.0,66.222,3314
2024-09-05 20:00:00,66.27,66.33,65.6,66.04,1357503.0,65.868,7734
2024-09-06 14:30:00,66.23,66.96,65.67,66.25,540989.0,66.465,2136
2024-09-06 15:00:00,66.25,66.58,65.47,65.74,738419.0,66.074,4328
2024-09-06 16:00:00,65.75,66.33,65.73,66.25,461168.0,66.123,3044
2024-09-06 17:00:00,66.25,66.33,66.0,66.32,314950.0,66.156,1664
2024-09-06 18:00:00,66.3,66.71,66.23,66.48,271291.0,66.48,1565
2024-09-06 19:00:00,66.47,66.7,66.4,66.59,233412.0,66.54,1704
2024-09-06 20:00:00,66.6,67.04,66.53,66.85,754323.0,66.815,4421
2024-09-09 14:30:00,67.17,67.41,66.67,66.92,525258.0,67.043,2578
2024-09-09 15:00:00,66.91,67.19,66.79,66.98,690795.0,67.001,3888
2024-09-09 16:00:00,66.99,67.21,66.79,66.91,270049.0,66.972,1543
2024-09-09 17:00:00,66.91,66.96,66.74,66.75,413242.0,66.858,2266
2024-09-09 18:00:00,66.75,66.8,66.25,66.26,378109.0,66.546,2302
2024-09-09 19:00:00,66.26,66.27,65.82,65.94,510650.0,66.047,3413
2024-09-09 20:00:00,65.92,65.95,65.49,65.69,1198386.0,65.685,7352
2024-09-10 14:30:00,65.55,66.72,65.54,66.56,484466.0,66.239,2702
