date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,297.75,297.75,295.46,296.35,30112.0,296.504,99
2024-08-29 15:00:00,296.71,299.12,296.51,298.53,46942.0,298.204,216
2024-08-29 16:00:00,298.39,298.63,297.27,297.35,31533.0,298.007,195
2024-08-29 17:00:00,297.38,298.48,297.28,298.44,26026.0,297.821,146
2024-08-29 18:00:00,298.44,299.19,298.09,299.19,20151.0,298.538,172
2024-08-29 19:00:00,299.13,299.14,297.04,297.78,29866.0,298.056,254
2024-08-29 20:00:00,297.61,298.14,295.95,296.12,80988.0,296.668,644
2024-08-30 14:30:00,297.09,298.46,296.15,296.68,31848.0,297.185,99
2024-08-30 15:00:00,296.64,297.85,296.53,296.76,29115.0,297.159,175
2024-08-30 16:00:00,296.71,296.96,295.41,295.99,18445.0,296.156,155
2024-08-30 17:00:00,295.8,296.16,294.71,295.57,17191.0,295.506,141
2024-08-30 18:00:00,295.55,295.83,295.05,295.52,14468.0,295.401,121
2024-08-30 19:00:00,295.32,296.69,295.32,296.33,16111.0,296.024,138
2024-08-30 20:00:00,296.43,299.1,296.36,298.82,136483.0,298.191,903
2024-09-03 14:30:00,296.06,297.16,294.24,295.61,45592.0,295.672,218
2024-09-03 15:00:00,295.68,296.35,291.56,292.94,115991.0,292.806,643
2024-09-03 16:00:00,292.94,293.38,292.13,292.91,62782.0,292.914,411
2024-09-03 17:00:00,292.71,293.23,292.18,292.51,50848.0,292.771,336
2024-09-03 18:00:00,292.5,294.31,292.49,294.02,50535.0,293.461,342
2024-09-03 19:00:00,293.89,295.25,293.51,294.17,46642.0,294.363,326
2024-09-03 20:00:00,294.06,294.43,291.88,293.58,147080.0,293.331,1071
2024-09-04 14:30:00,293.91,295.36,292.69,294.96,24432.0,294.098,107
2024-09-04 15:00:00,294.45,295.11,293.56,294.43,49711.0,294.407,255
2024-09-04 16:00:00,294.46,294.46,292.2,292.26,25889.0,293.051,186
2024-09-04 17:00:00,292.27,293.7,291.99,293.52,20538.0,292.811,142
2024-09-04 18:00:00,293.49,293.49,292.29,292.59,28511.0,292.725,170
2024-09-04 19:00:00,292.71,293.28,292.03,292.25,28638.0,292.62,172
2024-09-04 20:00:00,292.15,293.42,292.0,292.77,97187.0,292.963,800
2024-09-05 14:30:00,293.46,293.95,287.33,287.48,86106.0,289.155,473
2024-09-05 15:00:00,287.79,289.73,286.32,286.67,127404.0,287.799,723
2024-09-05 16:00:00,286.49,286.71,284.27,284.27,87977.0,285.454,560
2024-09-05 17:00:00,284.06,286.02,283.75,285.64,47090.0,285.004,371
2024-09-05 18:00:00,285.53,287.1,285.17,286.47,56730.0,286.182,410
2024-09-05 19:00:00,286.47,286.84,285.84,286.32,43607.0,286.348,340
2024-09-05 20:00:00,286.21,286.27,283.82,285.37,197905.0,284.941,1423
2024-09-06 14:30:00,285.38,288.01,285.24,286.77,40513.0,286.934,165
2024-09-06 15:00:00,286.56,287.0,283.53,283.69,64888.0,284.878,374
2024-09-06 16:00:00,283.57,285.37,283.15,283.52,52393.0,284.159,339
2024-09-06 17:00:00,283.78,283.83,282.66,283.83,26408.0,283.189,202
2024-09-06 18:00:00,283.6,284.85,283.36,284.69,82113.0,284.101,555
2024-09-06 19:00:00,284.59,284.68,282.98,283.62,60671.0,283.761,425
2024-09-06 20:00:00,283.63,284.32,282.65,283.39,170415.0,283.418,1173
2024-09-09 14:30:00,283.5,284.65,283.25,284.25,33216.0,283.89,112
2024-09-09 15:00:00,284.25,285.86,284.0,284.73,42792.0,284.749,169
2024-09-09 16:00:00,284.54,285.66,284.48,285.13,16913.0,285.176,138
2024-09-09 17:00:00,285.15,286.19,284.99,286.07,37397.0,285.699,263
2024-09-09 18:00:00,286.01,286.05,284.35,284.56,24797.0,285.124,188
2024-09-09 19:00:00,284.58,285.1,283.75,285.1,57137.0,284.488,362
2024-09-09 20:00:00,285.04,285.13,282.93,283.36,124137.0,283.711,944
2024-09-10 14:30:00,283.92,284.11,282.22,282.88,31462.0,283.365,125
2024-09-10 15:00:00,282.86,282.86,280.07,281.06,69307.0,280.984,361
2024-09-10 16:00:00,281.12,282.26,280.73,280.85,54767.0,281.509,323
2024-09-10 17:00:00,280.76,281.11,280.24,280.72,32577.0,280.668,248
