date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,65.8,65.94,64.45,64.67,21885.0,65.328,87
2024-08-29 15:00:00,64.72,65.59,64.7,65.31,38663.0,65.328,240
2024-08-29 16:00:00,65.33,65.53,65.18,65.45,21043.0,65.343,154
2024-08-29 17:00:00,65.46,65.85,65.43,65.82,21517.0,65.644,155
2024-08-29 18:00:00,65.8,65.98,65.74,65.96,19029.0,65.84,136
2024-08-29 19:00:00,65.94,65.98,65.41,65.48,27703.0,65.735,187
2024-08-29 20:00:00,65.49,65.6,65.12,65.39,87943.0,65.314,555
2024-08-30 14:30:00,65.38,65.59,64.35,64.86,50164.0,65.056,208
2024-08-30 15:00:00,64.92,65.27,64.8,64.97,54131.0,64.972,336
2024-08-30 16:00:00,64.99,65.2,64.5,64.67,67725.0,64.852,335
2024-08-30 17:00:00,64.7,64.88,64.35,64.46,43172.0,64.554,320
2024-08-30 18:00:00,64.41,64.44,64.18,64.23,22956.0,64.287,159
2024-08-30 19:00:00,64.26,64.34,64.15,64.23,40652.0,64.237,289
2024-08-30 20:00:00,64.24,64.65,64.21,64.57,164330.0,64.49,990
2024-09-03 14:30:00,63.21,63.36,62.12,62.63,87728.0,62.89,282
2024-09-03 15:00:00,62.52,62.52,61.78,62.04,80139.0,61.974,484
2024-09-03 16:00:00,62.12,62.77,61.98,62.77,154889.0,62.137,352
2024-09-03 17:00:00,62.74,63.33,62.69,63.27,39547.0,63.108,305
2024-09-03 18:00:00,63.23,63.51,63.1,63.15,15203.0,63.311,129
2024-09-03 19:00:00,63.11,63.27,62.93,63.05,27412.0,63.112,211
2024-09-03 20:00:00,62.97,62.99,62.48,62.62,178512.0,62.677,1203
2024-09-04 14:30:00,62.72,63.43,62.59,63.29,26347.0,62.935,146
2024-09-04 15:00:00,63.11,63.66,62.99,63.54,36204.0,63.421,235
2024-09-04 16:00:00,63.58,63.64,62.96,63.17,39534.0,63.263,310
2024-09-04 17:00:00,63.12,63.72,63.06,63.53,25074.0,63.381,205
2024-09-04 18:00:00,63.53,63.55,62.8,62.88,28837.0,63.218,176
