date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,11.02,11.13,10.99,11.0,2890560.0,11.049,3726
2024-08-29 15:00:00,11.01,11.09,11.0,11.04,4083849.0,11.059,5427
2024-08-29 16:00:00,11.04,11.14,11.02,11.13,4137998.0,11.082,5397
2024-08-29 17:00:00,11.13,11.16,11.12,11.16,3282221.0,11.138,4226
2024-08-29 18:00:00,11.16,11.2,11.12,11.19,3790552.0,11.154,4630
2024-08-29 19:00:00,11.19,11.2,11.12,11.13,4345680.0,11.167,5565
2024-08-29 20:00:00,11.13,11.16,11.1,11.11,7123027.0,11.126,9123
2024-08-30 14:30:00,11.15,11.22,11.1,11.14,2227067.0,11.156,3764
2024-08-30 15:00:00,11.13,11.21,11.11,11.11,6112278.0,11.167,7634
2024-08-30 16:00:00,11.11,11.17,11.1,11.13,4444056.0,11.13,5829
2024-08-30 17:00:00,11.13,11.16,11.08,11.08,3657745.0,11.11,4438
2024-08-30 18:00:00,11.09,11.11,11.05,11.09,2663587.0,11.084,3644
2024-08-30 19:00:00,11.09,11.16,11.08,11.16,3957867.0,11.14,5334
2024-08-30 20:00:00,11.16,11.23,11.12,11.19,10164117.0,11.187,14788
2024-09-03 14:30:00,11.08,11.14,11.0,11.04,5172811.0,11.065,5511
2024-09-03 15:00:00,11.03,11.04,10.94,11.04,6798519.0,10.983,10280
2024-09-03 16:00:00,11.04,11.07,10.98,11.0,5122644.0,11.027,7922
2024-09-03 17:00:00,10.99,11.03,10.98,11.0,3335881.0,11.0,5183
2024-09-03 18:00:00,10.99,11.04,10.97,11.02,3826123.0,10.993,5744
2024-09-03 19:00:00,11.02,11.04,10.99,11.0,5107801.0,11.006,6715
2024-09-03 20:00:00,11.0,11.03,10.95,10.99,10222828.0,10.987,15330
2024-09-04 14:30:00,10.99,11.15,10.98,11.15,4775174.0,11.088,6830
2024-09-04 15:00:00,11.15,11.16,11.05,11.13,6812918.0,11.098,8234
2024-09-04 16:00:00,11.13,11.14,11.09,11.11,5228935.0,11.122,6467
2024-09-04 17:00:00,11.11,11.11,11.03,11.03,3141880.0,11.073,4392
2024-09-04 18:00:00,11.04,11.04,10.92,10.93,4213241.0,10.972,4961
2024-09-04 19:00:00,10.93,10.94,10.86,10.88,5624288.0,10.901,5712
2024-09-04 20:00:00,10.87,10.95,10.85,10.95,10534482.0,10.899,11886
2024-09-05 14:30:00,11.08,11.14,10.75,10.79,6773514.0,10.885,8682
2024-09-05 15:00:00,10.78,10.99,10.78,10.88,7503604.0,10.921,10491
2024-09-05 16:00:00,10.88,10.88,10.78,10.79,6281949.0,10.834,9766
2024-09-05 17:00:00,10.79,10.83,10.76,10.78,4931576.0,10.789,7182
2024-09-05 18:00:00,10.78,10.79,10.73,10.77,5233843.0,10.759,7431
2024-09-05 19:00:00,10.77,10.79,10.75,10.76,2975916.0,10.768,5568
2024-09-05 20:00:00,10.77,10.79,10.72,10.77,9132957.0,10.755,12740
2024-09-06 14:30:00,10.78,10.87,10.74,10.82,3057052.0,10.814,4518
2024-09-06 15:00:00,10.81,10.84,10.65,10.68,6471759.0,10.752,7366
2024-09-06 16:00:00,10.67,10.77,10.57,10.59,7295883.0,10.638,9174
2024-09-06 17:00:00,10.6,10.61,10.54,10.57,4895384.0,10.575,6523
2024-09-06 18:00:00,10.58,10.61,10.55,10.59,4330848.0,10.575,6370
2024-09-06 19:00:00,10.59,10.59,10.53,10.56,2803117.0,10.554,4127
2024-09-06 20:00:00,10.57,10.65,10.56,10.59,9665615.0,10.603,12212
2024-09-09 14:30:00,10.65,10.67,10.53,10.61,3732675.0,10.583,5687
2024-09-09 15:00:00,10.61,10.68,10.6,10.63,5180192.0,10.645,6534
2024-09-09 16:00:00,10.63,10.68,10.6,10.68,4349375.0,10.634,5611
2024-09-09 17:00:00,10.67,10.75,10.67,10.74,3991617.0,10.727,4889
2024-09-09 18:00:00,10.74,10.76,10.69,10.7,3999601.0,10.733,4727
2024-09-09 19:00:00,10.7,10.72,10.68,10.7,2806647.0,10.701,3811
2024-09-09 20:00:00,10.71,10.72,10.65,10.66,7212161.0,10.685,10297
2024-09-10 14:30:00,10.49,10.49,10.24,10.29,9890009.0,10.326,13327
2024-09-10 15:00:00,10.29,10.36,10.25,10.27,8948743.0,10.287,11677
2024-09-10 16:00:00,10.27,10.35,10.23,10.24,8003706.0,10.294,11032
2024-09-10 17:00:00,10.24,10.24,10.17,10.22,7173268.0,10.213,10348
2024-09-10 18:00:00,10.22,10.31,10.22,10.29,4608447.0,10.27,7200
2024-09-10 19:00:00,10.29,10.33,10.28,10.33,4755492.0,10.309,5691
2024-09-10 20:00:00,10.32,10.37,10.29,10.32,9059326.0,10.326,12942
2024-09-11 14:30:00,10.31,10.31,10.21,10.21,4258777.0,10.241,5323
2024-09-11 15:00:00,10.21,10.22,10.13,10.17,8446815.0,10.174,10551
2024-09-11 16:00:00,10.17,10.22,10.15,10.2,8075531.0,10.198,8923
2024-09-11 17:00:00,10.21,10.28,10.19,10.27,5414038.0,10.228,6778
2024-09-11 18:00:00,10.27,10.34,10.26,10.34,5814067.0,10.307,7520
2024-09-11 19:00:00,10.34,10.41,10.33,10.38,5074101.0,10.366,7745
2024-09-11 20:00:00,10.37,10.46,10.35,10.44,8685788.0,10.417,12501
2024-09-12 14:30:00,10.4,10.46,10.31,10.37,3519484.0,10.382,4964
2024-09-12 15:00:00,10.37,10.56,10.35,10.53,7090414.0,10.492,8901
2024-09-12 16:00:00,10.53,10.58,10.5,10.56,7312771.0,10.537,8395
2024-09-12 17:00:00,10.56,10.63,10.55,10.62,5251033.0,10.57,6459
2024-09-12 18:00:00,10.61,10.65,10.6,10.63,2765358.0,10.619,4314
2024-09-12 19:00:00,10.63,10.64,10.56,10.59,3187139.0,10.6,5005
2024-09-12 20:00:00,10.59,10.63,10.58,10.62,6813698.0,10.608,12153
2024-09-13 14:30:00,10.68,10.79,10.67,10.77,4438778.0,10.742,5075
2024-09-13 15:00:00,10.77,10.79,10.7,10.75,5926809.0,10.753,7644
2024-09-13 16:00:00,10.75,10.75,10.66,10.7,6603466.0,10.697,7254
2024-09-13 17:00:00,10.7,10.71,10.62,10.63,3136709.0,10.664,4248
2024-09-13 18:00:00,10.63,10.68,10.63,10.66,2967873.0,10.653,3406
2024-09-13 19:00:00,10.66,10.68,10.63,10.67,3246273.0,10.662,3956
2024-09-13 20:00:00,10.66,10.69,10.64,10.69,4645393.0,10.668,7482
2024-09-16 14:30:00,10.74,10.92,10.71,10.85,5147254.0,10.802,6619
2024-09-16 15:00:00,10.85,10.85,10.76,10.78,4260289.0,10.808,5970
2024-09-16 16:00:00,10.78,10.83,10.77,10.83,3847378.0,10.798,5189
2024-09-16 17:00:00,10.82,10.85,10.79,10.83,4128093.0,10.819,5437
2024-09-16 18:00:00,10.84,10.84,10.8,10.81,2283893.0,10.815,3998
2024-09-16 19:00:00,10.81,10.85,10.8,10.84,2762431.0,10.828,4844
2024-09-16 20:00:00,10.84,10.85,10.77,10.8,7275226.0,10.808,10980
2024-09-17 14:30:00,10.89,11.1,10.89,11.06,6320285.0,11.007,8375
2024-09-17 15:00:00,11.06,11.14,11.03,11.04,9463546.0,11.09,10895
