date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,78.93,78.93,78.25,78.65,342913.0,78.618,1485
2024-08-29 15:00:00,78.64,79.34,78.64,79.31,553833.0,79.146,2669
2024-08-29 16:00:00,79.31,79.47,79.15,79.29,484077.0,79.331,3048
2024-08-29 17:00:00,79.29,79.61,79.23,79.49,307218.0,79.447,1694
2024-08-29 18:00:00,79.51,79.57,79.31,79.56,175873.0,79.459,1293
2024-08-29 19:00:00,79.56,79.56,79.14,79.31,312621.0,79.351,2263
2024-08-29 20:00:00,79.31,79.65,79.08,79.46,1140414.0,79.423,6676
2024-08-30 14:30:00,79.43,80.25,79.17,79.4,564093.0,79.758,2246
2024-08-30 15:00:00,79.4,79.62,79.2,79.2,254388.0,79.416,1657
2024-08-30 16:00:00,79.19,79.24,78.81,78.9,219015.0,79.001,1525
2024-08-30 17:00:00,78.89,79.02,78.6,78.96,243950.0,78.81,1019
2024-08-30 18:00:00,78.97,79.06,78.81,78.87,89340.0,78.92,675
2024-08-30 19:00:00,78.86,79.08,78.85,79.0,167882.0,78.961,1066
2024-08-30 20:00:00,79.0,79.29,78.87,78.99,845036.0,79.054,5870
2024-09-03 14:30:00,79.75,80.39,79.4,80.31,518932.0,79.945,1783
2024-09-03 15:00:00,80.31,80.44,79.74,80.27,534601.0,80.123,3798
2024-09-03 16:00:00,80.28,80.29,79.73,79.9,395942.0,79.942,2543
2024-09-03 17:00:00,79.89,80.02,79.61,79.78,221225.0,79.816,1621
2024-09-03 18:00:00,79.77,80.0,79.77,79.95,241616.0,79.937,1770
2024-09-03 19:00:00,79.94,80.15,79.85,79.85,329244.0,79.989,2010
2024-09-03 20:00:00,79.85,79.85,79.54,79.73,749341.0,79.684,5357
2024-09-04 14:30:00,79.66,80.0,79.41,79.91,215008.0,79.721,822
2024-09-04 15:00:00,79.88,79.95,79.5,79.68,247537.0,79.706,1725
2024-09-04 16:00:00,79.69,79.72,79.3,79.41,251516.0,79.463,1916
2024-09-04 17:00:00,79.39,79.43,79.11,79.11,180917.0,79.242,1227
2024-09-04 18:00:00,79.1,79.18,78.72,78.95,210145.0,78.911,1337
2024-09-04 19:00:00,78.97,79.21,78.89,79.12,197681.0,79.069,1380
2024-09-04 20:00:00,79.12,79.29,79.02,79.13,538027.0,79.172,4004
2024-09-05 14:30:00,79.16,79.32,78.16,78.58,214899.0,78.714,1134
2024-09-05 15:00:00,78.61,78.79,78.07,78.08,239501.0,78.399,1765
2024-09-05 16:00:00,78.08,78.08,77.74,77.92,292396.0,77.917,2185
2024-09-05 17:00:00,77.92,78.34,77.79,78.27,234087.0,78.059,1395
2024-09-05 18:00:00,78.28,78.65,78.2,78.63,140068.0,78.404,1217
2024-09-05 19:00:00,78.64,78.87,78.55,78.72,214873.0,78.708,1727
2024-09-05 20:00:00,78.72,78.8,78.45,78.8,664362.0,78.664,4846
2024-09-06 14:30:00,78.87,79.21,78.67,78.88,164913.0,78.97,785
2024-09-06 15:00:00,78.87,78.93,78.26,78.34,258753.0,78.54,1726
2024-09-06 16:00:00,78.36,78.86,78.33,78.57,402250.0,78.593,2175
2024-09-06 17:00:00,78.56,78.66,78.31,78.52,353366.0,78.517,1903
2024-09-06 18:00:00,78.52,78.79,78.48,78.72,235400.0,78.632,1294
2024-09-06 19:00:00,78.72,78.77,78.44,78.48,308115.0,78.612,1562
2024-09-06 20:00:00,78.49,78.84,78.49,78.75,1341171.0,78.721,8215
2024-09-09 14:30:00,78.4,79.16,78.36,79.08,207552.0,78.765,1092
2024-09-09 15:00:00,79.09,79.38,78.85,79.31,287004.0,79.099,2301
2024-09-09 16:00:00,79.29,79.58,79.1,79.38,262413.0,79.318,1851
2024-09-09 17:00:00,79.37,79.74,79.34,79.72,212270.0,79.552,1682
2024-09-09 18:00:00,79.72,80.2,79.11,79.3,611266.0,79.604,3779
2024-09-09 19:00:00,79.34,79.49,79.16,79.17,257296.0,79.322,1848
2024-09-09 20:00:00,79.16,79.4,79.06,79.16,603515.0,79.201,4474
2024-09-10 14:30:00,79.23,80.91,78.73,80.8,650837.0,80.207,2952
2024-09-10 15:00:00,80.78,80.78,80.51,80.72,551587.0,80.639,3264
2024-09-10 16:00:00,80.72,80.84,80.24,80.26,430406.0,80.524,2664
2024-09-10 17:00:00,80.25,80.58,79.93,80.55,333359.0,80.152,1722
2024-09-10 18:00:00,80.55,81.18,80.53,81.15,284727.0,80.908,1746
2024-09-10 19:00:00,81.16,81.52,81.11,81.51,383785.0,81.338,2650
2024-09-10 20:00:00,81.52,81.56,81.06,81.44,909193.0,81.357,6268
2024-09-11 14:30:00,81.23,81.23,80.0,80.04,330910.0,80.764,1112
2024-09-11 15:00:00,80.04,80.13,79.64,79.88,792936.0,79.845,3224
2024-09-11 16:00:00,79.88,80.41,79.8,80.14,430562.0,80.068,2392
2024-09-11 17:00:00,80.13,80.69,80.12,80.64,241122.0,80.409,1757
2024-09-11 18:00:00,80.65,80.73,80.42,80.48,296064.0,80.567,1376
2024-09-11 19:00:00,80.47,80.82,80.38,80.72,277762.0,80.603,1835
2024-09-11 20:00:00,80.72,81.06,80.65,80.96,904815.0,80.855,5637
2024-09-12 14:30:00,83.36,84.89,81.98,82.07,2213830.0,83.317,8933
2024-09-12 15:00:00,82.06,83.07,81.98,82.34,1232399.0,82.62,7653
2024-09-12 16:00:00,82.34,82.84,82.04,82.53,862233.0,82.549,4636
2024-09-12 17:00:00,82.53,82.94,82.4,82.84,440578.0,82.656,2719
2024-09-12 18:00:00,82.84,83.12,82.83,83.04,467731.0,82.983,2476
2024-09-12 19:00:00,83.04,83.71,83.01,83.37,575283.0,83.361,3530
2024-09-12 20:00:00,83.37,83.5,83.03,83.16,1284755.0,83.257,7848
2024-09-13 14:30:00,81.95,83.17,81.57,83.04,712336.0,82.579,3076
2024-09-13 15:00:00,83.04,83.1,82.29,82.7,480251.0,82.599,2901
2024-09-13 16:00:00,82.7,82.88,82.44,82.81,321941.0,82.64,2138
2024-09-13 17:00:00,82.8,82.88,82.31,82.53,429220.0,82.495,2325
2024-09-13 18:00:00,82.53,82.68,82.44,82.52,163924.0,82.539,1247
2024-09-13 19:00:00,82.53,82.68,82.31,82.66,432823.0,82.487,2686
