date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,71.62,71.65,70.72,70.84,145530.0,71.117,411
2024-08-29 15:00:00,70.85,71.41,70.83,71.21,268665.0,71.12,793
2024-08-29 16:00:00,71.23,71.34,71.07,71.31,138289.0,71.191,872
2024-08-29 17:00:00,71.3,71.43,71.17,71.37,237424.0,71.281,894
2024-08-29 18:00:00,71.37,71.45,71.23,71.3,82761.0,71.346,611
2024-08-29 19:00:00,71.3,71.56,71.29,71.52,126327.0,71.466,879
2024-08-29 20:00:00,71.51,71.54,71.25,71.37,529297.0,71.376,3296
2024-08-30 14:30:00,71.25,71.77,71.25,71.56,78431.0,71.421,197
2024-08-30 15:00:00,71.59,72.12,71.57,72.1,262386.0,71.938,1445
2024-08-30 16:00:00,72.1,72.12,71.72,71.84,251267.0,71.875,1163
2024-08-30 17:00:00,71.83,72.0,71.76,71.91,121313.0,71.892,787
2024-08-30 18:00:00,71.91,71.98,71.81,71.85,88957.0,71.891,544
2024-08-30 19:00:00,71.84,71.96,71.79,71.95,80353.0,71.882,552
2024-08-30 20:00:00,71.95,72.43,71.94,72.28,608424.0,72.25,4125
2024-09-03 14:30:00,72.3,72.3,71.53,72.23,209733.0,72.049,1036
2024-09-03 15:00:00,72.24,72.63,72.18,72.58,320700.0,72.359,2103
2024-09-03 16:00:00,72.58,72.68,72.4,72.56,318222.0,72.51,1792
2024-09-03 17:00:00,72.56,72.8,72.54,72.7,268377.0,72.707,1556
2024-09-03 18:00:00,72.7,72.73,72.61,72.7,273061.0,72.681,1695
2024-09-03 19:00:00,72.7,72.85,72.45,72.45,218252.0,72.685,1542
2024-09-03 20:00:00,72.45,72.63,72.04,72.63,1074954.0,72.308,6652
2024-09-04 14:30:00,72.65,73.58,72.6,73.48,220819.0,73.147,1016
2024-09-04 15:00:00,73.52,73.77,73.14,73.27,203586.0,73.4,1446
2024-09-04 16:00:00,73.27,73.4,73.16,73.3,104034.0,73.288,713
2024-09-04 17:00:00,73.3,73.32,73.0,73.02,130216.0,73.168,950
2024-09-04 18:00:00,73.01,73.02,72.7,72.9,144536.0,72.837,810
2024-09-04 19:00:00,72.9,73.2,72.89,73.16,117959.0,73.066,822
2024-09-04 20:00:00,73.15,73.63,73.08,73.54,460751.0,73.439,2766
2024-09-05 14:30:00,73.87,74.38,73.78,74.08,182388.0,74.118,956
2024-09-05 15:00:00,74.06,74.54,73.87,74.25,369828.0,74.301,2480
2024-09-05 16:00:00,74.25,74.4,74.11,74.25,329169.0,74.233,2327
2024-09-05 17:00:00,74.25,74.49,74.1,74.45,243301.0,74.28,1421
2024-09-05 18:00:00,74.45,74.8,74.42,74.75,316167.0,74.594,1390
2024-09-05 19:00:00,74.75,74.83,74.57,74.58,377099.0,74.727,2470
2024-09-05 20:00:00,74.58,74.64,74.35,74.52,876713.0,74.455,5621
2024-09-06 14:30:00,74.6,75.15,74.42,75.05,233022.0,74.901,826
2024-09-06 15:00:00,75.05,75.31,74.91,75.19,304563.0,75.15,1864
2024-09-06 16:00:00,75.2,75.44,75.13,75.26,250507.0,75.269,1719
2024-09-06 17:00:00,75.25,75.39,75.17,75.37,204220.0,75.269,1365
2024-09-06 18:00:00,75.37,75.39,75.06,75.35,276601.0,75.198,1327
2024-09-06 19:00:00,75.34,75.48,75.21,75.43,176489.0,75.36,1095
2024-09-06 20:00:00,75.42,75.54,75.02,75.1,812514.0,75.165,4944
2024-09-09 14:30:00,75.06,75.32,74.52,75.13,218424.0,74.968,1081
2024-09-09 15:00:00,75.15,75.46,74.98,75.36,242300.0,75.259,1633
2024-09-09 16:00:00,75.38,75.45,75.13,75.15,189801.0,75.296,1319
2024-09-09 17:00:00,75.16,75.42,75.15,75.31,192353.0,75.279,1263
2024-09-09 18:00:00,75.3,75.32,75.09,75.14,177418.0,75.157,1296
2024-09-09 19:00:00,75.14,75.16,74.86,75.07,328906.0,74.95,2113
2024-09-09 20:00:00,75.07,75.2,74.95,75.15,654050.0,75.093,4236
2024-09-10 14:30:00,75.15,75.75,75.0,75.39,204675.0,75.431,829
2024-09-10 15:00:00,75.38,75.69,75.22,75.64,285409.0,75.452,1710
2024-09-10 16:00:00,75.64,75.9,75.61,75.84,186815.0,75.776,1294
2024-09-10 17:00:00,75.84,75.84,75.54,75.62,147223.0,75.632,846
2024-09-10 18:00:00,75.61,75.7,75.45,75.48,152911.0,75.596,822
2024-09-10 19:00:00,75.48,75.52,74.93,75.03,245810.0,75.122,1608
