date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,372.61,373.32,367.3,368.28,125547.0,370.217,567
2024-08-29 15:00:00,368.22,370.03,367.88,368.12,244029.0,369.114,1657
2024-08-29 16:00:00,368.28,369.63,368.19,368.97,124939.0,368.829,889
2024-08-29 17:00:00,368.98,369.81,368.86,369.41,141576.0,369.352,958
2024-08-29 18:00:00,369.52,370.18,368.76,369.89,96031.0,369.282,720
2024-08-29 19:00:00,369.85,370.21,367.58,368.35,109309.0,368.862,749
2024-08-29 20:00:00,368.28,369.4,366.93,367.0,301496.0,367.603,2172
2024-08-30 14:30:00,369.24,370.41,366.75,368.77,89103.0,368.706,490
2024-08-30 15:00:00,368.77,368.92,366.45,366.79,174588.0,367.596,996
2024-08-30 16:00:00,366.78,367.71,364.87,366.65,122752.0,366.413,789
2024-08-30 17:00:00,366.62,366.86,364.98,366.46,82263.0,365.964,566
2024-08-30 18:00:00,366.4,366.87,365.25,365.65,73767.0,365.856,528
2024-08-30 19:00:00,365.66,366.77,365.4,366.3,98573.0,366.251,779
2024-08-30 20:00:00,366.22,369.68,366.06,368.43,483557.0,368.272,3331
2024-09-03 14:30:00,367.9,369.38,366.27,368.37,165031.0,368.111,826
2024-09-03 15:00:00,368.31,368.32,365.5,367.21,111703.0,366.627,830
2024-09-03 16:00:00,367.18,368.62,366.82,367.15,109320.0,367.601,760
2024-09-03 17:00:00,367.0,367.37,364.58,364.84,92013.0,365.837,752
2024-09-03 18:00:00,364.87,366.31,364.58,365.51,68224.0,365.594,558
2024-09-03 19:00:00,365.54,365.92,364.71,365.07,66210.0,365.395,540
2024-09-03 20:00:00,365.19,365.58,362.9,364.87,317496.0,364.238,2346
2024-09-04 14:30:00,364.17,365.57,362.65,365.31,146726.0,363.898,806
2024-09-04 15:00:00,365.16,365.93,362.98,363.6,264272.0,364.789,1362
2024-09-04 16:00:00,363.76,364.22,361.5,361.5,121039.0,362.456,783
2024-09-04 17:00:00,361.63,362.15,360.44,360.59,77152.0,361.492,529
2024-09-04 18:00:00,360.58,362.8,360.01,362.35,230732.0,361.901,1032
2024-09-04 19:00:00,362.33,362.9,361.73,362.1,84652.0,362.322,550
2024-09-04 20:00:00,362.1,365.05,361.82,364.64,416085.0,364.389,2720
2024-09-05 14:30:00,364.9,365.15,357.58,359.47,193001.0,360.63,1271
2024-09-05 15:00:00,359.48,362.41,359.48,360.4,141401.0,361.045,1109
2024-09-05 16:00:00,360.52,360.77,358.79,358.86,139337.0,359.502,1090
2024-09-05 17:00:00,358.75,360.78,358.23,360.34,84783.0,359.345,693
2024-09-05 18:00:00,360.37,361.24,359.28,361.06,123987.0,360.012,894
2024-09-05 19:00:00,361.2,362.11,360.96,361.14,98819.0,361.469,794
2024-09-05 20:00:00,361.12,361.87,359.69,361.77,317089.0,361.176,2290
2024-09-06 14:30:00,362.92,365.44,362.0,363.63,118197.0,363.978,538
2024-09-06 15:00:00,363.63,364.05,360.77,361.06,172918.0,362.574,1307
2024-09-06 16:00:00,361.14,364.1,359.42,360.37,117236.0,361.563,805
2024-09-06 17:00:00,360.22,361.41,359.92,361.41,61799.0,360.744,490
2024-09-06 18:00:00,361.18,362.09,360.78,361.4,79656.0,361.338,593
2024-09-06 19:00:00,361.45,361.47,360.08,361.22,65330.0,360.756,519
2024-09-06 20:00:00,361.21,362.13,359.56,360.25,254666.0,360.645,2020
2024-09-09 14:30:00,362.76,362.92,360.03,361.97,147902.0,361.744,824
2024-09-09 15:00:00,362.22,364.37,361.79,363.96,139348.0,363.365,1040
2024-09-09 16:00:00,363.96,366.15,363.11,365.73,126911.0,364.746,763
2024-09-09 17:00:00,365.68,366.16,364.64,364.99,111969.0,365.503,801
2024-09-09 18:00:00,364.92,365.09,363.85,363.85,108900.0,364.603,645
