date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,37.98,38.32,37.76,37.83,46954.0,38.003,310
2024-08-29 15:00:00,37.84,38.07,37.73,37.73,74085.0,37.932,520
2024-08-29 16:00:00,37.75,38.11,37.75,38.08,59805.0,37.954,475
2024-08-29 17:00:00,38.08,38.12,37.86,37.88,63267.0,38.014,481
2024-08-29 18:00:00,37.87,37.96,37.75,37.93,68854.0,37.855,519
2024-08-29 19:00:00,37.92,37.92,37.64,37.75,71269.0,37.813,571
2024-08-29 20:00:00,37.74,37.91,37.47,37.53,266027.0,37.652,1753
2024-08-30 14:30:00,37.85,37.97,37.49,37.54,22271.0,37.707,121
2024-08-30 15:00:00,37.59,37.8,37.57,37.63,85340.0,37.684,675
2024-08-30 16:00:00,37.61,37.67,37.33,37.34,48525.0,37.489,410
2024-08-30 17:00:00,37.34,37.41,37.17,37.27,75461.0,37.302,644
2024-08-30 18:00:00,37.27,37.38,37.22,37.29,82444.0,37.275,706
2024-08-30 19:00:00,37.3,37.41,37.27,37.38,170746.0,37.352,557
2024-08-30 20:00:00,37.39,37.52,37.34,37.42,260185.0,37.423,1829
2024-09-03 14:30:00,37.14,37.59,36.91,37.22,47855.0,37.151,252
2024-09-03 15:00:00,37.17,37.46,36.89,37.45,118785.0,37.235,831
2024-09-03 16:00:00,37.46,37.89,37.44,37.85,80845.0,37.676,635
2024-09-03 17:00:00,37.86,37.86,37.69,37.7,72673.0,37.765,576
2024-09-03 18:00:00,37.7,37.7,37.42,37.49,44348.0,37.571,376
2024-09-03 19:00:00,37.5,37.5,37.32,37.35,75625.0,37.379,593
2024-09-03 20:00:00,37.35,37.48,37.15,37.27,197661.0,37.307,1341
2024-09-04 14:30:00,37.09,37.86,36.99,37.76,57340.0,37.469,358
2024-09-04 15:00:00,37.7,37.95,37.39,37.94,125481.0,37.608,559
2024-09-04 16:00:00,37.95,37.95,37.5,37.57,60055.0,37.657,449
2024-09-04 17:00:00,37.58,37.66,37.51,37.51,37724.0,37.574,287
2024-09-04 18:00:00,37.5,37.53,37.33,37.37,32276.0,37.433,257
2024-09-04 19:00:00,37.35,37.42,37.26,37.34,43405.0,37.334,374
2024-09-04 20:00:00,37.33,37.53,37.29,37.5,175003.0,37.415,1301
2024-09-05 14:30:00,37.74,37.87,37.36,37.44,36596.0,37.703,222
2024-09-05 15:00:00,37.5,37.79,37.19,37.26,51287.0,37.427,409
2024-09-05 16:00:00,37.24,37.33,37.11,37.3,53522.0,37.229,412
2024-09-05 17:00:00,37.29,37.53,37.29,37.51,67485.0,37.42,544
