date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,497.94,504.75,496.14,504.75,17837.0,500.282,128
2024-08-29 15:00:00,504.75,506.31,503.0,504.54,17678.0,504.549,139
2024-08-29 16:00:00,503.83,506.0,503.83,505.51,11069.0,504.965,95
2024-08-29 17:00:00,505.88,507.3,505.59,506.0,15448.0,506.377,93
2024-08-29 18:00:00,506.08,506.08,503.51,505.76,7608.0,505.044,66
2024-08-29 19:00:00,505.56,506.64,499.84,500.77,24667.0,503.392,214
2024-08-29 20:00:00,500.96,502.5,498.05,500.09,53731.0,499.911,395
2024-08-30 14:30:00,503.57,506.55,501.94,503.4,10437.0,503.632,73
2024-08-30 15:00:00,504.53,504.95,499.13,499.14,15519.0,503.09,121
2024-08-30 16:00:00,498.24,499.29,495.74,497.29,7727.0,497.448,63
2024-08-30 17:00:00,495.72,497.55,494.8,494.86,11605.0,495.999,80
2024-08-30 18:00:00,495.38,496.46,493.77,496.46,11915.0,495.085,110
2024-08-30 19:00:00,496.6,499.29,495.63,497.81,10600.0,497.384,85
2024-08-30 20:00:00,498.15,499.84,496.73,498.64,51637.0,498.06,412
2024-09-03 14:30:00,497.62,511.1,496.2,509.03,34231.0,505.287,196
2024-09-03 15:00:00,508.0,510.95,500.0,500.08,48186.0,506.786,382
2024-09-03 16:00:00,500.08,501.36,497.5,499.62,18352.0,499.431,135
2024-09-03 17:00:00,500.27,500.45,494.81,496.2,5736.0,497.594,51
2024-09-03 18:00:00,496.75,497.18,494.93,495.94,2906.0,496.18,26
2024-09-03 19:00:00,495.04,495.18,491.73,493.35,6350.0,492.98,53
2024-09-03 20:00:00,493.9,495.97,492.03,495.64,51035.0,494.382,362
2024-09-04 14:30:00,491.19,493.65,486.24,493.42,20029.0,490.128,158
2024-09-04 15:00:00,490.99,500.19,487.51,499.94,26084.0,494.946,204
2024-09-04 16:00:00,499.57,500.12,491.96,494.19,16946.0,494.811,149
2024-09-04 17:00:00,494.19,494.96,492.48,494.25,13687.0,493.846,127
2024-09-04 18:00:00,494.18,495.01,492.13,493.05,15754.0,493.654,131
2024-09-04 19:00:00,492.96,493.5,490.7,490.7,35549.0,492.488,279
2024-09-04 20:00:00,490.46,494.63,488.86,494.26,78634.0,492.824,611
2024-09-05 14:30:00,493.05,498.13,491.82,496.38,10743.0,494.136,46
2024-09-05 15:00:00,497.87,500.0,495.63,497.4,11099.0,497.621,95
2024-09-05 16:00:00,497.03,499.32,496.72,499.18,13383.0,498.203,111
2024-09-05 17:00:00,499.19,503.2,499.19,502.79,11240.0,501.431,101
2024-09-05 18:00:00,502.79,506.09,501.16,505.8,17511.0,503.113,117
2024-09-05 19:00:00,506.04,510.0,505.99,507.1,29195.0,507.653,252
2024-09-05 20:00:00,507.06,507.06,502.05,503.63,66038.0,503.683,530
2024-09-06 14:30:00,506.52,508.22,500.78,501.56,9721.0,505.111,52
2024-09-06 15:00:00,500.95,504.34,496.63,497.71,23859.0,500.197,208
