date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,133.01,133.98,131.76,132.86,34711.0,132.834,179
2024-08-29 15:00:00,132.84,133.73,132.69,133.34,58402.0,133.377,394
2024-08-29 16:00:00,133.47,133.64,132.71,133.04,51794.0,133.262,218
2024-08-29 17:00:00,133.05,134.09,133.05,133.84,58337.0,133.578,411
2024-08-29 18:00:00,133.84,134.56,133.69,134.21,83053.0,134.156,659
2024-08-29 19:00:00,134.16,134.42,133.61,134.22,142930.0,134.009,1088
2024-08-29 20:00:00,134.2,135.21,133.76,133.77,318665.0,134.46,2139
2024-08-30 14:30:00,133.84,134.09,130.9,133.02,66406.0,132.961,385
2024-08-30 15:00:00,132.82,133.61,132.26,132.43,35733.0,132.765,268
2024-08-30 16:00:00,132.33,132.81,130.4,130.96,50833.0,131.456,289
2024-08-30 17:00:00,130.95,131.39,130.53,131.22,55094.0,130.883,344
2024-08-30 18:00:00,131.08,131.45,130.96,131.25,29449.0,131.237,229
2024-08-30 19:00:00,131.25,131.64,131.15,131.31,26361.0,131.435,205
2024-08-30 20:00:00,131.27,131.75,131.0,131.49,100652.0,131.375,775
2024-09-03 14:30:00,131.3,133.67,131.07,132.8,105227.0,132.335,486
2024-09-03 15:00:00,132.63,132.91,131.55,131.67,57629.0,132.03,440
2024-09-03 16:00:00,131.72,131.76,130.88,131.08,50428.0,131.227,355
2024-09-03 17:00:00,130.96,131.2,130.16,130.33,24600.0,130.616,194
2024-09-03 18:00:00,130.28,130.69,130.11,130.49,42301.0,130.321,253
2024-09-03 19:00:00,130.44,130.9,130.14,130.66,42080.0,130.58,343
2024-09-03 20:00:00,130.61,130.68,129.77,130.28,182817.0,130.147,1451
2024-09-04 14:30:00,128.06,130.76,128.06,130.61,56729.0,128.887,246
2024-09-04 15:00:00,130.46,130.55,129.4,130.1,60388.0,130.076,374
2024-09-04 16:00:00,130.17,130.64,129.19,129.27,44995.0,129.875,360
2024-09-04 17:00:00,129.18,129.54,128.81,129.28,28963.0,129.213,240
2024-09-04 18:00:00,129.25,129.59,128.26,128.56,31898.0,128.88,252
2024-09-04 19:00:00,128.56,128.62,127.69,127.69,36805.0,128.241,264
2024-09-04 20:00:00,127.57,128.7,127.36,128.64,118371.0,128.127,974
2024-09-05 14:30:00,128.39,129.15,128.1,128.64,57262.0,128.516,240
2024-09-05 15:00:00,128.71,130.22,128.4,128.4,91824.0,129.635,597
2024-09-05 16:00:00,128.35,129.15,128.03,128.38,38736.0,128.592,334
2024-09-05 17:00:00,128.38,129.86,128.34,129.75,35007.0,129.225,306
2024-09-05 18:00:00,129.84,130.8,129.4,130.67,56089.0,129.96,398
2024-09-05 19:00:00,130.77,130.84,129.97,130.17,27349.0,130.273,183
2024-09-05 20:00:00,130.17,130.34,129.04,129.8,105335.0,129.719,814
2024-09-06 14:30:00,129.96,130.8,129.21,129.75,35787.0,130.058,221
2024-09-06 15:00:00,129.66,129.8,126.53,126.53,68248.0,128.055,503
2024-09-06 16:00:00,126.72,127.94,125.16,125.24,84156.0,125.889,563
2024-09-06 17:00:00,125.11,125.5,123.87,124.39,158537.0,124.42,538
2024-09-06 18:00:00,124.28,125.51,124.25,125.25,41496.0,124.998,246
2024-09-06 19:00:00,125.23,125.39,124.31,124.57,90326.0,124.832,613
2024-09-06 20:00:00,124.64,125.47,124.3,124.34,228328.0,124.685,1664
2024-09-09 14:30:00,125.0,126.67,124.35,126.45,98846.0,125.76,420
2024-09-09 15:00:00,126.47,126.56,124.77,125.25,198214.0,125.64,1301
2024-09-09 16:00:00,125.17,125.73,124.85,125.09,135219.0,125.292,1010
2024-09-09 17:00:00,125.04,125.43,124.92,124.99,87909.0,125.131,708
2024-09-09 18:00:00,124.99,125.17,123.5,123.59,87701.0,124.375,664
2024-09-09 19:00:00,123.58,123.67,121.87,122.11,166511.0,122.644,1030
2024-09-09 20:00:00,122.18,122.62,121.32,122.6,339710.0,122.166,2476
2024-09-10 14:30:00,122.76,123.45,121.76,122.51,103384.0,122.615,277
2024-09-10 15:00:00,122.5,122.9,121.72,122.79,118313.0,122.127,693
2024-09-10 16:00:00,122.79,123.85,122.42,122.47,57674.0,123.059,475
2024-09-10 17:00:00,122.45,123.79,122.02,123.69,44538.0,123.069,361
2024-09-10 18:00:00,123.67,124.64,123.61,124.42,54693.0,124.198,409
2024-09-10 19:00:00,124.54,124.78,123.68,123.87,71359.0,124.115,496
2024-09-10 20:00:00,123.82,124.32,123.39,124.16,153412.0,123.958,1217
2024-09-11 14:30:00,123.19,123.79,122.47,123.5,29928.0,123.063,154
2024-09-11 15:00:00,123.23,124.49,122.86,123.61,107694.0,123.426,665
2024-09-11 16:00:00,123.62,125.18,123.34,124.71,62958.0,124.595,507
2024-09-11 17:00:00,124.68,125.12,123.92,124.31,129815.0,124.708,870
2024-09-11 18:00:00,124.41,124.77,124.14,124.53,58876.0,124.428,388
2024-09-11 19:00:00,124.52,125.86,124.5,125.52,303626.0,125.18,1258
2024-09-11 20:00:00,125.44,125.44,124.4,124.79,744027.0,124.979,3860
