date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,482.21,484.99,481.25,484.35,66118.0,482.673,275
2024-08-29 15:00:00,484.53,489.79,484.52,488.27,41632.0,486.43,267
2024-08-29 16:00:00,488.3,489.49,487.04,489.14,21187.0,488.419,159
2024-08-29 17:00:00,489.18,491.66,489.18,491.5,31961.0,490.515,241
2024-08-29 18:00:00,491.47,491.54,489.74,491.1,48751.0,490.863,274
2024-08-29 19:00:00,490.94,490.94,485.55,487.12,37997.0,488.04,282
2024-08-29 20:00:00,487.12,489.42,486.31,487.17,96902.0,487.501,737
2024-08-30 14:30:00,489.16,491.8,489.06,491.33,49146.0,490.067,221
2024-08-30 15:00:00,491.43,493.1,490.31,490.83,40989.0,491.94,232
2024-08-30 16:00:00,490.44,491.25,488.37,488.83,57552.0,489.966,318
2024-08-30 17:00:00,488.5,488.5,485.28,487.5,21629.0,486.724,168
2024-08-30 18:00:00,487.9,489.13,487.78,487.96,10114.0,488.539,77
2024-08-30 19:00:00,487.77,490.0,487.68,489.79,17870.0,488.948,112
2024-08-30 20:00:00,490.0,493.44,489.71,492.74,123755.0,492.352,926
2024-09-03 14:30:00,491.67,493.42,487.51,487.75,63764.0,490.967,264
2024-09-03 15:00:00,487.89,488.24,485.79,486.47,79216.0,486.886,440
2024-09-03 16:00:00,486.56,488.0,485.23,485.23,134773.0,486.851,315
2024-09-03 17:00:00,485.27,486.31,483.76,484.77,33288.0,484.888,276
2024-09-03 18:00:00,485.04,487.5,484.54,484.54,35450.0,485.694,213
2024-09-03 19:00:00,484.6,485.25,483.23,484.51,40960.0,484.078,236
2024-09-03 20:00:00,484.24,485.44,480.8,483.57,112302.0,483.068,909
2024-09-04 14:30:00,480.96,484.45,478.28,484.45,89522.0,481.15,386
2024-09-04 15:00:00,484.05,484.65,480.77,482.69,210767.0,482.161,863
2024-09-04 16:00:00,482.83,483.63,480.71,483.27,70068.0,482.012,329
2024-09-04 17:00:00,482.67,482.91,480.56,480.69,69677.0,481.677,377
2024-09-04 18:00:00,480.89,481.28,479.78,480.69,32043.0,480.398,233
2024-09-04 19:00:00,480.84,482.47,480.46,481.62,16035.0,481.409,138
2024-09-04 20:00:00,481.46,482.83,480.8,481.55,114089.0,482.093,940
2024-09-05 14:30:00,480.32,480.32,468.45,475.81,70862.0,475.174,389
2024-09-05 15:00:00,475.89,479.45,473.29,474.22,93134.0,476.781,740
2024-09-05 16:00:00,474.26,474.31,471.89,473.19,53715.0,473.234,426
2024-09-05 17:00:00,473.7,475.95,472.1,475.55,51577.0,474.307,373
2024-09-05 18:00:00,475.62,477.64,475.07,477.45,30140.0,476.136,220
2024-09-05 19:00:00,477.45,478.29,476.77,476.78,31980.0,477.588,260
2024-09-05 20:00:00,476.63,477.38,474.77,476.72,116052.0,475.934,893
2024-09-06 14:30:00,476.92,478.25,474.67,475.49,59702.0,476.393,321
2024-09-06 15:00:00,475.49,476.06,466.0,466.49,147590.0,469.494,1038
2024-09-06 16:00:00,466.65,470.04,466.1,467.47,162049.0,467.781,1060
2024-09-06 17:00:00,467.43,469.51,467.34,468.81,31573.0,468.538,274
2024-09-06 18:00:00,468.56,469.91,467.47,469.52,59152.0,468.6,492
2024-09-06 19:00:00,469.7,469.83,467.81,468.13,43809.0,468.729,309
