date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,164.63,164.68,163.36,163.49,333447.0,163.921,1664
2024-08-29 15:00:00,163.47,164.58,163.45,164.27,339494.0,164.149,2046
2024-08-29 16:00:00,164.26,164.6,164.04,164.37,244519.0,164.333,1695
2024-08-29 17:00:00,164.37,164.59,164.3,164.33,152406.0,164.463,1065
2024-08-29 18:00:00,164.33,164.62,164.13,164.47,162079.0,164.332,954
2024-08-29 19:00:00,164.45,164.65,164.22,164.49,194589.0,164.469,1354
2024-08-29 20:00:00,164.48,164.72,163.92,164.25,730564.0,164.344,4876
2024-08-30 14:30:00,164.12,164.88,163.9,164.61,255985.0,164.445,1016
2024-08-30 15:00:00,164.61,165.0,164.28,164.47,311331.0,164.647,1903
2024-08-30 16:00:00,164.49,164.58,163.81,164.19,263227.0,164.19,1632
2024-08-30 17:00:00,164.19,164.4,163.88,164.38,169011.0,164.127,1059
2024-08-30 18:00:00,164.38,164.62,164.32,164.55,130694.0,164.46,895
2024-08-30 19:00:00,164.53,164.85,164.5,164.8,165544.0,164.736,1217
2024-08-30 20:00:00,164.78,165.98,164.71,165.81,930633.0,165.491,5810
2024-09-03 14:30:00,165.24,166.8,164.77,166.53,507902.0,165.921,1586
2024-09-03 15:00:00,166.6,167.48,166.26,167.43,536715.0,166.875,2952
2024-09-03 16:00:00,167.43,167.58,166.32,167.1,359542.0,166.879,2204
2024-09-03 17:00:00,167.1,167.67,166.94,167.12,302752.0,167.329,1754
2024-09-03 18:00:00,167.16,167.48,167.0,167.33,253748.0,167.285,1517
2024-09-03 19:00:00,167.31,167.81,167.14,167.31,411683.0,167.589,2664
2024-09-03 20:00:00,167.3,167.34,166.75,167.18,921297.0,167.023,6203
2024-09-04 14:30:00,167.81,168.75,167.35,168.57,635328.0,168.131,2809
2024-09-04 15:00:00,168.55,168.85,167.42,167.59,554200.0,168.115,3213
2024-09-04 16:00:00,167.59,167.72,167.24,167.45,308655.0,167.459,1775
2024-09-04 17:00:00,167.44,167.45,166.79,166.81,363795.0,167.113,2173
2024-09-04 18:00:00,166.79,166.79,166.04,166.46,334614.0,166.359,2116
2024-09-04 19:00:00,166.47,166.92,166.07,166.73,368905.0,166.668,2363
2024-09-04 20:00:00,166.73,167.81,166.65,167.27,1150826.0,167.271,6184
2024-09-05 14:30:00,167.2,167.37,166.05,166.34,322831.0,166.853,1404
2024-09-05 15:00:00,166.3,166.53,165.78,165.85,302217.0,166.149,1864
2024-09-05 16:00:00,165.86,166.04,165.59,165.85,229854.0,165.775,1391
2024-09-05 17:00:00,165.84,165.88,165.17,165.75,235885.0,165.497,1496
2024-09-05 18:00:00,165.77,166.05,165.62,166.02,214333.0,165.792,1262
2024-09-05 19:00:00,166.03,166.21,165.64,165.68,292930.0,165.985,1838
2024-09-05 20:00:00,165.66,165.68,164.83,164.97,602968.0,165.046,4089
2024-09-06 14:30:00,165.18,165.94,164.83,165.18,275891.0,165.314,1143
2024-09-06 15:00:00,165.17,165.5,164.75,164.98,419844.0,165.014,2336
2024-09-06 16:00:00,165.0,165.88,165.0,165.2,244426.0,165.411,1710
2024-09-06 17:00:00,165.19,165.37,164.76,164.9,197660.0,164.938,1316
2024-09-06 18:00:00,164.91,164.92,164.51,164.78,180337.0,164.714,1302
2024-09-06 19:00:00,164.8,164.84,164.38,164.51,206209.0,164.551,1316
2024-09-06 20:00:00,164.5,164.72,164.12,164.44,700609.0,164.418,4275
2024-09-09 14:30:00,164.84,165.73,164.47,165.68,343227.0,165.124,1644
2024-09-09 15:00:00,165.68,166.98,165.62,166.9,724481.0,166.175,3617
2024-09-09 16:00:00,166.93,167.41,166.33,167.0,644863.0,167.03,2670
2024-09-09 17:00:00,167.0,167.39,166.93,167.16,240570.0,167.114,1482
2024-09-09 18:00:00,167.16,167.18,166.54,166.57,287751.0,166.706,1359
2024-09-09 19:00:00,166.59,167.04,166.37,166.83,411356.0,166.729,1922
2024-09-09 20:00:00,166.82,167.04,166.49,166.61,781420.0,166.74,4724
2024-09-10 14:30:00,167.5,168.46,167.22,167.49,728656.0,167.8,3161
2024-09-10 15:00:00,167.48,167.53,167.01,167.2,397698.0,167.212,2230
2024-09-10 16:00:00,167.18,167.79,167.1,167.55,318651.0,167.56,2129
2024-09-10 17:00:00,167.53,167.62,167.07,167.58,276033.0,167.389,1810
2024-09-10 18:00:00,167.6,167.66,167.11,167.2,241656.0,167.467,1764
2024-09-10 19:00:00,167.21,167.41,166.74,167.36,492219.0,167.105,2194
2024-09-10 20:00:00,167.37,167.75,167.31,167.42,813133.0,167.512,4873
2024-09-11 14:30:00,166.79,166.79,164.54,164.63,390768.0,165.5,2157
2024-09-11 15:00:00,164.61,164.74,164.09,164.63,417294.0,164.427,3044
2024-09-11 16:00:00,164.64,165.03,164.51,164.77,339610.0,164.819,2200
2024-09-11 17:00:00,164.75,165.49,164.68,165.4,245967.0,165.044,1651
2024-09-11 18:00:00,165.43,165.67,165.2,165.3,314487.0,165.435,2080
2024-09-11 19:00:00,165.3,165.35,164.81,165.14,285268.0,165.132,1702
2024-09-11 20:00:00,165.14,165.36,164.41,164.79,769252.0,164.863,4750
2024-09-12 14:30:00,164.2,165.1,163.48,163.55,188158.0,164.196,882
2024-09-12 15:00:00,163.52,163.52,162.71,162.87,353230.0,163.074,2256
2024-09-12 16:00:00,162.86,163.74,162.85,163.47,180811.0,163.337,1123
2024-09-12 17:00:00,163.47,163.98,163.33,163.91,131494.0,163.578,863
2024-09-12 18:00:00,163.91,164.57,163.91,164.29,145167.0,164.257,919
2024-09-12 19:00:00,164.28,164.54,163.99,164.27,178100.0,164.362,1000
2024-09-12 20:00:00,164.29,164.67,164.12,164.65,440146.0,164.432,3025
2024-09-13 14:30:00,164.74,164.91,163.82,164.91,218768.0,164.526,1146
2024-09-13 15:00:00,164.96,165.25,164.23,164.88,218904.0,164.809,1372
2024-09-13 16:00:00,164.87,165.22,164.61,165.17,158913.0,164.89,1096
2024-09-13 17:00:00,165.19,165.51,165.03,165.41,198220.0,165.278,1366
2024-09-13 18:00:00,165.44,165.69,165.37,165.37,171329.0,165.549,1049
2024-09-13 19:00:00,165.38,165.57,165.16,165.43,279057.0,165.432,1626
2024-09-13 20:00:00,165.42,165.75,165.35,165.53,463645.0,165.538,3102
2024-09-16 14:30:00,166.36,167.25,166.16,166.55,215443.0,166.561,896
2024-09-16 15:00:00,166.57,166.58,165.78,166.34,243252.0,166.147,1453
2024-09-16 16:00:00,166.32,166.89,166.2,166.6,278558.0,166.553,1678
