date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,35.47,35.47,34.98,35.08,874005.0,35.189,4100
2024-08-29 15:00:00,35.07,35.29,35.07,35.2,867672.0,35.195,4044
2024-08-29 16:00:00,35.2,35.35,35.17,35.33,618765.0,35.267,3148
2024-08-29 17:00:00,35.33,35.4,35.3,35.3,343513.0,35.339,2019
2024-08-29 18:00:00,35.3,35.42,35.25,35.36,406402.0,35.327,2427
2024-08-29 19:00:00,35.37,35.43,35.26,35.29,568749.0,35.329,3351
2024-08-29 20:00:00,35.29,35.32,35.21,35.25,1487801.0,35.255,7916
2024-08-30 14:30:00,34.86,35.31,34.8,35.3,743898.0,35.114,2125
2024-08-30 15:00:00,35.3,35.47,35.28,35.42,609750.0,35.396,3064
2024-08-30 16:00:00,35.41,35.44,35.28,35.32,489567.0,35.343,2360
2024-08-30 17:00:00,35.32,35.37,35.28,35.3,292259.0,35.313,1815
2024-08-30 18:00:00,35.3,35.37,35.29,35.36,261231.0,35.334,1736
2024-08-30 19:00:00,35.36,35.43,35.33,35.4,326141.0,35.382,1993
2024-08-30 20:00:00,35.4,35.47,35.38,35.42,1392298.0,35.427,6906
2024-09-03 14:30:00,35.33,35.33,34.67,35.04,977356.0,34.978,4376
2024-09-03 15:00:00,35.03,35.36,35.0,35.34,668252.0,35.182,2909
2024-09-03 16:00:00,35.35,35.39,35.22,35.39,827972.0,35.304,3233
2024-09-03 17:00:00,35.38,35.63,35.37,35.52,428468.0,35.53,1993
2024-09-03 18:00:00,35.53,35.62,35.47,35.6,344049.0,35.546,1979
2024-09-03 19:00:00,35.6,35.66,35.54,35.55,482679.0,35.61,2585
2024-09-03 20:00:00,35.55,35.61,35.43,35.6,1389152.0,35.532,7068
2024-09-04 14:30:00,35.57,35.94,35.56,35.9,589137.0,35.771,2594
2024-09-04 15:00:00,35.9,35.99,35.84,35.94,480253.0,35.91,2677
2024-09-04 16:00:00,35.95,36.07,35.92,36.02,799864.0,36.014,2910
2024-09-04 17:00:00,36.02,36.05,35.99,36.02,356034.0,36.012,2155
2024-09-04 18:00:00,36.02,36.03,35.77,35.84,509634.0,35.904,2892
2024-09-04 19:00:00,35.84,35.98,35.83,35.94,308866.0,35.905,1991
2024-09-04 20:00:00,35.94,36.1,35.9,36.08,1353852.0,36.029,7072
2024-09-05 14:30:00,36.19,36.53,36.19,36.41,628683.0,36.41,3163
2024-09-05 15:00:00,36.41,36.49,36.32,36.36,667438.0,36.401,3686
2024-09-05 16:00:00,36.35,36.37,36.16,36.16,758274.0,36.275,3424
2024-09-05 17:00:00,36.16,36.24,36.05,36.2,417550.0,36.133,2483
2024-09-05 18:00:00,36.2,36.27,36.17,36.24,357149.0,36.216,1848
2024-09-05 19:00:00,36.24,36.28,36.22,36.22,322907.0,36.24,1943
2024-09-05 20:00:00,36.23,36.27,36.07,36.13,1583012.0,36.164,6814
2024-09-06 14:30:00,36.19,36.26,36.07,36.19,384801.0,36.175,1824
2024-09-06 15:00:00,36.2,36.28,36.06,36.1,467955.0,36.175,2325
2024-09-06 16:00:00,36.1,36.21,36.05,36.08,412005.0,36.152,2048
2024-09-06 17:00:00,36.07,36.11,36.0,36.1,283979.0,36.07,1864
2024-09-06 18:00:00,36.09,36.11,35.99,36.08,286226.0,36.057,1978
2024-09-06 19:00:00,36.07,36.09,36.01,36.03,289170.0,36.053,2063
2024-09-06 20:00:00,36.03,36.05,35.83,35.84,1095756.0,35.893,6253
2024-09-09 14:30:00,35.86,36.01,35.72,35.94,570647.0,35.861,2860
2024-09-09 15:00:00,35.94,36.04,35.74,35.99,615014.0,35.882,3291
2024-09-09 16:00:00,35.99,36.14,35.96,36.05,367268.0,36.062,2381
2024-09-09 17:00:00,36.05,36.21,36.04,36.19,294895.0,36.137,1920
2024-09-09 18:00:00,36.19,36.19,36.01,36.07,316833.0,36.078,1755
2024-09-09 19:00:00,36.06,36.2,36.01,36.01,744701.0,36.113,2609
2024-09-09 20:00:00,36.01,36.09,35.89,36.05,1474455.0,36.019,8325
2024-09-10 14:30:00,36.06,36.15,35.86,35.94,357036.0,35.987,1890
2024-09-10 15:00:00,35.94,35.98,35.82,35.86,385622.0,35.903,2710
2024-09-10 16:00:00,35.86,35.94,35.7,35.74,276364.0,35.819,1922
2024-09-10 17:00:00,35.73,35.74,35.55,35.6,287747.0,35.614,1627
2024-09-10 18:00:00,35.59,35.65,35.5,35.52,223417.0,35.59,1245
2024-09-10 19:00:00,35.53,35.56,35.38,35.42,338605.0,35.464,2169
2024-09-10 20:00:00,35.41,35.55,35.36,35.51,867175.0,35.464,5140
2024-09-11 14:30:00,35.51,35.51,34.94,35.1,387502.0,35.195,2260
2024-09-11 15:00:00,35.09,35.21,35.05,35.16,665706.0,35.129,3700
2024-09-11 16:00:00,35.16,35.19,34.99,34.99,541016.0,35.122,2575
2024-09-11 17:00:00,34.99,35.06,34.9,35.05,299958.0,34.982,1784
2024-09-11 18:00:00,35.05,35.09,34.95,34.97,233720.0,35.043,1500
2024-09-11 19:00:00,34.97,35.09,34.94,35.07,428773.0,34.997,2114
2024-09-11 20:00:00,35.07,35.2,35.01,35.14,1096647.0,35.113,6011
2024-09-12 14:30:00,35.11,35.21,34.83,34.84,356330.0,34.986,1594
2024-09-12 15:00:00,34.83,34.91,34.74,34.86,461325.0,34.813,2665
2024-09-12 16:00:00,34.86,35.01,34.84,34.99,274805.0,34.957,1667
