date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,53.26,53.26,52.11,52.46,272076.0,52.521,1604
2024-08-29 15:00:00,52.46,52.66,52.43,52.48,348672.0,52.532,2271
2024-08-29 16:00:00,52.48,52.61,52.33,52.57,228651.0,52.485,1669
2024-08-29 17:00:00,52.57,52.61,52.5,52.55,129158.0,52.563,973
2024-08-29 18:00:00,52.55,52.65,52.49,52.61,154935.0,52.584,1164
2024-08-29 19:00:00,52.62,52.7,52.41,52.56,205453.0,52.56,1542
2024-08-29 20:00:00,52.55,52.71,52.48,52.53,732581.0,52.561,3720
2024-08-30 14:30:00,52.56,52.75,52.44,52.64,109687.0,52.603,561
2024-08-30 15:00:00,52.66,52.95,52.64,52.92,174553.0,52.809,1245
2024-08-30 16:00:00,52.91,52.93,52.71,52.82,123937.0,52.81,852
2024-08-30 17:00:00,52.82,52.9,52.67,52.85,112603.0,52.781,788
2024-08-30 18:00:00,52.86,52.9,52.72,52.82,125806.0,52.799,976
2024-08-30 19:00:00,52.82,52.96,52.79,52.93,175996.0,52.869,1018
2024-08-30 20:00:00,52.93,53.32,52.9,53.21,866703.0,53.147,5077
2024-09-03 14:30:00,53.28,53.48,53.08,53.35,236100.0,53.268,1189
2024-09-03 15:00:00,53.35,53.44,53.15,53.36,360780.0,53.304,2331
2024-09-03 16:00:00,53.37,53.43,53.22,53.37,254479.0,53.332,1770
2024-09-03 17:00:00,53.36,53.66,53.35,53.64,148203.0,53.557,1048
2024-09-03 18:00:00,53.64,53.73,53.59,53.64,167641.0,53.655,1137
2024-09-03 19:00:00,53.65,53.82,53.6,53.65,156194.0,53.718,1121
2024-09-03 20:00:00,53.65,53.78,53.54,53.7,658933.0,53.631,4144
2024-09-04 14:30:00,53.97,55.05,53.62,54.06,489763.0,54.374,2752
2024-09-04 15:00:00,54.06,54.27,53.64,53.77,317766.0,54.009,2192
2024-09-04 16:00:00,53.77,53.91,53.6,53.61,161607.0,53.747,1122
2024-09-04 17:00:00,53.61,53.68,53.43,53.58,114431.0,53.564,867
2024-09-04 18:00:00,53.58,53.6,53.21,53.32,170332.0,53.374,1147
2024-09-04 19:00:00,53.33,53.44,53.27,53.41,216586.0,53.374,1610
2024-09-04 20:00:00,53.4,53.43,52.97,53.35,678887.0,53.23,4284
2024-09-05 14:30:00,53.45,53.6,53.17,53.2,316217.0,53.306,695
2024-09-05 15:00:00,53.22,53.25,52.68,52.71,320654.0,52.912,2111
2024-09-05 16:00:00,52.71,52.79,52.4,52.65,288241.0,52.592,1762
2024-09-05 17:00:00,52.65,52.93,52.6,52.91,264077.0,52.759,2017
2024-09-05 18:00:00,52.91,53.13,52.89,53.04,231904.0,53.012,1562
2024-09-05 19:00:00,53.05,53.25,53.03,53.11,277900.0,53.126,1604
2024-09-05 20:00:00,53.12,53.39,53.05,53.36,817039.0,53.21,4521
2024-09-06 14:30:00,53.22,53.46,52.63,52.74,267965.0,52.885,1526
2024-09-06 15:00:00,52.75,52.77,52.31,52.51,520025.0,52.551,3593
2024-09-06 16:00:00,52.53,52.81,52.34,52.48,443301.0,52.574,3001
2024-09-06 17:00:00,52.48,52.87,52.46,52.86,213691.0,52.67,1378
2024-09-06 18:00:00,52.86,52.99,52.64,52.83,301741.0,52.824,1965
2024-09-06 19:00:00,52.84,52.84,52.43,52.48,305125.0,52.592,2029
2024-09-06 20:00:00,52.48,52.5,52.24,52.25,1132474.0,52.345,5632
2024-09-09 14:30:00,52.12,52.58,51.95,52.42,401746.0,52.257,1504
2024-09-09 15:00:00,52.43,52.46,52.11,52.42,481405.0,52.286,2883
2024-09-09 16:00:00,52.43,52.43,52.15,52.16,229269.0,52.251,1711
2024-09-09 17:00:00,52.16,52.4,52.14,52.38,254904.0,52.222,1762
2024-09-09 18:00:00,52.37,52.43,52.26,52.41,249764.0,52.34,1750
2024-09-09 19:00:00,52.41,52.44,52.32,52.4,303315.0,52.381,1849
2024-09-09 20:00:00,52.4,52.41,51.89,51.97,1175681.0,52.096,5742
2024-09-10 14:30:00,52.23,52.24,51.77,52.13,287142.0,51.974,1698
2024-09-10 15:00:00,52.12,52.39,52.03,52.32,354185.0,52.176,2412
2024-09-10 16:00:00,52.31,52.41,52.21,52.28,259321.0,52.315,1647
2024-09-10 17:00:00,52.27,52.32,52.17,52.22,244734.0,52.241,1526
2024-09-10 18:00:00,52.23,52.37,52.21,52.34,177247.0,52.282,1318
2024-09-10 19:00:00,52.34,52.41,52.22,52.36,333369.0,52.319,1854
2024-09-10 20:00:00,52.35,52.53,52.31,52.33,836739.0,52.4,4626
2024-09-11 14:30:00,51.51,51.77,50.99,51.03,312724.0,51.407,1673
2024-09-11 15:00:00,51.01,51.05,50.69,50.9,342006.0,50.855,2417
2024-09-11 16:00:00,50.9,51.07,50.83,50.94,224271.0,50.965,1663
2024-09-11 17:00:00,50.93,51.11,50.86,51.07,286347.0,50.961,1608
2024-09-11 18:00:00,51.07,51.18,50.99,51.05,320301.0,51.096,2048
2024-09-11 19:00:00,51.05,51.21,50.99,51.18,337412.0,51.099,2024
2024-09-11 20:00:00,51.18,51.56,51.12,51.5,1413360.0,51.354,7571
2024-09-12 14:30:00,52.38,53.51,51.52,53.26,977726.0,52.759,5311
2024-09-12 15:00:00,53.23,54.79,52.85,54.65,1420398.0,53.711,8571
2024-09-12 16:00:00,54.66,54.98,54.33,54.4,929114.0,54.695,5365
2024-09-12 17:00:00,54.4,54.54,53.91,54.2,810969.0,54.253,3927
2024-09-12 18:00:00,54.2,54.79,54.19,54.59,556842.0,54.497,3311
2024-09-12 19:00:00,54.59,54.76,54.41,54.47,249119.0,54.577,1699
2024-09-12 20:00:00,54.47,55.24,54.45,55.2,1603863.0,55.035,8612
2024-09-13 14:30:00,55.26,55.26,54.51,54.87,349999.0,54.828,1714
2024-09-13 15:00:00,54.88,55.73,54.84,55.72,590301.0,55.36,3132
2024-09-13 16:00:00,55.71,55.82,55.48,55.74,430159.0,55.688,2257
2024-09-13 17:00:00,55.74,55.83,55.64,55.75,346464.0,55.725,1677
2024-09-13 18:00:00,55.75,55.9,55.69,55.7,280511.0,55.824,1476
2024-09-13 19:00:00,55.71,55.76,55.56,55.72,245717.0,55.659,1638
2024-09-13 20:00:00,55.72,55.93,55.63,55.9,992256.0,55.812,5811
