date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,32.25,32.3,31.9,31.98,42458.0,32.06,144
2024-08-29 15:00:00,31.98,32.19,31.92,31.94,83153.0,32.082,536
2024-08-29 16:00:00,31.97,32.08,31.95,32.07,75450.0,32.039,234
2024-08-29 17:00:00,32.07,32.2,32.07,32.19,81846.0,32.141,352
2024-08-29 18:00:00,32.21,32.37,32.16,32.36,87290.0,32.257,489
2024-08-29 19:00:00,32.34,32.4,32.13,32.2,54127.0,32.279,306
2024-08-29 20:00:00,32.19,32.37,32.11,32.15,197875.0,32.194,1273
2024-08-30 14:30:00,32.15,32.26,32.09,32.14,27423.0,32.141,93
2024-08-30 15:00:00,32.14,32.21,32.07,32.09,86778.0,32.138,316
2024-08-30 16:00:00,32.08,32.08,31.84,32.01,229278.0,31.989,562
2024-08-30 17:00:00,31.99,32.02,31.77,32.02,84354.0,31.871,565
2024-08-30 18:00:00,32.04,32.04,31.93,31.98,36730.0,31.969,265
2024-08-30 19:00:00,31.98,32.13,31.96,32.07,107307.0,32.024,570
2024-08-30 20:00:00,32.09,32.22,32.03,32.09,285696.0,32.099,1636
2024-09-03 14:30:00,31.76,32.16,31.75,31.99,55946.0,31.971,137
2024-09-03 15:00:00,31.96,31.96,31.65,31.75,61407.0,31.742,360
2024-09-03 16:00:00,31.74,32.02,31.74,31.99,67244.0,31.914,340
2024-09-03 17:00:00,31.99,32.0,31.84,31.88,91431.0,31.902,494
2024-09-03 18:00:00,31.87,31.96,31.82,31.84,54035.0,31.892,356
2024-09-03 19:00:00,31.84,31.85,31.67,31.7,56722.0,31.747,413
2024-09-03 20:00:00,31.69,31.8,31.55,31.69,286724.0,31.664,1943
2024-09-04 14:30:00,31.71,32.04,31.7,31.89,82055.0,31.771,243
2024-09-04 15:00:00,31.88,32.0,31.69,31.96,87456.0,31.838,526
2024-09-04 16:00:00,31.96,32.03,31.48,31.49,52898.0,31.814,344
2024-09-04 17:00:00,31.48,31.58,31.43,31.56,53696.0,31.492,347
2024-09-04 18:00:00,31.55,31.56,31.17,31.18,45878.0,31.331,294
2024-09-04 19:00:00,31.18,31.21,31.09,31.13,46973.0,31.154,238
2024-09-04 20:00:00,31.14,31.49,31.11,31.46,199854.0,31.365,1197
2024-09-05 14:30:00,31.66,31.66,31.31,31.51,38271.0,31.467,209
2024-09-05 15:00:00,31.53,31.77,31.28,31.3,66085.0,31.539,375
2024-09-05 16:00:00,31.26,31.3,31.02,31.14,32664.0,31.121,211
2024-09-05 17:00:00,31.14,31.22,31.03,31.22,31800.0,31.124,212
2024-09-05 18:00:00,31.21,31.37,31.14,31.36,47871.0,31.241,285
2024-09-05 19:00:00,31.37,31.4,31.22,31.22,47208.0,31.33,326
2024-09-05 20:00:00,31.21,31.31,31.14,31.21,199092.0,31.227,1178
2024-09-06 14:30:00,31.16,31.38,31.13,31.22,25188.0,31.269,123
2024-09-06 15:00:00,31.22,31.22,30.42,30.45,182874.0,30.764,872
2024-09-06 16:00:00,30.46,30.73,30.11,30.11,150750.0,30.365,712
2024-09-06 17:00:00,30.11,30.13,29.69,29.73,149724.0,29.895,727
2024-09-06 18:00:00,29.75,29.85,29.57,29.67,135677.0,29.725,778
2024-09-06 19:00:00,29.67,29.67,29.2,29.25,154565.0,29.411,913
2024-09-06 20:00:00,29.26,29.63,29.25,29.46,455749.0,29.461,2582
2024-09-09 14:30:00,29.66,29.76,28.93,29.15,170016.0,29.205,734
2024-09-09 15:00:00,29.16,29.38,29.09,29.1,168582.0,29.249,930
2024-09-09 16:00:00,29.09,29.24,29.08,29.13,158509.0,29.14,714
2024-09-09 17:00:00,29.13,29.28,29.07,29.22,116249.0,29.154,658
2024-09-09 18:00:00,29.22,29.27,29.05,29.05,113890.0,29.152,659
2024-09-09 19:00:00,29.05,29.17,29.0,29.02,223859.0,29.069,1056
2024-09-09 20:00:00,29.02,29.39,28.99,29.16,657186.0,29.174,3176
2024-09-10 14:30:00,29.19,29.3,28.64,28.69,145251.0,28.933,703
2024-09-10 15:00:00,28.68,28.82,28.4,28.58,103547.0,28.536,576
2024-09-10 16:00:00,28.56,28.67,28.4,28.42,91814.0,28.567,443
2024-09-10 17:00:00,28.42,28.48,28.3,28.41,158243.0,28.374,711
2024-09-10 18:00:00,28.4,28.6,28.37,28.54,80406.0,28.517,517
2024-09-10 19:00:00,28.57,28.78,28.54,28.78,91189.0,28.658,570
2024-09-10 20:00:00,28.76,28.9,28.64,28.88,429127.0,28.801,2448
2024-09-11 14:30:00,28.86,28.94,28.43,28.47,59676.0,28.628,220
2024-09-11 15:00:00,28.45,28.45,28.01,28.14,168429.0,28.148,791
2024-09-11 16:00:00,28.14,28.36,28.12,28.27,107455.0,28.252,577
2024-09-11 17:00:00,28.27,28.46,28.26,28.4,179405.0,28.344,880
2024-09-11 18:00:00,28.4,28.52,28.39,28.45,103964.0,28.443,616
2024-09-11 19:00:00,28.45,28.7,28.4,28.61,113866.0,28.574,656
2024-09-11 20:00:00,28.61,28.73,28.52,28.69,254976.0,28.622,1579
2024-09-12 14:30:00,28.87,28.98,28.48,28.54,47588.0,28.736,179
2024-09-12 15:00:00,28.53,29.02,28.51,28.82,84744.0,28.817,455
2024-09-12 16:00:00,28.79,29.04,28.78,28.97,58938.0,28.94,330
2024-09-12 17:00:00,28.97,29.16,28.88,29.14,74857.0,28.985,437
2024-09-12 18:00:00,29.15,29.23,29.05,29.21,56515.0,29.107,321
2024-09-12 19:00:00,29.21,29.27,28.97,29.14,106347.0,29.143,651
2024-09-12 20:00:00,29.13,29.33,29.13,29.31,270410.0,29.264,1646
2024-09-13 14:30:00,29.54,29.9,29.54,29.74,65860.0,29.73,244
2024-09-13 15:00:00,29.79,29.94,29.65,29.77,46788.0,29.811,273
2024-09-13 16:00:00,29.75,29.81,29.64,29.73,77356.0,29.709,364
2024-09-13 17:00:00,29.72,29.82,29.59,29.6,60433.0,29.71,306
2024-09-13 18:00:00,29.6,29.69,29.59,29.62,46449.0,29.627,274
2024-09-13 19:00:00,29.61,29.61,29.44,29.46,92798.0,29.517,515
2024-09-13 20:00:00,29.46,29.51,29.35,29.45,290772.0,29.417,1713
2024-09-16 14:30:00,29.62,29.94,29.5,29.67,59406.0,29.682,182
2024-09-16 15:00:00,29.68,29.77,29.45,29.55,77196.0,29.583,370
2024-09-16 16:00:00,29.55,29.77,29.53,29.74,62347.0,29.633,353
2024-09-16 17:00:00,29.74,29.84,29.73,29.74,47159.0,29.789,293
2024-09-16 18:00:00,29.74,29.75,29.63,29.65,65923.0,29.689,386
2024-09-16 19:00:00,29.65,29.72,29.54,29.65,160921.0,29.599,999
2024-09-16 20:00:00,29.65,29.82,29.6,29.65,400783.0,29.677,2330
2024-09-17 14:30:00,29.92,30.2,29.91,29.93,76468.0,30.002,208
2024-09-17 15:00:00,29.95,30.33,29.86,29.94,139086.0,30.129,811
2024-09-17 16:00:00,29.95,30.2,29.94,30.12,91244.0,30.113,602
2024-09-17 17:00:00,30.12,30.12,29.74,29.77,117914.0,29.926,680
2024-09-17 18:00:00,29.76,29.91,29.76,29.9,76832.0,29.812,520
2024-09-17 19:00:00,29.89,29.89,29.77,29.86,110145.0,29.841,648
2024-09-17 20:00:00,29.85,29.97,29.75,29.96,431495.0,29.853,2346
2024-09-18 14:30:00,29.96,30.23,29.91,30.01,37224.0,30.056,177
2024-09-18 15:00:00,30.0,30.14,30.0,30.14,91997.0,30.072,499
2024-09-18 16:00:00,30.14,30.28,30.13,30.19,78636.0,30.231,547
2024-09-18 17:00:00,30.18,30.3,30.13,30.28,83271.0,30.213,506
2024-09-18 18:00:00,30.28,30.35,30.24,30.34,67233.0,30.294,468
2024-09-18 19:00:00,30.34,30.97,30.29,30.55,304324.0,30.704,1854
2024-09-18 20:00:00,30.55,30.81,30.31,30.32,476568.0,30.499,2893
2024-09-19 14:30:00,30.99,31.27,30.8,31.22,82115.0,30.962,388
2024-09-19 15:00:00,31.23,31.73,31.19,31.58,162262.0,31.516,1085
2024-09-19 16:00:00,31.57,31.65,31.53,31.59,127573.0,31.579,753
2024-09-19 17:00:00,31.59,31.74,31.55,31.67,117689.0,31.637,647
2024-09-19 18:00:00,31.68,31.82,31.65,31.75,101819.0,31.742,591
2024-09-19 19:00:00,31.75,31.9,31.58,31.85,146256.0,31.764,753
2024-09-19 20:00:00,31.84,31.94,31.77,31.9,396294.0,31.846,2034
2024-09-20 14:30:00,31.76,31.86,31.53,31.8,118846.0,31.722,237
2024-09-20 15:00:00,31.81,31.89,31.69,31.8,169033.0,31.788,885
2024-09-20 16:00:00,31.81,31.82,31.6,31.74,145349.0,31.717,648
2024-09-20 17:00:00,31.73,31.87,31.68,31.78,68328.0,31.756,345
2024-09-20 18:00:00,31.78,31.87,31.7,31.87,57493.0,31.795,336
2024-09-20 19:00:00,31.87,31.87,31.68,31.73,125287.0,31.746,574
2024-09-20 20:00:00,31.72,31.95,31.65,31.93,474559.0,31.86,2450
2024-09-23 14:30:00,31.84,32.17,31.84,32.15,49719.0,31.995,236
2024-09-23 15:00:00,32.17,32.34,32.08,32.18,67686.0,32.209,419
2024-09-23 16:00:00,32.18,32.18,32.04,32.07,50790.0,32.099,267
2024-09-23 17:00:00,32.06,32.12,31.81,31.89,191400.0,31.949,523
2024-09-23 18:00:00,31.89,32.13,31.86,32.07,78890.0,31.98,423
2024-09-23 19:00:00,32.06,32.1,31.96,31.99,56181.0,32.028,327
2024-09-23 20:00:00,31.99,32.12,31.98,32.02,206641.0,32.043,1017
2024-09-24 14:30:00,32.16,32.48,32.11,32.12,131787.0,32.25,365
2024-09-24 15:00:00,32.16,32.21,31.76,31.83,99217.0,31.955,454
2024-09-24 16:00:00,31.81,31.81,31.55,31.56,60565.0,31.67,339
2024-09-24 17:00:00,31.56,31.56,31.28,31.31,63213.0,31.401,337
2024-09-24 18:00:00,31.31,31.51,31.3,31.49,78035.0,31.442,402
2024-09-24 19:00:00,31.48,31.51,31.34,31.39,47308.0,31.412,290
2024-09-24 20:00:00,31.39,31.41,31.21,31.3,361051.0,31.279,1543
2024-09-25 14:30:00,31.3,31.39,31.13,31.18,52651.0,31.24,236
2024-09-25 15:00:00,31.19,31.25,30.92,31.22,91818.0,31.06,496
2024-09-25 16:00:00,31.23,31.35,31.13,31.33,95538.0,31.194,379
2024-09-25 17:00:00,31.35,31.44,31.16,31.16,79253.0,31.303,392
2024-09-25 18:00:00,31.17,31.18,30.94,30.94,71430.0,31.048,456
2024-09-25 19:00:00,30.95,31.04,30.92,30.98,72297.0,30.981,438
2024-09-25 20:00:00,30.97,30.99,30.79,30.84,332362.0,30.902,1685
2024-09-26 14:30:00,31.17,31.52,31.16,31.49,53498.0,31.318,150
2024-09-26 15:00:00,31.5,31.71,31.32,31.38,171990.0,31.446,686
2024-09-26 16:00:00,31.39,31.63,31.32,31.53,100648.0,31.494,493
2024-09-26 17:00:00,31.5,31.53,31.38,31.44,72654.0,31.442,422
2024-09-26 18:00:00,31.43,31.61,31.41,31.6,52635.0,31.516,339
2024-09-26 19:00:00,31.6,31.6,31.38,31.52,165953.0,31.474,755
2024-09-26 20:00:00,31.52,31.56,31.22,31.4,455268.0,31.374,2063
2024-09-27 14:30:00,31.62,31.66,31.24,31.35,47973.0,31.452,156
2024-09-27 15:00:00,31.33,31.72,31.24,31.71,125599.0,31.431,650
2024-09-27 16:00:00,31.7,31.87,31.67,31.75,88058.0,31.763,440
2024-09-27 17:00:00,31.75,31.88,31.68,31.74,150010.0,31.766,614
2024-09-27 18:00:00,31.75,31.75,31.45,31.48,45494.0,31.547,287
2024-09-27 19:00:00,31.49,31.51,31.29,31.46,83107.0,31.375,478
2024-09-27 20:00:00,31.44,31.51,31.34,31.44,171505.0,31.417,1021
