date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,250.0,250.75,246.63,247.18,50005.0,249.048,168
2024-08-29 15:00:00,247.56,249.49,247.56,248.11,39321.0,248.691,251
2024-08-29 16:00:00,248.36,249.28,248.2,249.15,45867.0,248.852,323
2024-08-29 17:00:00,249.13,249.19,248.23,248.36,65380.0,248.691,498
2024-08-29 18:00:00,248.36,249.78,247.93,249.68,55129.0,248.803,373
2024-08-29 19:00:00,249.58,249.75,247.9,248.31,45175.0,248.772,380
2024-08-29 20:00:00,248.47,248.47,246.38,246.88,161634.0,246.993,1249
2024-08-30 14:30:00,247.84,249.05,246.19,247.8,70037.0,247.422,338
2024-08-30 15:00:00,247.46,248.46,247.03,248.05,77769.0,247.896,639
2024-08-30 16:00:00,247.9,248.1,245.97,247.07,112611.0,247.212,859
2024-08-30 17:00:00,246.97,246.97,245.4,246.22,137058.0,246.344,1013
2024-08-30 18:00:00,246.34,247.21,246.33,246.92,35102.0,246.692,300
2024-08-30 19:00:00,246.82,247.61,246.78,247.5,50272.0,247.294,411
2024-08-30 20:00:00,247.49,249.06,247.45,248.32,361783.0,248.368,2504
2024-09-03 14:30:00,247.2,249.44,245.64,247.73,125288.0,247.781,668
2024-09-03 15:00:00,247.75,247.77,245.88,246.57,185068.0,246.503,1360
2024-09-03 16:00:00,246.56,247.37,246.36,246.61,131215.0,246.758,919
2024-09-03 17:00:00,246.59,246.73,245.03,245.19,61435.0,245.966,457
2024-09-03 18:00:00,245.1,246.21,244.71,245.75,76672.0,245.715,504
2024-09-03 19:00:00,245.73,246.47,245.25,245.84,75850.0,245.933,560
2024-09-03 20:00:00,245.74,245.9,243.62,245.4,472239.0,244.767,3417
2024-09-04 14:30:00,244.86,245.21,243.01,244.63,53354.0,244.4,212
2024-09-04 15:00:00,244.36,244.57,243.44,243.83,118661.0,244.015,870
2024-09-04 16:00:00,243.86,244.1,242.83,242.87,87170.0,243.512,656
2024-09-04 17:00:00,242.86,243.7,242.6,242.69,57817.0,243.147,414
2024-09-04 18:00:00,242.69,243.42,242.1,242.95,74882.0,243.005,442
2024-09-04 19:00:00,242.93,243.3,242.57,242.71,112508.0,242.952,843
