date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,241.99,245.48,238.41,243.48,94153.0,241.935,589
2024-08-29 15:00:00,244.02,245.74,242.34,244.8,164592.0,244.025,1144
2024-08-29 16:00:00,244.62,245.77,243.69,244.98,67204.0,244.676,491
2024-08-29 17:00:00,245.07,247.1,245.01,245.71,80470.0,246.071,561
2024-08-29 18:00:00,245.78,245.78,243.49,244.61,123317.0,244.441,651
2024-08-29 19:00:00,244.53,245.84,242.18,243.84,141624.0,243.937,1144
2024-08-29 20:00:00,244.05,246.3,242.14,245.86,283845.0,244.651,2118
2024-08-30 14:30:00,290.1,293.28,280.68,283.61,1163097.0,287.372,5901
2024-08-30 15:00:00,284.01,285.3,275.16,283.26,778852.0,280.592,4665
2024-08-30 16:00:00,283.21,285.67,280.75,284.69,382535.0,283.693,2439
2024-08-30 17:00:00,284.79,288.52,283.62,286.34,387198.0,286.241,1879
2024-08-30 18:00:00,286.23,288.27,285.81,286.58,222502.0,287.129,1491
2024-08-30 19:00:00,286.46,288.58,286.45,287.06,246682.0,287.455,1468
2024-08-30 20:00:00,287.03,292.31,286.07,291.15,689458.0,289.661,4301
2024-09-03 14:30:00,290.79,297.77,287.48,295.69,247314.0,292.555,1256
2024-09-03 15:00:00,295.11,296.17,285.49,287.0,159147.0,291.487,930
2024-09-03 16:00:00,287.14,287.95,283.46,284.15,99465.0,285.344,630
2024-09-03 17:00:00,284.24,286.49,283.99,285.19,70167.0,284.967,452
2024-09-03 18:00:00,285.2,287.58,284.54,284.67,47205.0,286.096,308
2024-09-03 19:00:00,284.76,284.76,281.71,284.36,88419.0,282.939,459
2024-09-03 20:00:00,284.31,284.42,281.29,283.18,168719.0,283.029,1180
2024-09-04 14:30:00,280.94,288.82,278.98,286.4,143863.0,285.257,613
2024-09-04 15:00:00,286.4,294.81,283.62,294.79,153762.0,289.854,1065
2024-09-04 16:00:00,294.51,295.43,290.72,290.99,119655.0,293.069,743
2024-09-04 17:00:00,290.97,291.9,289.39,290.29,83355.0,290.591,540
2024-09-04 18:00:00,290.14,291.82,289.94,291.12,71240.0,291.068,505
2024-09-04 19:00:00,291.0,291.58,289.25,289.4,106154.0,290.508,768
2024-09-04 20:00:00,289.13,291.15,287.77,291.1,315268.0,289.828,2149
2024-09-05 14:30:00,291.5,293.99,289.36,290.6,87687.0,291.804,534
2024-09-05 15:00:00,290.95,293.58,287.95,288.28,159669.0,291.382,1131
2024-09-05 16:00:00,288.55,290.12,287.04,287.77,150531.0,288.357,1047
2024-09-05 17:00:00,287.76,288.61,286.61,288.27,63297.0,287.905,496
