date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,519.05,526.76,517.94,525.47,1148280.0,523.311,5596
2024-08-29 15:00:00,525.63,527.2,520.2,523.83,777805.0,523.886,4152
2024-08-29 16:00:00,523.87,525.65,523.17,524.9,413443.0,524.338,2472
2024-08-29 17:00:00,524.86,526.6,523.1,524.03,410222.0,525.181,2187
2024-08-29 18:00:00,523.85,523.98,519.85,521.58,379285.0,521.628,2017
2024-08-29 19:00:00,521.7,521.72,515.67,517.69,708356.0,518.604,3918
2024-08-29 20:00:00,517.69,519.42,516.21,518.23,908200.0,517.873,6289
2024-08-30 14:30:00,521.35,523.54,518.11,520.08,639581.0,520.61,3089
2024-08-30 15:00:00,520.18,521.64,516.91,517.38,707525.0,520.016,3890
2024-08-30 16:00:00,517.23,518.99,515.69,517.37,652461.0,517.332,4026
2024-08-30 17:00:00,517.37,517.96,515.2,517.71,437155.0,516.611,2373
2024-08-30 18:00:00,517.79,518.77,516.85,517.01,330407.0,518.008,1871
2024-08-30 19:00:00,517.16,519.77,516.88,519.22,352077.0,518.473,1902
2024-08-30 20:00:00,519.25,522.18,518.01,521.43,1253055.0,520.639,8404
2024-09-03 14:30:00,519.6,525.49,519.0,521.23,1353808.0,521.674,6607
2024-09-03 15:00:00,521.09,521.45,509.24,510.95,1791588.0,513.893,9966
2024-09-03 16:00:00,510.99,514.81,510.8,512.22,653933.0,513.083,3976
2024-09-03 17:00:00,512.22,515.69,511.78,515.29,651883.0,514.137,4429
2024-09-03 18:00:00,515.37,515.59,513.27,514.18,480248.0,514.635,3300
2024-09-03 19:00:00,514.27,514.39,510.6,512.67,769830.0,512.436,4641
2024-09-03 20:00:00,512.75,514.23,508.61,511.77,1071286.0,511.772,7368
2024-09-04 14:30:00,506.07,511.38,504.07,510.35,937256.0,508.342,5475
2024-09-04 15:00:00,510.21,513.04,504.8,512.77,1013583.0,510.255,6736
2024-09-04 16:00:00,512.77,515.36,512.52,514.86,722844.0,514.122,4633
2024-09-04 17:00:00,514.85,516.59,512.76,515.2,448982.0,514.921,2686
2024-09-04 18:00:00,515.03,515.57,514.24,514.71,311676.0,514.918,2151
2024-09-04 19:00:00,514.77,515.51,513.11,513.78,355422.0,514.487,2466
2024-09-04 20:00:00,513.82,515.54,512.26,512.64,784973.0,514.14,5162
2024-09-05 14:30:00,511.72,520.99,511.15,518.04,1103599.0,516.432,6451
2024-09-05 15:00:00,517.63,521.63,515.1,516.12,910799.0,518.917,5545
2024-09-05 16:00:00,516.1,521.0,513.81,514.36,826658.0,515.259,5516
2024-09-05 17:00:00,514.36,515.61,514.26,514.66,374420.0,514.937,2318
2024-09-05 18:00:00,514.59,517.31,514.35,517.2,400241.0,515.653,2631
2024-09-05 19:00:00,517.21,517.78,515.85,515.86,293748.0,516.893,1817
2024-09-05 20:00:00,515.81,517.09,514.0,516.86,703512.0,515.557,5008
2024-09-06 14:30:00,521.88,524.59,514.05,514.52,1038766.0,519.104,5950
2024-09-06 15:00:00,514.49,515.75,506.57,507.72,1334084.0,511.94,8435
2024-09-06 16:00:00,507.79,510.5,504.69,505.03,1070401.0,507.036,6878
2024-09-06 17:00:00,505.03,505.68,500.56,501.0,894816.0,503.277,6009
2024-09-06 18:00:00,501.02,501.97,499.33,500.13,908153.0,500.672,6065
2024-09-06 19:00:00,500.15,502.21,498.25,501.87,1095716.0,499.754,7322
2024-09-06 20:00:00,501.87,503.47,499.66,500.41,1618309.0,501.449,9641
2024-09-09 14:30:00,506.16,511.33,504.3,509.71,1031442.0,508.566,5551
2024-09-09 15:00:00,509.76,510.35,503.74,503.74,705753.0,507.281,4643
2024-09-09 16:00:00,503.86,505.19,502.08,504.5,529579.0,503.8,3415
2024-09-09 17:00:00,504.45,508.42,504.24,507.3,487268.0,506.146,3058
2024-09-09 18:00:00,507.3,508.0,505.53,506.25,321900.0,507.071,2253
2024-09-09 19:00:00,506.23,506.32,502.88,504.45,601686.0,504.635,4105
2024-09-09 20:00:00,504.43,505.44,503.35,504.82,767958.0,504.51,5437
2024-09-10 14:30:00,508.16,514.18,507.6,509.52,1011061.0,511.606,5659
2024-09-10 15:00:00,509.36,510.6,501.28,502.76,986200.0,504.752,5564
2024-09-10 16:00:00,502.71,504.59,500.75,501.04,494521.0,502.823,2909
2024-09-10 17:00:00,500.85,503.35,500.02,502.54,384499.0,501.637,1940
2024-09-10 18:00:00,502.56,504.85,502.35,504.57,281744.0,503.891,1747
2024-09-10 19:00:00,504.61,506.75,504.6,505.56,400386.0,505.987,1939
2024-09-10 20:00:00,505.51,507.0,504.58,504.7,810477.0,505.724,4794
2024-09-11 14:30:00,507.3,507.83,503.61,505.92,626134.0,505.684,3470
2024-09-11 15:00:00,505.92,506.93,495.6,497.5,971448.0,499.862,6326
2024-09-11 16:00:00,497.43,502.5,495.67,500.8,734696.0,499.412,4284
2024-09-11 17:00:00,500.8,506.1,500.44,504.46,669705.0,503.9,4359
2024-09-11 18:00:00,504.47,508.54,504.05,507.36,548763.0,506.627,3448
2024-09-11 19:00:00,507.29,507.94,505.68,507.45,483044.0,506.918,3211
2024-09-11 20:00:00,507.38,513.12,507.19,511.98,1395706.0,511.116,9076
2024-09-12 14:30:00,517.05,520.28,515.22,518.8,1285017.0,518.406,7958
2024-09-12 15:00:00,518.75,522.18,517.24,518.73,1266168.0,520.094,7447
2024-09-12 16:00:00,518.84,521.24,517.64,518.9,508726.0,519.202,3074
2024-09-12 17:00:00,519.23,522.05,518.64,522.02,406459.0,520.037,2181
2024-09-12 18:00:00,522.05,525.63,521.89,525.5,850647.0,523.657,4314
2024-09-12 19:00:00,525.5,526.5,522.82,525.86,701696.0,525.128,4615
2024-09-12 20:00:00,525.84,526.71,523.56,525.75,1261750.0,525.463,8348
2024-09-13 14:30:00,520.44,527.55,517.11,524.64,1381964.0,523.047,7621
2024-09-13 15:00:00,524.82,525.91,521.04,524.87,885525.0,524.021,5572
2024-09-13 16:00:00,524.97,526.05,524.05,524.92,425902.0,525.222,2898
2024-09-13 17:00:00,524.93,525.39,522.6,525.29,486303.0,523.816,2848
2024-09-13 18:00:00,525.23,527.59,525.13,526.55,556575.0,526.449,3409
2024-09-13 19:00:00,526.61,526.9,524.14,524.51,432954.0,525.173,3055
2024-09-13 20:00:00,524.5,525.79,524.0,524.51,713507.0,524.808,4807
2024-09-16 14:30:00,524.54,524.54,517.55,520.32,677743.0,520.894,3772
2024-09-16 15:00:00,520.41,521.51,517.4,519.19,841982.0,519.791,4206
2024-09-16 16:00:00,519.19,523.7,518.11,523.45,385145.0,521.657,2237
2024-09-16 17:00:00,523.61,526.0,522.12,525.79,403231.0,524.29,2225
2024-09-16 18:00:00,525.85,529.8,524.55,529.63,674966.0,527.23,3579
2024-09-16 19:00:00,529.62,532.77,529.1,531.45,870833.0,530.865,4388
2024-09-16 20:00:00,531.44,534.1,529.55,533.3,1205803.0,532.42,7117
2024-09-17 14:30:00,537.6,542.1,535.93,540.9,1834926.0,539.42,9196
2024-09-17 15:00:00,540.98,541.09,534.24,534.97,1113171.0,536.903,6047
2024-09-17 16:00:00,534.9,536.33,532.95,535.33,586126.0,534.883,3622
2024-09-17 17:00:00,535.37,536.09,530.88,532.42,604108.0,533.353,3481
2024-09-17 18:00:00,532.54,534.68,530.57,533.17,419405.0,532.877,2482
2024-09-17 19:00:00,533.28,536.06,533.07,533.65,463244.0,534.518,2910
2024-09-17 20:00:00,533.65,536.36,533.22,536.32,648497.0,534.787,4368
2024-09-18 14:30:00,537.07,539.77,535.2,536.4,665024.0,537.01,3246
2024-09-18 15:00:00,536.5,539.46,535.18,538.25,632472.0,537.673,3092
2024-09-18 16:00:00,538.29,538.3,534.13,534.42,405225.0,535.708,2333
2024-09-18 17:00:00,534.34,536.84,533.9,536.44,253625.0,535.741,1565
2024-09-18 18:00:00,536.5,537.09,535.36,536.14,256045.0,536.269,1463
2024-09-18 19:00:00,536.06,544.2,535.14,540.0,1990803.0,541.0,11005
2024-09-18 20:00:00,540.0,542.6,536.8,537.75,1186164.0,539.264,7570
2024-09-19 14:30:00,550.0,553.2,546.52,547.48,1705684.0,549.15,8947
2024-09-19 15:00:00,547.4,557.98,546.74,556.63,1758816.0,553.761,10357
2024-09-19 16:00:00,556.68,561.36,556.37,557.5,1481434.0,559.182,8470
2024-09-19 17:00:00,557.51,558.87,556.32,556.57,594369.0,557.543,3517
2024-09-19 18:00:00,556.66,559.71,556.1,559.26,559563.0,557.787,3075
2024-09-19 19:00:00,559.19,561.0,558.27,559.88,748656.0,559.906,4508
2024-09-19 20:00:00,559.88,562.07,558.68,558.89,1494057.0,560.214,9855
2024-09-20 14:30:00,560.0,563.86,557.71,559.02,2562772.0,560.228,7186
2024-09-20 15:00:00,559.02,561.79,558.31,558.43,1040095.0,560.314,6008
2024-09-20 16:00:00,558.41,562.7,556.3,562.25,935879.0,559.396,5770
2024-09-20 17:00:00,562.29,564.5,562.04,563.33,852397.0,563.536,5141
2024-09-20 18:00:00,563.24,563.76,561.8,562.99,694644.0,563.026,4709
2024-09-20 19:00:00,563.02,563.55,561.17,563.27,634261.0,562.228,4524
2024-09-20 20:00:00,563.27,564.24,559.76,561.34,1451612.0,562.319,10172
2024-09-23 14:30:00,569.5,572.2,565.5,571.15,1472607.0,568.839,8113
2024-09-23 15:00:00,571.14,573.98,567.45,568.69,1375489.0,570.668,7960
2024-09-23 16:00:00,568.69,568.75,564.77,565.77,622861.0,566.449,3862
2024-09-23 17:00:00,565.69,565.86,563.25,563.57,531985.0,564.645,3366
2024-09-23 18:00:00,563.56,565.44,562.41,565.21,390879.0,564.099,2312
2024-09-23 19:00:00,565.16,565.99,563.42,565.33,523412.0,564.805,2953
2024-09-23 20:00:00,565.24,565.99,563.77,564.41,945774.0,564.535,6296
2024-09-24 14:30:00,566.67,567.75,556.36,558.7,1455136.0,560.606,8304
2024-09-24 15:00:00,558.7,561.6,554.19,561.47,1749122.0,557.24,8868
2024-09-24 16:00:00,561.4,564.9,560.61,563.53,793921.0,562.96,4503
2024-09-24 17:00:00,563.49,564.28,561.07,561.27,452864.0,563.122,2564
2024-09-24 18:00:00,561.26,563.0,560.87,562.3,287161.0,562.234,1889
2024-09-24 19:00:00,562.34,563.06,561.3,562.69,258133.0,562.468,1612
2024-09-24 20:00:00,562.61,563.42,562.0,563.35,720730.0,562.938,4643
2024-09-25 14:30:00,564.05,570.96,563.72,569.63,1269184.0,567.68,7300
2024-09-25 15:00:00,569.63,572.72,568.09,569.42,1367998.0,570.353,7752
2024-09-25 16:00:00,569.39,572.4,568.87,570.98,906677.0,570.412,5149
2024-09-25 17:00:00,570.84,571.0,568.81,569.28,506201.0,569.899,3089
2024-09-25 18:00:00,569.38,575.35,567.42,574.82,1749936.0,570.939,8136
2024-09-25 19:00:00,574.82,576.88,572.43,573.66,1924033.0,574.592,9088
2024-09-25 20:00:00,573.52,574.87,567.46,568.26,1709144.0,570.502,9552
2024-09-26 14:30:00,575.73,577.4,572.28,573.28,2123289.0,575.234,12368
2024-09-26 15:00:00,572.86,573.48,563.17,564.24,1919764.0,569.161,12277
2024-09-26 16:00:00,564.07,567.0,562.82,566.33,956170.0,565.148,6605
2024-09-26 17:00:00,566.21,566.23,562.43,563.84,526474.0,564.281,3313
2024-09-26 18:00:00,563.53,565.4,562.35,565.0,449656.0,564.03,2889
2024-09-26 19:00:00,564.97,567.89,564.36,567.44,555493.0,566.442,3607
2024-09-26 20:00:00,567.44,569.49,567.02,567.94,998835.0,568.11,6946
2024-09-27 14:30:00,570.0,570.84,567.25,567.61,793730.0,569.318,3637
2024-09-27 15:00:00,567.7,568.83,565.03,566.97,745496.0,566.7,4794
2024-09-27 16:00:00,566.8,567.09,564.51,565.09,721902.0,565.984,4067
2024-09-27 17:00:00,565.25,569.45,564.97,569.1,446009.0,567.483,2546
2024-09-27 18:00:00,569.11,570.06,567.13,569.2,450289.0,568.6,2470
2024-09-27 19:00:00,569.16,569.59,566.95,568.93,404470.0,568.676,2720
2024-09-27 20:00:00,568.79,568.94,566.03,567.27,760372.0,567.445,4700
2024-07-30 14:30:00,467.0,472.73,464.83,466.4,1202439.0,468.853,5799
2024-07-30 15:00:00,466.24,469.19,464.84,467.77,1057979.0,467.446,6130
2024-07-30 16:00:00,467.91,467.96,461.47,462.11,917800.0,464.252,5435
2024-07-30 17:00:00,462.12,463.37,457.45,457.74,726361.0,461.251,4264
2024-07-30 18:00:00,457.65,463.82,456.7,463.23,626081.0,460.544,3880
2024-07-30 19:00:00,463.35,464.63,462.45,463.46,494128.0,463.577,2982
2024-07-30 20:00:00,463.46,465.16,461.87,463.18,1098411.0,463.563,6987
2024-07-31 14:30:00,471.0,472.0,466.75,470.9,1336048.0,470.112,6856
2024-07-31 15:00:00,470.97,475.26,470.82,472.62,1689096.0,473.259,9646
2024-07-31 16:00:00,472.5,474.94,472.26,473.74,971565.0,473.594,5469
2024-07-31 17:00:00,473.86,475.0,472.78,473.69,830080.0,473.831,5249
2024-07-31 18:00:00,473.69,475.94,469.42,473.42,1308182.0,472.754,6777
2024-07-31 19:00:00,473.42,474.3,471.52,473.73,1141217.0,473.111,6530
2024-07-31 20:00:00,473.63,476.5,471.44,474.36,2605913.0,473.942,16702
2024-08-01 14:30:00,521.0,527.18,510.55,525.86,7661189.0,519.683,39746
2024-08-01 15:00:00,525.68,526.05,505.85,506.8,6087695.0,514.142,34298
