date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,79.99,80.09,79.17,79.41,38225.0,79.572,181
2024-08-29 15:00:00,79.42,79.91,79.36,79.56,51804.0,79.621,307
2024-08-29 16:00:00,79.56,79.78,79.46,79.75,35837.0,79.601,220
2024-08-29 17:00:00,79.78,79.81,79.42,79.48,96433.0,79.583,388
2024-08-29 18:00:00,79.51,79.6,79.37,79.41,26892.0,79.476,185
2024-08-29 19:00:00,79.41,79.48,79.04,79.09,61238.0,79.235,456
2024-08-29 20:00:00,79.09,79.12,78.74,79.03,219890.0,78.973,1329
2024-08-30 14:30:00,79.24,79.81,79.24,79.8,19530.0,79.481,94
2024-08-30 15:00:00,79.84,79.97,79.66,79.93,98864.0,79.812,575
2024-08-30 16:00:00,79.9,79.95,79.46,79.66,41591.0,79.685,270
2024-08-30 17:00:00,79.65,79.76,79.53,79.59,47078.0,79.644,319
2024-08-30 18:00:00,79.59,79.67,79.35,79.36,36006.0,79.489,290
2024-08-30 19:00:00,79.35,79.57,79.32,79.46,64512.0,79.413,482
2024-08-30 20:00:00,79.46,80.11,79.42,80.01,432389.0,79.911,2801
2024-09-03 14:30:00,80.04,80.79,79.98,80.77,46224.0,80.324,261
2024-09-03 15:00:00,80.8,81.27,80.62,80.9,463411.0,80.982,1601
2024-09-03 16:00:00,80.91,81.05,80.66,80.95,182466.0,80.874,778
2024-09-03 17:00:00,80.95,81.68,80.91,81.47,148176.0,81.357,957
2024-09-03 18:00:00,81.46,81.88,81.43,81.73,170755.0,81.685,998
2024-09-03 19:00:00,81.73,81.79,81.27,81.37,193470.0,81.57,1232
2024-09-03 20:00:00,81.37,81.37,80.9,81.21,512487.0,81.083,3260
2024-09-04 14:30:00,81.22,82.6,81.22,82.38,107824.0,81.746,364
2024-09-04 15:00:00,82.39,82.68,81.74,81.95,190031.0,82.041,1144
2024-09-04 16:00:00,81.95,82.12,81.69,81.75,437249.0,81.826,1672
2024-09-04 17:00:00,81.75,82.17,81.67,81.7,467440.0,81.803,1213
2024-09-04 18:00:00,81.69,81.7,80.96,80.97,248166.0,81.268,979
2024-09-04 19:00:00,80.99,81.48,80.95,81.47,330564.0,81.081,1095
2024-09-04 20:00:00,81.45,82.37,81.44,82.07,430455.0,82.04,3145
2024-09-05 14:30:00,82.61,83.08,82.25,82.47,101926.0,82.647,351
2024-09-05 15:00:00,82.5,82.69,82.2,82.48,402209.0,82.472,1415
2024-09-05 16:00:00,82.47,82.57,82.27,82.29,236723.0,82.463,897
2024-09-05 17:00:00,82.29,83.0,82.24,82.94,300050.0,82.468,949
2024-09-05 18:00:00,82.95,83.18,82.85,83.17,77961.0,82.974,580
2024-09-05 19:00:00,83.17,83.48,83.11,83.38,116447.0,83.261,839
2024-09-05 20:00:00,83.38,83.39,82.88,83.03,412019.0,83.111,2823
2024-09-06 14:30:00,83.08,83.56,83.08,83.37,23013.0,83.225,80
2024-09-06 15:00:00,83.43,83.58,82.89,83.07,98832.0,83.115,396
2024-09-06 16:00:00,83.1,83.55,82.65,82.78,101440.0,82.858,811
2024-09-06 17:00:00,82.8,83.27,82.79,83.22,54727.0,83.02,434
2024-09-06 18:00:00,83.22,83.31,83.04,83.24,43996.0,83.17,343
2024-09-06 19:00:00,83.27,83.32,83.13,83.27,54427.0,83.221,446
2024-09-06 20:00:00,83.28,83.43,82.81,82.9,421588.0,83.007,2502
2024-09-09 14:30:00,83.04,83.12,82.32,83.0,253010.0,82.91,1016
2024-09-09 15:00:00,83.0,83.58,82.97,83.46,420181.0,83.21,1753
2024-09-09 16:00:00,83.44,83.61,83.12,83.47,155336.0,83.431,743
2024-09-09 17:00:00,83.45,83.84,83.45,83.67,62696.0,83.661,359
2024-09-09 18:00:00,83.65,83.69,83.47,83.57,164199.0,83.537,730
2024-09-09 19:00:00,83.55,83.62,82.86,82.88,307056.0,83.153,1289
2024-09-09 20:00:00,82.86,83.39,82.81,83.28,405676.0,83.184,2448
2024-09-10 14:30:00,83.32,84.14,83.27,83.79,32980.0,83.781,186
2024-09-10 15:00:00,83.79,84.19,83.46,84.18,256016.0,83.712,1247
2024-09-10 16:00:00,84.19,84.5,84.15,84.2,104434.0,84.321,784
2024-09-10 17:00:00,84.2,84.21,83.79,84.06,52333.0,83.962,432
2024-09-10 18:00:00,84.05,84.19,83.68,83.68,61543.0,84.039,506
2024-09-10 19:00:00,83.69,83.73,83.4,83.48,83539.0,83.521,574
2024-09-10 20:00:00,83.48,83.82,83.4,83.8,346650.0,83.643,2165
2024-09-11 14:30:00,83.56,83.56,82.47,82.8,53927.0,82.852,272
2024-09-11 15:00:00,82.73,82.91,82.38,82.73,51734.0,82.643,382
2024-09-11 16:00:00,82.7,82.89,82.58,82.75,49419.0,82.765,404
2024-09-11 17:00:00,82.75,82.9,82.57,82.81,42886.0,82.711,324
2024-09-11 18:00:00,82.84,82.88,82.38,82.41,41948.0,82.644,334
2024-09-11 19:00:00,82.42,82.57,82.2,82.55,43018.0,82.381,339
2024-09-11 20:00:00,82.55,82.7,82.42,82.6,181025.0,82.607,1299
2024-09-12 14:30:00,82.35,82.69,81.87,82.16,46059.0,82.254,234
2024-09-12 15:00:00,82.14,82.62,82.02,82.2,98420.0,82.277,740
2024-09-12 16:00:00,82.26,82.68,82.23,82.55,120596.0,82.515,609
2024-09-12 17:00:00,82.56,82.86,82.49,82.8,113531.0,82.673,637
2024-09-12 18:00:00,82.79,82.88,82.66,82.66,91019.0,82.814,414
2024-09-12 19:00:00,82.65,82.89,82.6,82.82,39197.0,82.768,341
2024-09-12 20:00:00,82.84,83.27,82.8,83.19,254400.0,83.144,1811
2024-09-13 14:30:00,83.21,83.55,83.01,83.45,50074.0,83.254,191
2024-09-13 15:00:00,83.42,83.66,83.26,83.36,98018.0,83.459,474
