date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,80.44,82.11,80.33,82.11,124386.0,81.164,556
2024-08-29 15:00:00,82.19,82.59,81.58,82.0,111164.0,82.072,730
2024-08-29 16:00:00,82.06,82.15,81.65,81.81,67319.0,81.876,419
2024-08-29 17:00:00,81.71,82.24,81.64,81.87,94398.0,81.985,629
2024-08-29 18:00:00,81.83,82.25,81.63,82.24,106121.0,81.966,634
2024-08-29 19:00:00,82.19,82.19,80.97,81.27,90310.0,81.608,561
2024-08-29 20:00:00,81.17,81.79,80.99,81.28,229967.0,81.358,1778
2024-08-30 14:30:00,82.1,82.75,81.87,82.66,79923.0,82.411,394
2024-08-30 15:00:00,82.75,83.69,82.75,83.08,205516.0,83.168,1232
2024-08-30 16:00:00,83.0,83.27,82.14,82.36,143761.0,82.595,818
2024-08-30 17:00:00,82.38,82.4,81.84,82.29,106508.0,82.075,571
2024-08-30 18:00:00,82.29,82.51,82.01,82.01,52895.0,82.345,435
2024-08-30 19:00:00,81.98,82.27,81.96,82.19,62245.0,82.165,503
2024-08-30 20:00:00,82.17,82.19,81.66,82.12,363658.0,81.914,2318
2024-09-03 14:30:00,81.6,81.76,80.87,81.16,102250.0,81.386,424
2024-09-03 15:00:00,80.98,81.27,79.25,79.3,141127.0,80.346,885
2024-09-03 16:00:00,79.34,79.85,78.88,79.03,140765.0,79.525,963
2024-09-03 17:00:00,79.09,79.16,78.57,78.66,108452.0,78.866,894
2024-09-03 18:00:00,78.66,78.85,77.92,77.97,154173.0,78.407,790
2024-09-03 19:00:00,77.98,78.09,77.38,77.72,122081.0,77.677,906
2024-09-03 20:00:00,77.72,78.24,77.19,78.11,693529.0,77.816,4530
2024-09-04 14:30:00,77.0,78.26,76.5,78.26,128836.0,77.455,625
2024-09-04 15:00:00,78.23,79.56,77.31,79.56,194840.0,78.422,1211
2024-09-04 16:00:00,79.52,79.64,78.27,78.35,156652.0,79.108,1176
2024-09-04 17:00:00,78.3,78.46,77.86,78.14,71950.0,78.131,504
2024-09-04 18:00:00,78.09,78.33,77.94,78.02,74189.0,78.14,570
2024-09-04 19:00:00,78.0,78.16,77.11,77.29,128144.0,77.488,554
2024-09-04 20:00:00,77.25,78.07,77.24,78.03,303217.0,77.776,2088
2024-09-05 14:30:00,77.27,78.57,77.15,77.94,116012.0,77.724,556
2024-09-05 15:00:00,78.06,78.97,78.03,78.32,94058.0,78.477,582
2024-09-05 16:00:00,78.35,78.51,78.0,78.25,69413.0,78.187,499
2024-09-05 17:00:00,78.35,78.64,78.25,78.6,60807.0,78.471,376
2024-09-05 18:00:00,78.62,79.17,78.52,79.06,62230.0,78.777,445
2024-09-05 19:00:00,79.11,79.38,78.97,79.16,58652.0,79.108,402
2024-09-05 20:00:00,79.1,79.12,78.29,78.41,240025.0,78.516,1797
2024-09-06 14:30:00,78.64,79.21,77.62,77.66,84688.0,78.497,550
2024-09-06 15:00:00,77.66,77.66,76.35,76.73,214445.0,76.827,1333
2024-09-06 16:00:00,76.77,77.41,76.25,76.57,91716.0,76.569,660
2024-09-06 17:00:00,76.62,76.68,75.88,75.94,81891.0,76.296,572
2024-09-06 18:00:00,75.97,76.48,75.9,76.03,82032.0,76.188,495
2024-09-06 19:00:00,76.0,76.38,75.73,76.38,108424.0,75.905,670
2024-09-06 20:00:00,76.37,76.67,75.71,76.03,484301.0,76.069,3449
2024-09-09 14:30:00,77.01,77.71,76.91,77.24,91076.0,77.253,322
2024-09-09 15:00:00,77.28,77.6,76.17,76.19,134529.0,76.989,730
2024-09-09 16:00:00,76.13,76.95,76.13,76.91,106818.0,76.482,541
2024-09-09 17:00:00,76.92,77.55,76.85,77.25,70404.0,77.229,536
2024-09-09 18:00:00,77.25,77.27,76.49,76.51,69028.0,77.036,458
2024-09-09 19:00:00,76.51,76.66,76.21,76.46,65835.0,76.406,449
2024-09-09 20:00:00,76.41,76.6,76.09,76.23,242582.0,76.271,1601
2024-09-10 14:30:00,76.65,76.86,75.19,75.65,113027.0,75.804,715
2024-09-10 15:00:00,75.66,75.95,75.23,75.65,152721.0,75.639,993
2024-09-10 16:00:00,75.65,76.08,75.1,75.14,99492.0,75.67,674
2024-09-10 17:00:00,75.05,75.58,74.88,75.29,110284.0,75.196,649
2024-09-10 18:00:00,75.32,76.19,75.32,76.19,79120.0,75.863,559
2024-09-10 19:00:00,76.19,76.89,76.17,76.82,136242.0,76.578,986
2024-09-10 20:00:00,76.81,77.21,76.55,76.83,307836.0,76.911,2114
2024-09-11 14:30:00,76.49,76.82,75.99,76.48,187259.0,76.458,390
2024-09-11 15:00:00,76.59,76.81,75.22,75.75,359193.0,75.976,1105
2024-09-11 16:00:00,75.72,76.38,75.49,76.2,156465.0,75.999,1181
2024-09-11 17:00:00,76.18,77.33,76.17,77.3,155461.0,76.918,906
