date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,83.01,83.88,77.64,79.36,2990015.0,79.785,14182
2024-08-29 15:00:00,79.31,81.5,78.57,81.36,2192462.0,79.771,11039
2024-08-29 16:00:00,81.32,81.37,80.25,80.84,740857.0,80.818,4554
2024-08-29 17:00:00,80.87,82.13,80.85,80.98,915384.0,81.519,5295
2024-08-29 18:00:00,80.92,81.2,80.5,80.87,463290.0,80.891,2738
2024-08-29 19:00:00,80.89,81.15,79.25,79.51,635654.0,80.277,4365
2024-08-29 20:00:00,79.51,80.56,79.09,79.51,2111372.0,79.763,13642
2024-08-30 14:30:00,80.13,80.82,78.9,79.83,426767.0,79.681,2164
2024-08-30 15:00:00,79.79,79.88,78.08,78.54,455637.0,78.669,2380
2024-08-30 16:00:00,78.48,78.84,78.05,78.34,244908.0,78.415,1390
2024-08-30 17:00:00,78.36,78.7,78.1,78.29,156209.0,78.337,941
2024-08-30 18:00:00,78.27,78.96,78.24,78.61,271739.0,78.73,1538
2024-08-30 19:00:00,78.6,79.75,78.55,79.56,270463.0,79.343,1556
2024-08-30 20:00:00,79.56,79.66,78.65,78.73,744981.0,79.152,5222
2024-09-03 14:30:00,78.58,80.24,78.34,79.28,237268.0,79.174,1112
2024-09-03 15:00:00,79.23,79.68,78.12,78.26,226787.0,79.025,1477
2024-09-03 16:00:00,78.28,79.0,77.91,78.09,281740.0,78.543,1885
2024-09-03 17:00:00,78.11,78.44,77.55,77.64,251380.0,78.095,1329
2024-09-03 18:00:00,77.68,77.72,76.6,76.88,256143.0,77.056,1566
2024-09-03 19:00:00,76.93,76.96,76.29,76.42,208067.0,76.582,1323
2024-09-03 20:00:00,76.4,76.54,75.81,76.04,606167.0,76.118,3915
2024-09-04 14:30:00,74.95,76.52,74.3,76.52,231478.0,75.415,869
2024-09-04 15:00:00,76.37,76.91,75.54,76.77,191136.0,76.387,1160
2024-09-04 16:00:00,76.72,76.93,75.47,75.49,114839.0,76.158,707
2024-09-04 17:00:00,75.51,75.92,75.42,75.89,78971.0,75.664,617
2024-09-04 18:00:00,75.9,76.3,75.81,76.01,168950.0,76.036,1297
2024-09-04 19:00:00,76.0,76.08,75.61,75.72,236274.0,75.824,1515
2024-09-04 20:00:00,75.72,75.87,75.07,75.27,484665.0,75.406,3466
2024-09-05 14:30:00,74.92,75.16,74.11,74.3,102440.0,74.641,572
2024-09-05 15:00:00,74.34,75.22,74.33,74.71,212773.0,74.843,1457
2024-09-05 16:00:00,74.74,74.82,74.2,74.46,157423.0,74.467,1206
2024-09-05 17:00:00,74.46,75.0,74.44,74.69,163606.0,74.743,1128
2024-09-05 18:00:00,74.67,75.5,74.41,75.43,208810.0,74.781,1588
2024-09-05 19:00:00,75.45,75.69,75.13,75.14,161714.0,75.422,1248
2024-09-05 20:00:00,75.15,75.2,74.35,74.71,391909.0,74.673,3185
2024-09-06 14:30:00,74.99,75.34,74.5,74.58,68679.0,74.964,348
2024-09-06 15:00:00,74.5,74.76,73.34,73.58,241010.0,73.947,982
2024-09-06 16:00:00,73.61,74.19,73.31,73.36,152590.0,73.653,1034
2024-09-06 17:00:00,73.35,73.47,72.95,73.08,141148.0,73.254,939
2024-09-06 18:00:00,73.1,73.43,72.82,72.82,138641.0,73.133,813
2024-09-06 19:00:00,72.81,72.83,72.12,72.52,196337.0,72.421,1344
2024-09-06 20:00:00,72.52,73.02,72.16,72.48,488775.0,72.518,3491
2024-09-09 14:30:00,72.64,73.14,72.41,72.52,131702.0,72.757,378
2024-09-09 15:00:00,72.52,73.02,71.98,71.99,206571.0,72.496,1381
2024-09-09 16:00:00,71.95,72.29,71.55,71.78,206065.0,71.837,1046
2024-09-09 17:00:00,71.84,72.63,71.74,72.53,217523.0,72.195,1172
2024-09-09 18:00:00,72.54,72.82,72.07,72.13,240189.0,72.445,1109
2024-09-09 19:00:00,72.15,72.31,71.97,72.12,156383.0,72.17,1121
2024-09-09 20:00:00,72.14,72.17,71.18,71.27,1193152.0,71.769,4342
2024-09-10 14:30:00,71.6,71.7,70.87,71.63,143425.0,71.319,667
