date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,247.39,249.07,245.99,246.69,123594.0,247.089,504
2024-08-29 15:00:00,246.9,248.65,246.9,248.11,115149.0,248.157,778
2024-08-29 16:00:00,248.21,249.5,248.04,249.44,116861.0,248.633,744
2024-08-29 17:00:00,249.5,250.09,249.24,249.65,114433.0,249.671,600
2024-08-29 18:00:00,249.64,249.91,249.2,249.71,95594.0,249.51,582
2024-08-29 19:00:00,249.71,250.02,249.0,249.26,127295.0,249.524,847
2024-08-29 20:00:00,249.16,250.23,248.89,250.04,363535.0,249.827,2657
2024-08-30 14:30:00,249.62,250.49,249.0,249.53,75272.0,249.627,364
2024-08-30 15:00:00,249.8,250.23,248.96,250.1,84126.0,249.78,567
2024-08-30 16:00:00,250.04,250.29,248.8,249.7,76273.0,249.571,507
2024-08-30 17:00:00,249.6,250.29,249.1,250.06,148079.0,249.539,314
2024-08-30 18:00:00,250.22,250.36,249.71,250.31,61554.0,250.071,340
2024-08-30 19:00:00,250.31,250.99,250.31,250.87,65831.0,250.72,451
2024-08-30 20:00:00,250.87,254.35,250.73,252.23,360223.0,251.874,2296
2024-09-03 14:30:00,252.2,254.83,251.15,252.84,230332.0,252.903,712
2024-09-03 15:00:00,252.84,253.56,251.08,252.54,166004.0,251.656,1032
2024-09-03 16:00:00,252.54,253.38,252.3,252.59,115000.0,252.819,837
2024-09-03 17:00:00,252.66,253.06,252.32,252.59,123510.0,252.598,879
2024-09-03 18:00:00,252.72,253.01,252.37,252.77,90436.0,252.71,662
2024-09-03 19:00:00,252.7,252.77,251.95,252.41,119441.0,252.422,779
2024-09-03 20:00:00,252.36,253.02,251.5,252.31,432606.0,252.148,2521
2024-09-04 14:30:00,253.79,254.53,251.33,252.91,110603.0,253.224,631
2024-09-04 15:00:00,252.87,253.65,251.79,253.22,148443.0,252.788,1079
2024-09-04 16:00:00,253.22,253.61,252.54,252.85,82330.0,253.076,665
2024-09-04 17:00:00,252.85,252.94,251.94,252.42,116722.0,252.573,713
2024-09-04 18:00:00,252.52,252.52,251.68,251.74,56545.0,252.001,425
2024-09-04 19:00:00,251.76,252.89,251.67,252.68,56327.0,252.433,393
2024-09-04 20:00:00,252.62,253.96,252.48,253.9,226743.0,253.365,1565
2024-09-05 14:30:00,253.17,253.91,250.26,251.0,108359.0,251.525,580
2024-09-05 15:00:00,250.84,251.52,248.51,249.43,248594.0,249.855,1825
2024-09-05 16:00:00,249.44,249.62,247.63,248.03,146404.0,248.372,1052
2024-09-05 17:00:00,248.05,248.32,247.29,247.93,96464.0,247.872,626
2024-09-05 18:00:00,247.97,248.54,247.66,248.48,63048.0,248.035,467
2024-09-05 19:00:00,248.49,250.22,248.27,249.76,125011.0,249.344,802
2024-09-05 20:00:00,249.68,249.88,248.85,249.56,311199.0,249.468,2179
2024-09-06 14:30:00,250.09,252.03,250.09,250.46,69314.0,250.788,340
2024-09-06 15:00:00,250.69,251.2,248.97,249.02,82876.0,250.334,628
2024-09-06 16:00:00,249.06,250.07,248.28,248.89,136202.0,249.324,1035
2024-09-06 17:00:00,249.02,249.35,248.67,248.7,74845.0,249.025,580
2024-09-06 18:00:00,248.74,249.12,248.17,248.92,86454.0,248.631,626
2024-09-06 19:00:00,248.97,249.01,248.38,248.89,88138.0,248.745,688
2024-09-06 20:00:00,248.81,249.34,248.05,248.7,453551.0,248.706,3270
2024-09-09 14:30:00,249.76,250.59,248.7,248.76,144530.0,249.287,545
2024-09-09 15:00:00,248.82,250.68,248.52,250.68,203547.0,249.196,1504
2024-09-09 16:00:00,250.55,252.8,249.63,252.54,164974.0,250.503,664
2024-09-09 17:00:00,252.54,252.54,251.78,252.17,84017.0,252.207,727
2024-09-09 18:00:00,252.26,252.26,251.5,251.5,92549.0,251.954,724
2024-09-09 19:00:00,251.48,252.72,251.27,251.87,121885.0,252.017,781
2024-09-09 20:00:00,251.95,252.07,251.13,251.3,401190.0,251.461,1933
2024-09-10 14:30:00,252.58,254.73,251.64,253.62,72399.0,253.312,329
2024-09-10 15:00:00,253.56,253.56,251.18,252.0,122005.0,252.029,682
2024-09-10 16:00:00,252.0,252.01,250.69,250.74,93206.0,251.59,622
2024-09-10 17:00:00,250.74,251.19,250.17,250.75,77552.0,250.78,507
2024-09-10 18:00:00,250.68,250.86,249.85,250.14,99796.0,250.429,651
2024-09-10 19:00:00,250.1,250.33,249.44,249.76,128903.0,249.856,996
2024-09-10 20:00:00,249.71,250.03,249.0,249.14,395916.0,249.443,2714
2024-09-11 14:30:00,248.96,249.03,246.76,247.09,103618.0,247.759,605
2024-09-11 15:00:00,246.92,247.5,245.3,246.99,219327.0,246.305,1194
2024-09-11 16:00:00,246.9,247.22,245.6,246.22,225709.0,246.285,1352
2024-09-11 17:00:00,246.05,248.04,245.92,247.82,78977.0,247.099,638
2024-09-11 18:00:00,247.85,248.75,247.78,248.22,50603.0,248.332,422
2024-09-11 19:00:00,248.19,248.98,247.66,248.82,98728.0,248.302,546
2024-09-11 20:00:00,248.79,249.86,248.32,249.52,366254.0,249.2,2547
2024-09-12 14:30:00,247.85,248.93,246.51,248.37,87022.0,247.955,494
2024-09-12 15:00:00,248.2,249.63,248.1,248.94,72502.0,249.006,555
2024-09-12 16:00:00,248.83,249.27,248.38,248.58,79100.0,248.896,570
2024-09-12 17:00:00,248.58,249.03,248.3,248.94,69283.0,248.652,529
2024-09-12 18:00:00,248.88,249.73,248.68,249.28,85036.0,249.086,708
2024-09-12 19:00:00,249.35,249.88,249.14,249.49,105117.0,249.487,786
2024-09-12 20:00:00,249.49,250.08,249.34,249.55,316323.0,249.677,2200
2024-09-13 14:30:00,256.31,256.75,249.68,250.88,232585.0,252.638,1085
2024-09-13 15:00:00,250.91,253.82,250.62,253.22,416950.0,252.458,2222
2024-09-13 16:00:00,253.31,255.5,252.88,255.41,292900.0,253.997,1879
2024-09-13 17:00:00,255.34,255.51,254.28,255.06,127897.0,254.902,929
2024-09-13 18:00:00,254.99,255.75,254.9,255.56,101730.0,255.446,708
2024-09-13 19:00:00,255.56,256.32,255.32,256.0,179479.0,255.837,1223
2024-09-13 20:00:00,256.05,256.3,254.4,255.48,457266.0,255.494,2772
2024-09-16 14:30:00,257.31,260.46,255.55,258.51,146310.0,258.398,679
2024-09-16 15:00:00,258.4,259.55,257.47,259.24,160115.0,258.952,863
2024-09-16 16:00:00,259.23,259.75,258.64,259.2,278321.0,259.15,1812
2024-09-16 17:00:00,259.2,259.26,257.34,257.69,233420.0,258.612,1505
2024-09-16 18:00:00,257.64,257.94,256.39,257.15,97217.0,256.954,619
2024-09-16 19:00:00,257.08,257.23,256.61,256.72,108681.0,256.939,697
2024-09-16 20:00:00,256.72,257.17,256.15,256.33,342300.0,256.674,2057
2024-09-17 14:30:00,256.02,257.13,254.59,254.86,89116.0,255.488,447
2024-09-17 15:00:00,254.74,255.52,253.72,254.43,142436.0,254.626,944
2024-09-17 16:00:00,254.43,255.94,254.43,255.62,77383.0,255.381,574
2024-09-17 17:00:00,255.6,256.01,255.14,255.41,68264.0,255.593,486
2024-09-17 18:00:00,255.39,255.88,253.57,255.5,151572.0,255.084,1053
2024-09-17 19:00:00,255.36,257.18,255.13,256.13,93498.0,256.499,660
2024-09-17 20:00:00,256.15,257.13,255.93,257.0,195386.0,256.642,1586
2024-09-18 14:30:00,256.99,257.36,255.49,256.39,63543.0,256.409,317
2024-09-18 15:00:00,256.24,257.77,256.07,257.1,108875.0,256.851,749
2024-09-18 16:00:00,257.05,258.47,257.03,258.29,113042.0,257.872,777
2024-09-18 17:00:00,258.29,258.45,257.65,258.18,68656.0,258.042,499
2024-09-18 18:00:00,258.1,258.33,257.51,257.85,74286.0,257.861,433
2024-09-18 19:00:00,257.67,259.05,255.87,256.89,117438.0,257.32,952
2024-09-18 20:00:00,256.8,258.38,256.62,257.66,282580.0,257.565,1964
2024-09-19 14:30:00,256.89,257.11,253.05,254.32,241279.0,254.518,1557
2024-09-19 15:00:00,254.31,254.88,253.48,254.25,162458.0,254.35,1192
2024-09-19 16:00:00,254.27,254.84,252.74,253.17,200966.0,253.937,1234
2024-09-19 17:00:00,253.19,254.32,253.18,253.65,89460.0,253.893,601
2024-09-19 18:00:00,253.57,254.98,253.48,254.53,119557.0,254.288,767
2024-09-19 19:00:00,254.57,255.23,254.01,254.83,117656.0,254.652,896
2024-09-19 20:00:00,254.88,255.61,254.47,255.17,402903.0,255.097,2943
2024-09-20 14:30:00,255.21,257.67,254.2,256.86,446905.0,255.395,391
2024-09-20 15:00:00,256.8,258.71,256.74,258.34,156450.0,257.798,1192
2024-09-20 16:00:00,258.4,259.51,257.9,258.71,235559.0,258.847,1550
2024-09-20 17:00:00,258.73,258.94,257.96,258.35,44984.0,258.346,349
2024-09-20 18:00:00,258.35,258.51,257.73,258.4,67120.0,258.164,490
2024-09-20 19:00:00,258.4,258.8,257.35,257.78,64724.0,258.245,489
2024-09-20 20:00:00,257.69,259.46,257.58,259.22,408520.0,258.702,2999
2024-09-23 14:30:00,260.0,260.39,258.02,258.05,78323.0,259.428,359
2024-09-23 15:00:00,258.23,259.44,258.19,258.55,61355.0,258.808,467
2024-09-23 16:00:00,258.57,258.95,258.32,258.32,57642.0,258.626,390
2024-09-23 17:00:00,258.32,258.7,257.2,257.28,68435.0,257.998,399
2024-09-23 18:00:00,257.28,257.46,256.93,257.18,71227.0,257.149,406
2024-09-23 19:00:00,257.17,257.53,256.69,257.11,68654.0,257.142,513
2024-09-23 20:00:00,257.12,258.23,257.05,257.59,232967.0,257.821,1650
2024-09-24 14:30:00,256.92,257.12,254.01,254.76,108298.0,255.528,555
2024-09-24 15:00:00,254.76,256.77,254.3,256.25,124125.0,256.122,955
2024-09-24 16:00:00,256.28,256.49,255.41,255.47,99754.0,255.946,712
