date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,169.75,169.77,168.94,169.0,285808.0,169.415,1387
2024-08-29 15:00:00,169.03,170.39,168.94,170.13,346554.0,169.883,2182
2024-08-29 16:00:00,170.15,170.32,169.92,170.32,230424.0,170.08,1676
2024-08-29 17:00:00,170.31,170.6,170.23,170.43,206397.0,170.391,1324
2024-08-29 18:00:00,170.44,170.49,169.97,170.07,154777.0,170.255,1173
2024-08-29 19:00:00,170.07,170.42,169.95,170.21,279929.0,170.146,1673
2024-08-29 20:00:00,170.21,170.36,169.77,170.04,649441.0,170.093,4187
2024-08-30 14:30:00,170.16,171.38,170.16,171.34,441275.0,170.904,1497
2024-08-30 15:00:00,171.27,171.31,170.73,170.86,264433.0,170.985,1584
2024-08-30 16:00:00,170.85,170.89,170.04,170.08,258555.0,170.347,1640
2024-08-30 17:00:00,170.07,170.28,169.69,170.04,211259.0,169.99,1366
2024-08-30 18:00:00,170.04,170.36,169.93,170.13,299194.0,170.24,1296
2024-08-30 19:00:00,170.13,170.87,170.08,170.68,215720.0,170.552,1410
2024-08-30 20:00:00,170.68,171.88,170.67,171.52,890704.0,171.481,5651
2024-09-03 14:30:00,171.03,173.33,170.99,173.33,1233919.0,172.066,3285
2024-09-03 15:00:00,173.37,174.85,173.19,174.82,706059.0,173.995,3622
2024-09-03 16:00:00,174.8,175.0,173.83,174.3,789304.0,174.681,3910
2024-09-03 17:00:00,174.29,174.89,174.04,174.49,306583.0,174.439,1938
2024-09-03 18:00:00,174.49,174.95,174.44,174.91,249363.0,174.699,1776
2024-09-03 19:00:00,174.89,174.99,174.35,174.37,336766.0,174.755,2298
2024-09-03 20:00:00,174.37,174.89,174.07,174.58,1022097.0,174.437,6688
2024-09-04 14:30:00,173.63,175.71,173.63,175.39,937261.0,174.982,2028
2024-09-04 15:00:00,175.23,175.72,174.7,174.95,535186.0,175.154,2354
2024-09-04 16:00:00,174.95,175.49,174.94,175.23,245356.0,175.208,1392
2024-09-04 17:00:00,175.21,175.32,174.54,174.59,221969.0,174.932,1158
2024-09-04 18:00:00,174.59,174.94,174.22,174.88,248892.0,174.546,1158
2024-09-04 19:00:00,174.86,175.5,174.83,175.35,256740.0,175.167,1495
2024-09-04 20:00:00,175.36,176.0,174.99,175.89,916874.0,175.718,5763
2024-09-05 14:30:00,175.99,176.55,175.45,176.19,570209.0,175.942,1781
2024-09-05 15:00:00,176.15,176.47,175.3,175.92,436481.0,176.087,2838
2024-09-05 16:00:00,175.96,176.12,175.11,175.32,268838.0,175.615,1548
2024-09-05 17:00:00,175.32,175.35,174.67,175.17,247840.0,174.997,1560
2024-09-05 18:00:00,175.14,175.56,174.84,175.34,273977.0,175.235,1533
2024-09-05 19:00:00,175.35,175.62,175.2,175.35,214590.0,175.358,1591
