date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,67.59,68.13,67.36,68.03,190728.0,67.768,769
2024-08-29 15:00:00,68.05,69.48,68.02,69.32,415663.0,68.797,2519
2024-08-29 16:00:00,69.38,69.45,68.43,68.56,321017.0,69.043,1851
2024-08-29 17:00:00,68.53,69.28,68.49,69.22,224068.0,68.91,1246
2024-08-29 18:00:00,69.2,69.75,69.07,69.58,211927.0,69.396,1148
2024-08-29 19:00:00,69.58,69.62,68.99,69.18,398017.0,69.217,2640
2024-08-29 20:00:00,69.16,69.37,68.4,68.44,563511.0,68.845,3739
2024-08-30 14:30:00,68.7,68.83,67.35,67.67,257606.0,67.927,1150
2024-08-30 15:00:00,67.71,68.02,65.85,65.89,773680.0,66.895,4284
2024-08-30 16:00:00,65.88,66.9,63.83,66.8,1612693.0,65.3,7827
2024-08-30 17:00:00,66.82,67.52,66.2,67.1,500304.0,66.902,2743
2024-08-30 18:00:00,67.1,67.34,66.27,66.51,251429.0,66.764,1259
2024-08-30 19:00:00,66.55,67.14,66.47,66.92,194042.0,66.846,1293
2024-08-30 20:00:00,66.92,67.86,66.88,67.77,609306.0,67.461,3896
2024-09-03 14:30:00,67.64,67.64,66.51,67.08,174033.0,67.121,937
2024-09-03 15:00:00,67.02,67.45,66.52,66.8,241138.0,66.898,1337
2024-09-03 16:00:00,66.81,67.27,66.39,66.53,138492.0,66.821,936
2024-09-03 17:00:00,66.55,66.71,66.23,66.64,194184.0,66.403,1010
2024-09-03 18:00:00,66.61,66.88,66.09,66.11,127644.0,66.472,672
2024-09-03 19:00:00,66.09,66.11,65.42,65.51,139788.0,65.704,859
2024-09-03 20:00:00,65.54,65.58,64.91,65.21,373284.0,65.177,2658
2024-09-04 14:30:00,64.37,65.69,64.05,65.48,230902.0,64.753,805
2024-09-04 15:00:00,65.51,65.93,64.74,65.68,218442.0,65.302,1083
2024-09-04 16:00:00,65.65,65.72,64.77,64.86,119966.0,65.211,846
2024-09-04 17:00:00,64.88,64.9,64.45,64.67,125810.0,64.677,653
2024-09-04 18:00:00,64.65,64.74,63.87,64.24,206193.0,64.352,1139
2024-09-04 19:00:00,64.24,64.4,63.58,63.59,189702.0,64.054,900
2024-09-04 20:00:00,63.59,63.86,63.28,63.57,386336.0,63.527,2522
2024-09-05 14:30:00,66.9,68.0,65.38,67.82,745651.0,67.107,2991
2024-09-05 15:00:00,67.9,68.4,67.12,67.24,691106.0,67.607,2701
2024-09-05 16:00:00,67.24,67.45,66.04,66.04,557769.0,66.801,1968
2024-09-05 17:00:00,66.05,66.69,65.91,66.34,368733.0,66.239,1660
2024-09-05 18:00:00,66.37,66.9,65.7,66.87,201771.0,66.214,1172
2024-09-05 19:00:00,66.88,67.14,66.45,66.78,248429.0,66.827,1428
2024-09-05 20:00:00,66.78,66.79,66.18,66.68,604290.0,66.503,3657
2024-09-06 14:30:00,66.81,67.84,66.45,66.46,221514.0,67.249,898
2024-09-06 15:00:00,66.4,66.49,64.82,65.06,378205.0,65.618,1709
2024-09-06 16:00:00,65.07,65.9,63.69,63.75,311217.0,64.611,1585
2024-09-06 17:00:00,63.8,64.24,63.7,64.06,197093.0,64.029,870
