date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,64.29,64.33,63.83,64.0,687358.0,64.061,1836
2024-08-29 15:00:00,64.02,64.61,64.02,64.2,709101.0,64.403,2940
2024-08-29 16:00:00,64.19,64.5,64.1,64.48,377979.0,64.285,2371
2024-08-29 17:00:00,64.47,64.63,64.45,64.52,344918.0,64.532,1806
2024-08-29 18:00:00,64.53,64.81,64.46,64.78,272700.0,64.628,1561
2024-08-29 19:00:00,64.77,64.84,64.33,64.43,315575.0,64.6,1828
2024-08-29 20:00:00,64.42,65.04,64.37,64.92,1609565.0,64.845,8423
2024-08-30 14:30:00,65.1,65.52,65.1,65.34,240470.0,65.322,1274
2024-08-30 15:00:00,65.34,65.54,64.84,64.89,345925.0,65.203,2058
2024-08-30 16:00:00,64.88,64.99,64.54,64.84,345850.0,64.768,2192
2024-08-30 17:00:00,64.84,64.9,64.55,64.72,293976.0,64.719,1974
2024-08-30 18:00:00,64.72,64.82,64.62,64.75,239405.0,64.719,1701
2024-08-30 19:00:00,64.75,65.01,64.69,64.94,317624.0,64.873,2125
2024-08-30 20:00:00,64.93,65.23,64.82,65.08,1174299.0,65.069,7602
2024-09-03 14:30:00,64.22,64.9,64.15,64.84,517484.0,64.497,1566
2024-09-03 15:00:00,64.81,64.88,64.42,64.5,557495.0,64.633,3049
2024-09-03 16:00:00,64.51,64.81,64.41,64.69,620599.0,64.633,3133
2024-09-03 17:00:00,64.68,64.95,64.58,64.86,579186.0,64.76,3230
2024-09-03 18:00:00,64.85,65.0,64.62,64.77,329793.0,64.787,2437
2024-09-03 19:00:00,64.77,64.93,64.67,64.75,332921.0,64.783,2409
2024-09-03 20:00:00,64.75,64.82,64.33,64.81,1030428.0,64.628,6528
2024-09-04 14:30:00,64.8,65.06,64.59,64.67,321467.0,64.803,1242
2024-09-04 15:00:00,64.63,64.63,64.23,64.32,475237.0,64.415,2206
2024-09-04 16:00:00,64.33,64.43,63.81,64.03,341222.0,64.064,1756
2024-09-04 17:00:00,64.02,64.17,63.92,64.02,304480.0,64.052,1729
2024-09-04 18:00:00,64.01,64.03,63.58,63.62,386745.0,63.8,1888
2024-09-04 19:00:00,63.61,63.66,63.4,63.56,498309.0,63.54,2804
2024-09-04 20:00:00,63.55,63.98,63.38,63.89,974522.0,63.738,5879
2024-09-05 14:30:00,64.54,64.66,64.06,64.14,278199.0,64.322,1281
2024-09-05 15:00:00,64.12,64.24,63.76,63.82,512365.0,63.991,2471
2024-09-05 16:00:00,63.82,63.99,63.51,63.64,354449.0,63.731,2023
2024-09-05 17:00:00,63.63,63.68,63.41,63.54,396771.0,63.515,2376
2024-09-05 18:00:00,63.54,63.86,63.4,63.86,361806.0,63.581,2148
2024-09-05 19:00:00,63.86,63.92,63.7,63.82,340663.0,63.805,2018
2024-09-05 20:00:00,63.81,63.84,63.55,63.69,885568.0,63.668,4588
2024-09-06 14:30:00,63.77,64.36,63.71,63.98,393118.0,64.065,2156
2024-09-06 15:00:00,63.97,64.0,63.25,63.34,998310.0,63.783,4097
2024-09-06 16:00:00,63.34,63.72,63.02,63.03,492004.0,63.258,3138
2024-09-06 17:00:00,63.03,63.03,62.45,62.51,557146.0,62.806,2776
2024-09-06 18:00:00,62.52,62.81,62.51,62.6,426966.0,62.64,2449
2024-09-06 19:00:00,62.6,62.65,62.48,62.64,532354.0,62.584,1958
2024-09-06 20:00:00,62.64,62.94,62.63,62.9,1753307.0,62.769,6191
