date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,72.9,73.8,72.87,73.76,343979.0,73.244,1821
2024-08-29 15:00:00,73.78,74.0,73.15,73.8,454048.0,73.538,2638
2024-08-29 16:00:00,73.82,74.22,73.72,74.17,290167.0,74.006,1711
2024-08-29 17:00:00,74.15,74.34,73.95,74.07,264764.0,74.194,1099
2024-08-29 18:00:00,74.05,74.17,73.86,74.07,154238.0,74.013,904
2024-08-29 19:00:00,74.06,74.26,73.25,73.47,347334.0,73.863,1946
2024-08-29 20:00:00,73.46,73.84,73.23,73.3,604330.0,73.446,3936
2024-08-30 14:30:00,73.55,74.15,73.42,74.15,230100.0,73.681,1244
2024-08-30 15:00:00,74.17,74.33,73.56,73.58,238101.0,74.003,1363
2024-08-30 16:00:00,73.55,73.72,73.29,73.39,230293.0,73.482,1306
2024-08-30 17:00:00,73.35,73.71,73.12,73.71,253929.0,73.362,1382
2024-08-30 18:00:00,73.69,73.77,73.54,73.57,129821.0,73.632,729
2024-08-30 19:00:00,73.58,73.96,73.57,73.89,136986.0,73.783,878
2024-08-30 20:00:00,73.88,74.22,73.68,74.05,667195.0,73.988,4244
2024-09-03 14:30:00,73.15,73.22,72.52,72.99,453733.0,72.894,1985
2024-09-03 15:00:00,72.88,72.95,71.76,71.83,661179.0,72.188,3341
2024-09-03 16:00:00,71.81,72.3,71.79,72.08,659182.0,72.111,3030
2024-09-03 17:00:00,72.08,72.46,71.97,71.98,270035.0,72.217,1826
2024-09-03 18:00:00,71.98,72.08,71.38,71.4,401852.0,71.804,2451
2024-09-03 19:00:00,71.4,71.44,70.98,71.03,532376.0,71.188,3177
2024-09-03 20:00:00,71.02,71.37,70.82,71.25,1246772.0,71.183,7736
2024-09-04 14:30:00,70.86,71.65,70.28,71.51,444766.0,70.929,2229
2024-09-04 15:00:00,71.51,71.73,70.73,71.69,433059.0,71.218,2804
2024-09-04 16:00:00,71.7,71.75,70.65,70.74,351890.0,71.074,1982
2024-09-04 17:00:00,70.73,70.8,70.39,70.76,236491.0,70.607,1548
2024-09-04 18:00:00,70.76,70.87,70.52,70.53,331139.0,70.678,1582
2024-09-04 19:00:00,70.54,70.56,70.03,70.04,376495.0,70.322,1908
2024-09-04 20:00:00,70.03,70.42,69.62,70.23,1102911.0,70.024,6708
2024-09-05 14:30:00,70.0,70.69,69.72,70.53,291462.0,70.247,1418
2024-09-05 15:00:00,70.58,70.93,69.92,69.99,349736.0,70.566,2105
2024-09-05 16:00:00,70.0,70.04,69.3,69.43,331679.0,69.649,1915
2024-09-05 17:00:00,69.42,70.07,69.41,70.01,271950.0,69.761,1421
2024-09-05 18:00:00,70.02,70.47,69.91,70.41,162751.0,70.16,1023
2024-09-05 19:00:00,70.43,70.66,70.17,70.19,300934.0,70.426,1829
2024-09-05 20:00:00,70.17,70.17,69.72,70.11,736536.0,69.99,4950
2024-09-06 14:30:00,70.38,70.56,69.17,69.22,295534.0,69.919,1439
2024-09-06 15:00:00,69.22,69.35,67.21,67.32,1005165.0,68.137,5212
2024-09-06 16:00:00,67.32,67.97,66.15,66.2,931898.0,66.883,5374
2024-09-06 17:00:00,66.18,66.34,65.86,66.15,659266.0,66.079,3603
2024-09-06 18:00:00,66.15,67.12,66.05,67.05,577431.0,66.646,3220
2024-09-06 19:00:00,67.05,67.11,66.63,66.8,415154.0,66.797,2402
2024-09-06 20:00:00,66.78,67.3,66.78,67.01,1221256.0,67.042,7208
2024-09-09 14:30:00,68.48,69.49,68.48,68.67,538658.0,68.926,2624
2024-09-09 15:00:00,68.68,69.09,67.58,67.59,518028.0,68.469,3068
2024-09-09 16:00:00,67.58,67.92,67.14,67.91,472956.0,67.523,2205
2024-09-09 17:00:00,67.95,68.41,67.88,68.41,212351.0,68.179,1091
2024-09-09 18:00:00,68.4,68.45,67.93,67.93,169046.0,68.177,1010
2024-09-09 19:00:00,67.91,68.37,67.82,68.14,410017.0,68.108,2022
2024-09-09 20:00:00,68.12,68.24,67.83,68.12,797716.0,68.061,4596
2024-09-10 14:30:00,68.79,68.9,67.57,67.8,401525.0,68.078,2050
2024-09-10 15:00:00,67.77,67.84,66.95,67.22,466576.0,67.268,2770
2024-09-10 16:00:00,67.23,67.66,67.02,67.02,284113.0,67.385,1680
2024-09-10 17:00:00,67.03,67.54,66.98,67.35,304023.0,67.208,1611
2024-09-10 18:00:00,67.34,67.83,67.31,67.59,320407.0,67.608,1503
2024-09-10 19:00:00,67.6,67.88,67.54,67.58,477256.0,67.699,2897
2024-09-10 20:00:00,67.59,68.25,67.47,68.15,1133465.0,67.915,5893
2024-09-11 14:30:00,68.55,69.64,68.43,69.15,446048.0,69.022,2300
2024-09-11 15:00:00,69.16,69.3,68.1,68.56,815518.0,68.586,3589
2024-09-11 16:00:00,68.56,70.04,68.51,69.86,548567.0,69.458,3137
2024-09-11 17:00:00,69.86,70.71,69.82,70.51,666027.0,70.395,3351
2024-09-11 18:00:00,70.51,71.53,70.47,71.15,673204.0,71.019,3684
2024-09-11 19:00:00,71.15,71.76,71.1,71.38,601349.0,71.363,3697
2024-09-11 20:00:00,71.38,71.69,71.26,71.52,1615746.0,71.532,7296
2024-09-12 14:30:00,70.72,71.1,69.63,70.15,1034683.0,70.267,5011
2024-09-12 15:00:00,70.12,70.55,69.82,70.28,600298.0,70.24,3162
2024-09-12 16:00:00,70.28,71.12,70.17,71.06,772453.0,70.759,3631
2024-09-12 17:00:00,71.06,71.98,71.04,71.84,467323.0,71.418,2692
2024-09-12 18:00:00,71.85,71.94,71.56,71.83,361298.0,71.767,2056
2024-09-12 19:00:00,71.84,71.86,71.28,71.64,482871.0,71.63,2774
2024-09-12 20:00:00,71.64,71.9,71.29,71.31,971509.0,71.576,6415
2024-09-13 14:30:00,71.83,72.36,71.76,72.28,486224.0,72.152,2577
2024-09-13 15:00:00,72.3,73.44,72.06,73.12,850598.0,72.929,4901
2024-09-13 16:00:00,73.09,73.33,72.86,72.97,448141.0,73.068,2970
2024-09-13 17:00:00,72.97,73.02,72.23,72.63,388854.0,72.515,2066
2024-09-13 18:00:00,72.63,72.68,72.43,72.56,273578.0,72.567,1487
