date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,112.14,115.97,112.14,115.86,873334.0,114.288,4464
2024-08-29 15:00:00,115.87,117.08,115.62,116.64,1128053.0,116.34,6383
2024-08-29 16:00:00,116.65,116.92,115.81,116.37,553113.0,116.245,3617
2024-08-29 17:00:00,116.39,117.05,115.9,116.11,451228.0,116.42,3071
2024-08-29 18:00:00,116.09,116.56,115.81,116.51,379067.0,116.077,2534
2024-08-29 19:00:00,116.52,116.54,114.53,114.75,435477.0,115.622,2957
2024-08-29 20:00:00,114.7,114.78,113.84,114.12,926954.0,114.2,5669
2024-08-30 14:30:00,115.38,115.92,114.5,114.84,321331.0,115.041,1565
2024-08-30 15:00:00,114.85,115.07,112.94,112.97,615343.0,113.871,3085
2024-08-30 16:00:00,112.97,113.75,112.53,113.42,479357.0,113.189,2211
2024-08-30 17:00:00,113.41,113.53,112.65,113.07,195215.0,113.077,1105
2024-08-30 18:00:00,113.08,113.34,112.64,112.68,287442.0,112.963,1217
2024-08-30 19:00:00,112.7,113.26,112.66,113.13,285715.0,113.0,1354
2024-08-30 20:00:00,113.09,114.41,113.06,114.22,785479.0,113.792,4281
2024-09-03 14:30:00,113.06,114.73,112.65,114.07,292965.0,113.746,1448
2024-09-03 15:00:00,113.95,114.44,111.34,112.31,626157.0,113.221,4222
2024-09-03 16:00:00,112.41,112.87,111.47,111.95,401648.0,112.094,2499
2024-09-03 17:00:00,111.92,112.06,111.21,111.24,304732.0,111.642,1953
2024-09-03 18:00:00,111.24,111.72,110.86,110.87,303250.0,111.273,2027
2024-09-03 19:00:00,110.88,110.93,110.28,110.64,332689.0,110.604,2019
2024-09-03 20:00:00,110.65,110.78,109.37,110.41,1084140.0,110.068,6916
2024-09-04 14:30:00,110.0,111.88,109.4,111.42,357774.0,110.716,1908
2024-09-04 15:00:00,111.42,112.68,110.08,112.62,430761.0,111.496,2300
2024-09-04 16:00:00,112.59,112.87,111.65,112.06,282194.0,112.216,1768
2024-09-04 17:00:00,112.1,112.19,111.31,111.95,149049.0,111.855,870
2024-09-04 18:00:00,111.85,112.0,111.05,111.12,143173.0,111.544,832
2024-09-04 19:00:00,111.12,111.31,110.54,110.57,231115.0,110.906,1286
2024-09-04 20:00:00,110.51,111.05,110.13,110.77,428585.0,110.735,2797
2024-09-05 14:30:00,110.04,113.79,110.0,112.14,372447.0,112.049,1991
2024-09-05 15:00:00,112.25,113.33,111.95,112.27,274856.0,112.709,1458
2024-09-05 16:00:00,112.24,112.82,111.16,111.24,199176.0,111.911,1239
2024-09-05 17:00:00,111.24,111.82,111.24,111.8,184348.0,111.514,1033
2024-09-05 18:00:00,111.78,112.67,111.45,112.6,149902.0,112.006,948
2024-09-05 19:00:00,112.69,113.03,112.41,112.49,260551.0,112.724,1447
2024-09-05 20:00:00,112.45,112.59,111.56,111.74,576301.0,111.998,3845
2024-09-06 14:30:00,112.28,112.66,110.84,111.05,246439.0,111.937,1346
2024-09-06 15:00:00,110.92,111.45,108.89,109.34,467027.0,110.025,2608
2024-09-06 16:00:00,109.29,110.07,108.18,108.31,485889.0,108.721,3004
2024-09-06 17:00:00,108.35,108.42,107.13,107.32,476804.0,107.725,2589
2024-09-06 18:00:00,107.34,108.63,107.22,108.0,314283.0,108.111,1759
2024-09-06 19:00:00,108.02,108.02,107.5,107.86,337978.0,107.688,1655
