date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,560.31,561.28,559.37,561.1,3914443.0,560.305,21610
2024-08-29 15:00:00,561.1,562.8,560.1,562.12,4154850.0,561.66,25449
2024-08-29 16:00:00,562.09,563.19,561.47,562.48,2162662.0,562.251,12229
2024-08-29 17:00:00,562.48,563.68,562.42,563.11,2292071.0,563.162,12790
2024-08-29 18:00:00,563.12,563.12,561.96,562.85,1736870.0,562.513,9801
2024-08-29 19:00:00,562.8,562.84,557.18,558.49,5040424.0,559.572,27891
2024-08-29 20:00:00,558.48,559.95,557.53,558.32,6925979.0,558.493,35771
2024-08-30 14:30:00,560.78,561.93,560.41,561.72,3132551.0,561.164,15395
2024-08-30 15:00:00,561.73,562.25,559.96,559.98,3537910.0,561.471,20044
2024-08-30 16:00:00,560.0,560.5,558.11,559.14,3717449.0,559.22,19451
2024-08-30 17:00:00,559.13,559.67,557.14,559.1,3049823.0,558.464,16954
2024-08-30 18:00:00,559.1,559.84,558.57,558.87,1841780.0,559.184,10441
2024-08-30 19:00:00,558.87,560.94,558.6,560.7,4571840.0,560.0,23312
2024-08-30 20:00:00,560.7,564.2,560.15,563.57,14694991.0,562.565,67018
2024-09-03 14:30:00,560.47,560.81,558.14,559.08,4382197.0,559.581,22710
2024-09-03 15:00:00,559.12,559.14,555.1,555.34,6854775.0,556.745,38263
2024-09-03 16:00:00,555.35,556.99,555.15,555.6,4008421.0,556.194,22084
2024-09-03 17:00:00,555.59,556.5,554.75,554.9,2703929.0,555.504,15063
2024-09-03 18:00:00,554.88,555.87,554.26,554.34,2750303.0,555.048,15420
2024-09-03 19:00:00,554.33,554.38,552.47,552.63,4526864.0,553.278,24330
2024-09-03 20:00:00,552.63,553.16,549.51,552.16,12690006.0,551.454,64577
2024-09-04 14:30:00,550.2,552.56,550.03,552.49,3615783.0,551.439,18204
2024-09-04 15:00:00,552.54,554.0,550.02,553.98,7129088.0,552.205,39263
2024-09-04 16:00:00,553.97,554.43,551.34,551.85,3466267.0,552.831,18840
2024-09-04 17:00:00,551.82,553.09,551.07,552.34,2309376.0,551.984,12572
2024-09-04 18:00:00,552.32,552.34,550.68,550.95,2359114.0,551.363,12393
2024-09-04 19:00:00,550.96,551.74,550.02,550.07,3114226.0,550.818,15653
2024-09-04 20:00:00,550.07,551.96,549.46,550.84,8698197.0,550.892,41352
2024-09-05 14:30:00,550.89,552.27,550.65,551.96,3681546.0,551.468,19251
2024-09-05 15:00:00,551.97,553.8,550.33,550.39,4697330.0,552.256,25072
2024-09-05 16:00:00,550.38,550.54,547.36,547.49,4569374.0,548.715,27008
2024-09-05 17:00:00,547.48,549.3,547.1,548.71,3228677.0,548.201,18981
2024-09-05 18:00:00,548.72,550.7,547.73,550.68,2362310.0,549.197,13411
2024-09-05 19:00:00,550.69,551.18,549.85,550.17,2822581.0,550.496,15288
2024-09-05 20:00:00,550.15,550.26,548.04,549.57,8219604.0,548.96,42135
2024-09-06 14:30:00,549.93,551.6,547.83,547.89,5065181.0,549.89,25774
2024-09-06 15:00:00,547.89,548.26,541.56,542.22,8455259.0,544.582,48034
2024-09-06 16:00:00,542.25,545.51,540.26,540.58,7876249.0,542.42,45918
2024-09-06 17:00:00,540.53,541.18,539.66,540.13,3454485.0,540.369,18989
2024-09-06 18:00:00,540.15,542.0,539.89,540.64,3290424.0,540.791,18954
2024-09-06 19:00:00,540.65,540.85,539.44,540.45,2862358.0,540.015,16095
2024-09-06 20:00:00,540.45,541.88,539.67,540.43,12837027.0,540.537,62740
2024-09-09 14:30:00,544.65,545.49,544.08,545.3,3806732.0,544.833,21889
2024-09-09 15:00:00,545.3,546.39,543.31,543.31,4196341.0,544.853,24524
2024-09-09 16:00:00,543.33,545.99,542.68,545.99,2400428.0,544.372,13728
2024-09-09 17:00:00,545.98,547.68,545.76,547.49,2503372.0,546.879,14408
2024-09-09 18:00:00,547.49,547.71,545.57,545.74,2427141.0,546.939,14261
2024-09-09 19:00:00,545.74,545.85,544.18,545.11,3441281.0,545.153,18981
2024-09-09 20:00:00,545.07,546.51,544.46,546.42,6807562.0,545.669,36480
2024-09-10 14:30:00,548.36,548.66,547.63,547.87,3228683.0,548.189,16484
2024-09-10 15:00:00,547.87,548.11,545.54,546.52,4008028.0,546.629,22023
2024-09-10 16:00:00,546.52,547.73,544.12,544.18,3134105.0,546.383,16533
2024-09-10 17:00:00,544.15,545.82,543.38,545.14,3616602.0,544.465,17404
2024-09-10 18:00:00,545.13,547.19,545.03,546.99,2986372.0,546.565,15018
2024-09-10 19:00:00,547.0,548.36,547.0,548.22,3376820.0,547.863,16348
2024-09-10 20:00:00,548.2,549.15,547.97,548.82,6172053.0,548.577,31561
2024-09-11 14:30:00,548.7,548.76,544.51,544.69,4181327.0,546.271,23359
2024-09-11 15:00:00,544.69,544.78,539.96,541.16,8466770.0,541.598,47259
2024-09-11 16:00:00,541.12,545.28,540.56,544.5,6589752.0,542.954,35115
2024-09-11 17:00:00,544.48,547.55,544.27,547.31,4818320.0,546.1,25657
2024-09-11 18:00:00,547.34,550.82,547.34,550.0,5357707.0,549.191,27088
2024-09-11 19:00:00,549.98,552.69,549.7,551.67,5792562.0,551.236,29033
2024-09-11 20:00:00,551.65,555.36,551.24,554.36,11666311.0,553.407,55949
2024-09-12 14:30:00,555.01,555.37,552.74,553.77,3635182.0,554.38,21051
2024-09-12 15:00:00,553.81,556.28,553.31,554.45,4751034.0,555.128,29729
2024-09-12 16:00:00,554.41,556.64,554.06,554.5,3365046.0,555.254,20180
2024-09-12 17:00:00,554.47,557.24,554.35,557.12,2793797.0,555.62,16327
2024-09-12 18:00:00,557.13,559.37,557.0,559.14,3806395.0,558.126,20580
2024-09-12 19:00:00,559.14,559.4,556.54,558.68,4624545.0,558.573,23617
2024-09-12 20:00:00,558.66,559.22,558.12,559.02,8646277.0,558.668,41133
2024-09-13 14:30:00,559.69,561.28,559.45,560.93,3240336.0,560.397,16875
2024-09-13 15:00:00,560.99,562.57,559.93,561.86,4868321.0,561.44,25604
2024-09-13 16:00:00,561.85,562.8,561.51,562.66,2850785.0,562.12,15720
2024-09-13 17:00:00,562.65,562.94,561.33,562.19,2485044.0,561.954,14403
2024-09-13 18:00:00,562.19,563.03,562.14,562.57,2092406.0,562.609,11837
2024-09-13 19:00:00,562.57,562.98,561.11,561.44,3224555.0,561.793,17728
2024-09-13 20:00:00,561.43,562.34,561.02,561.94,5677207.0,561.844,30226
2024-09-16 14:30:00,561.74,562.92,560.82,562.48,3536000.0,561.635,19892
2024-09-16 15:00:00,562.47,562.82,559.9,560.73,4214212.0,561.352,23128
2024-09-16 16:00:00,560.72,561.54,560.16,561.27,2659328.0,560.899,12931
2024-09-16 17:00:00,561.27,561.61,560.34,561.57,2682175.0,561.073,12263
2024-09-16 18:00:00,561.57,562.55,561.2,562.5,1923050.0,561.857,9191
2024-09-16 19:00:00,562.5,562.72,561.84,562.7,2439427.0,562.331,11719
2024-09-16 20:00:00,562.68,563.11,561.96,562.86,4734763.0,562.641,25249
2024-09-17 14:30:00,565.12,565.57,564.07,564.49,3253235.0,564.918,16907
2024-09-17 15:00:00,564.51,566.58,564.27,565.13,4792184.0,565.739,24975
2024-09-17 16:00:00,565.16,565.97,564.77,564.99,2789551.0,565.258,15025
2024-09-17 17:00:00,564.97,565.19,560.98,561.83,4693414.0,563.04,25716
2024-09-17 18:00:00,561.83,563.08,560.79,562.62,2943824.0,562.28,16053
2024-09-17 19:00:00,562.63,563.18,561.33,562.02,3128494.0,562.358,16296
2024-09-17 20:00:00,562.02,563.17,561.33,563.1,7034891.0,562.387,35932
2024-09-18 14:30:00,563.74,563.93,562.53,563.0,2192513.0,563.081,12056
2024-09-18 15:00:00,563.02,563.35,562.13,562.8,2712951.0,562.845,17071
2024-09-18 16:00:00,562.79,563.16,561.55,561.64,1991955.0,562.299,12399
2024-09-18 17:00:00,561.63,563.72,561.34,563.62,1680416.0,562.69,8509
2024-09-18 18:00:00,563.63,564.28,562.85,563.15,2199075.0,563.447,11777
2024-09-18 19:00:00,563.14,568.69,561.8,563.79,14339430.0,565.578,82580
2024-09-18 20:00:00,563.81,565.86,560.83,561.33,11505811.0,562.725,64855
2024-09-19 14:30:00,571.01,571.09,568.08,569.58,5752254.0,569.68,31155
2024-09-19 15:00:00,569.61,571.89,569.37,569.91,6788653.0,570.548,35024
2024-09-19 16:00:00,569.92,571.18,569.43,570.4,3829190.0,570.55,20361
2024-09-19 17:00:00,570.4,572.05,570.33,571.5,2932892.0,571.497,16298
2024-09-19 18:00:00,571.5,572.88,571.3,572.5,3128067.0,572.14,18200
2024-09-19 19:00:00,572.49,572.74,570.89,571.92,5249433.0,571.823,27986
2024-09-19 20:00:00,571.92,572.11,570.35,570.92,11624135.0,571.115,54995
2024-09-20 14:30:00,567.84,568.5,566.93,567.15,4198478.0,567.883,20062
2024-09-20 15:00:00,567.07,567.76,566.26,566.39,4725320.0,567.114,25512
2024-09-20 16:00:00,566.4,567.36,565.17,566.93,4883884.0,566.342,25297
2024-09-20 17:00:00,566.95,568.5,566.73,568.15,2942149.0,567.774,14521
2024-09-20 18:00:00,568.14,568.65,567.87,568.07,2514079.0,568.285,13677
2024-09-20 19:00:00,568.07,568.14,566.09,567.48,4956776.0,566.894,23206
2024-09-20 20:00:00,567.48,569.31,567.12,568.1,10129622.0,568.126,48960
2024-09-23 14:30:00,569.34,569.42,568.25,568.8,3165560.0,568.924,16676
2024-09-23 15:00:00,568.78,570.34,568.4,569.85,3253935.0,569.504,18644
2024-09-23 16:00:00,569.86,570.15,568.73,569.6,2286380.0,569.568,12750
2024-09-23 17:00:00,569.59,569.65,568.25,568.63,2382870.0,568.874,12708
2024-09-23 18:00:00,568.64,569.34,568.1,569.3,2098809.0,568.769,11090
