date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,65.34,67.29,65.34,67.25,854259.0,66.467,3926
2024-08-29 15:00:00,67.25,68.03,67.24,67.86,1040800.0,67.705,4977
2024-08-29 16:00:00,67.88,68.26,67.81,68.1,626740.0,68.056,2936
2024-08-29 17:00:00,68.14,68.25,67.74,67.9,552203.0,67.947,2670
2024-08-29 18:00:00,67.9,68.3,67.84,68.28,449124.0,68.089,2372
2024-08-29 19:00:00,68.28,68.49,67.18,67.27,692756.0,67.924,3662
2024-08-29 20:00:00,67.25,67.31,66.23,66.42,1156020.0,66.656,6896
2024-08-30 14:30:00,66.87,66.97,65.93,66.23,469216.0,66.385,2110
2024-08-30 15:00:00,66.28,66.34,65.41,65.47,559108.0,65.82,2677
2024-08-30 16:00:00,65.45,65.59,64.88,65.29,499153.0,65.255,2859
2024-08-30 17:00:00,65.28,65.42,64.88,65.13,349899.0,65.092,1856
2024-08-30 18:00:00,65.14,65.25,64.75,65.02,392917.0,64.92,2562
2024-08-30 19:00:00,65.05,65.57,65.03,65.45,301208.0,65.342,1447
2024-08-30 20:00:00,65.44,66.17,65.35,66.05,991684.0,65.82,5514
2024-09-03 14:30:00,64.65,65.66,64.65,64.99,388380.0,65.176,1818
2024-09-03 15:00:00,64.98,65.38,64.75,65.05,528912.0,65.102,2886
2024-09-03 16:00:00,65.08,65.48,65.01,65.24,368510.0,65.282,1861
2024-09-03 17:00:00,65.24,65.36,64.91,65.06,272687.0,65.086,1518
2024-09-03 18:00:00,65.06,65.24,64.69,64.72,289699.0,64.989,1710
2024-09-03 19:00:00,64.72,64.73,64.28,64.37,337961.0,64.453,1805
2024-09-03 20:00:00,64.36,64.57,63.77,64.21,937401.0,64.144,4820
2024-09-04 14:30:00,63.86,64.59,63.73,64.58,442793.0,64.141,2338
2024-09-04 15:00:00,64.58,65.24,63.9,65.2,509263.0,64.621,2965
2024-09-04 16:00:00,65.19,65.24,64.46,64.46,339288.0,64.777,2209
2024-09-04 17:00:00,64.45,64.64,64.23,64.63,288973.0,64.404,1501
2024-09-04 18:00:00,64.63,64.75,64.33,64.36,180200.0,64.531,1132
2024-09-04 19:00:00,64.35,64.38,63.92,63.92,248154.0,64.205,1633
2024-09-04 20:00:00,63.92,64.14,63.67,64.06,624280.0,63.878,3690
2024-09-05 14:30:00,63.97,64.47,63.69,64.44,300202.0,64.184,1366
2024-09-05 15:00:00,64.45,65.23,64.45,64.74,437076.0,64.863,2564
2024-09-05 16:00:00,64.76,64.8,64.08,64.23,296073.0,64.373,1817
2024-09-05 17:00:00,64.23,64.47,64.18,64.37,202867.0,64.334,1440
2024-09-05 18:00:00,64.37,64.7,64.18,64.7,248817.0,64.421,1537
2024-09-05 19:00:00,64.7,64.89,64.53,64.64,286567.0,64.716,1884
2024-09-05 20:00:00,64.64,64.72,64.25,64.58,649701.0,64.472,4399
2024-09-06 14:30:00,64.68,65.41,63.71,63.74,312098.0,64.527,1459
2024-09-06 15:00:00,63.71,63.71,61.79,61.86,791865.0,62.529,3588
2024-09-06 16:00:00,61.86,62.5,61.53,61.54,725605.0,61.911,4337
2024-09-06 17:00:00,61.54,61.74,61.17,61.39,301882.0,61.495,1896
