date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,614.43,614.43,609.66,611.77,25713.0,613.221,85
2024-08-29 15:00:00,611.02,614.7,611.02,612.9,30753.0,613.152,231
2024-08-29 16:00:00,613.14,614.03,611.31,612.76,25236.0,612.506,199
2024-08-29 17:00:00,613.36,615.89,612.77,615.75,49765.0,614.767,161
2024-08-29 18:00:00,615.43,616.25,614.36,615.53,15241.0,615.393,91
2024-08-29 19:00:00,615.24,616.55,613.39,613.39,19589.0,615.106,150
2024-08-29 20:00:00,613.88,614.43,610.67,611.89,64720.0,611.917,536
2024-08-30 14:30:00,616.11,618.0,613.01,615.2,60501.0,615.819,252
2024-08-30 15:00:00,614.86,615.48,612.04,612.45,25257.0,613.456,201
2024-08-30 16:00:00,612.3,613.64,608.0,609.63,34330.0,610.727,237
2024-08-30 17:00:00,609.63,609.95,606.54,608.46,18930.0,608.165,138
2024-08-30 18:00:00,608.66,609.37,605.0,606.46,19184.0,606.577,147
2024-08-30 19:00:00,606.39,609.63,606.0,609.03,38424.0,608.227,284
2024-08-30 20:00:00,609.13,615.44,608.93,615.07,136134.0,613.107,976
2024-09-03 14:30:00,611.47,615.03,609.44,612.94,47694.0,612.032,223
2024-09-03 15:00:00,612.86,613.63,610.23,612.91,36072.0,611.973,251
2024-09-03 16:00:00,612.56,613.14,610.51,610.83,25748.0,611.581,223
2024-09-03 17:00:00,610.82,611.45,606.79,607.49,23315.0,609.263,176
2024-09-03 18:00:00,607.76,608.46,606.0,606.38,21581.0,607.57,177
2024-09-03 19:00:00,606.37,610.0,605.63,606.87,39070.0,607.882,316
2024-09-03 20:00:00,606.83,606.96,603.64,606.66,136614.0,605.593,1004
2024-09-04 14:30:00,605.66,610.92,604.23,609.85,41370.0,607.3,139
2024-09-04 15:00:00,609.72,610.81,607.05,608.06,53641.0,609.026,410
2024-09-04 16:00:00,608.27,608.86,606.81,606.85,29827.0,607.507,219
2024-09-04 17:00:00,606.81,606.85,605.1,606.0,29872.0,605.983,227
2024-09-04 18:00:00,605.9,606.0,605.01,605.24,20013.0,605.397,171
2024-09-04 19:00:00,605.58,608.55,604.89,607.9,36502.0,606.859,293
2024-09-04 20:00:00,607.78,612.67,607.31,611.96,129020.0,610.866,982
2024-09-05 14:30:00,611.04,614.17,602.61,604.32,61827.0,607.885,313
2024-09-05 15:00:00,605.22,607.39,601.96,601.96,51430.0,605.045,356
2024-09-05 16:00:00,601.87,603.93,601.26,603.92,34184.0,602.583,228
2024-09-05 17:00:00,604.14,606.2,602.53,605.87,24469.0,604.135,171
2024-09-05 18:00:00,606.13,610.89,605.73,610.89,33054.0,607.462,249
2024-09-05 19:00:00,610.79,610.81,608.11,608.9,31641.0,609.683,265
2024-09-05 20:00:00,608.95,609.39,605.04,607.0,145740.0,606.301,1077
2024-09-06 14:30:00,607.49,619.7,607.49,615.9,49899.0,613.923,304
2024-09-06 15:00:00,615.89,618.11,610.05,613.78,72303.0,613.231,540
2024-09-06 16:00:00,614.0,618.92,613.76,613.79,105722.0,615.526,744
2024-09-06 17:00:00,613.36,614.26,610.84,611.97,45183.0,612.5,307
2024-09-06 18:00:00,612.14,614.73,612.07,613.3,23990.0,613.132,190
2024-09-06 19:00:00,612.68,613.83,611.29,611.77,24441.0,612.618,189
2024-09-06 20:00:00,612.09,613.57,611.33,611.55,179677.0,612.32,1307
2024-09-09 14:30:00,614.51,618.54,614.1,618.47,49265.0,616.403,231
2024-09-09 15:00:00,618.65,621.33,617.69,618.89,62383.0,619.415,309
2024-09-09 16:00:00,618.74,619.22,615.99,617.57,37398.0,617.94,237
2024-09-09 17:00:00,617.89,620.77,617.77,620.05,26966.0,619.371,204
2024-09-09 18:00:00,619.82,621.75,618.69,620.24,121693.0,620.968,370
2024-09-09 19:00:00,620.16,622.26,619.45,619.7,101050.0,621.241,589
2024-09-09 20:00:00,619.2,620.72,617.97,620.21,282521.0,619.043,837
2024-09-10 14:30:00,620.62,624.75,618.9,624.0,156273.0,621.823,498
2024-09-10 15:00:00,623.73,627.88,620.89,626.09,68054.0,625.182,489
2024-09-10 16:00:00,625.61,627.5,619.68,619.7,98862.0,624.934,558
2024-09-10 17:00:00,619.96,621.27,618.25,621.27,38053.0,619.541,259
2024-09-10 18:00:00,620.84,623.72,620.84,621.86,64772.0,622.722,422
2024-09-10 19:00:00,621.82,624.53,621.18,622.17,39766.0,622.675,313
2024-09-10 20:00:00,622.47,624.54,621.05,624.22,112267.0,622.897,828
2024-09-11 14:30:00,622.08,623.0,614.43,615.49,32842.0,618.281,165
2024-09-11 15:00:00,615.01,615.15,610.7,612.85,68382.0,612.908,418
2024-09-11 16:00:00,612.7,613.0,608.85,610.46,86870.0,611.815,446
2024-09-11 17:00:00,610.44,612.45,609.64,611.99,36848.0,611.476,272
2024-09-11 18:00:00,612.36,614.02,611.76,613.19,50213.0,612.93,335
2024-09-11 19:00:00,613.43,617.0,613.05,616.05,62979.0,614.473,349
2024-09-11 20:00:00,615.83,618.69,613.43,618.15,197882.0,615.819,1312
2024-09-12 14:30:00,615.71,619.31,604.45,604.82,50593.0,611.458,276
2024-09-12 15:00:00,604.88,610.62,604.35,604.64,85015.0,607.041,668
2024-09-12 16:00:00,604.36,608.99,604.18,608.71,96199.0,606.825,638
2024-09-12 17:00:00,608.67,611.32,606.04,611.32,79978.0,608.544,444
2024-09-12 18:00:00,611.0,615.02,609.83,613.99,58417.0,612.825,327
2024-09-12 19:00:00,613.95,614.38,611.34,612.74,86133.0,613.206,524
2024-09-12 20:00:00,612.73,614.6,611.6,613.86,189570.0,613.212,1310
2024-09-13 14:30:00,614.84,617.04,612.11,614.2,54452.0,614.375,328
2024-09-13 15:00:00,614.88,615.71,607.81,608.84,88696.0,610.525,596
2024-09-13 16:00:00,609.09,610.36,607.94,609.32,37825.0,609.206,270
2024-09-13 17:00:00,609.32,611.23,609.13,610.34,35656.0,610.094,264
2024-09-13 18:00:00,610.23,611.99,610.14,611.3,51643.0,611.076,452
2024-09-13 19:00:00,611.45,611.82,609.4,610.43,79207.0,610.525,341
2024-09-13 20:00:00,610.25,612.16,609.35,611.01,131825.0,610.984,920
2024-09-16 14:30:00,615.59,616.48,612.04,612.8,71991.0,614.172,397
2024-09-16 15:00:00,612.48,612.59,607.26,611.14,50763.0,610.269,376
2024-09-16 16:00:00,610.72,612.65,610.0,611.89,58094.0,611.208,387
2024-09-16 17:00:00,611.86,612.86,610.93,612.55,53953.0,611.838,366
2024-09-16 18:00:00,612.25,613.69,611.64,613.47,33885.0,612.484,260
2024-09-16 19:00:00,613.37,614.2,612.88,614.2,43585.0,613.768,324
2024-09-16 20:00:00,614.18,615.7,613.26,614.29,131337.0,614.305,934
2024-09-17 14:30:00,613.18,613.82,607.0,612.21,95022.0,611.472,473
2024-09-17 15:00:00,611.4,615.49,609.12,613.06,103637.0,612.516,716
2024-09-17 16:00:00,613.5,616.58,613.22,614.32,39838.0,614.422,349
2024-09-17 17:00:00,613.8,613.82,607.0,608.59,57946.0,611.206,502
2024-09-17 18:00:00,609.0,611.07,608.79,610.19,46690.0,609.798,346
2024-09-17 19:00:00,609.8,610.89,608.62,608.89,36321.0,609.962,321
2024-09-17 20:00:00,608.94,611.29,607.77,610.07,203277.0,609.834,1380
2024-09-18 14:30:00,609.14,609.14,601.86,607.55,59293.0,604.927,244
2024-09-18 15:00:00,607.48,610.35,605.63,608.86,38178.0,608.049,275
2024-09-18 16:00:00,609.02,610.2,608.32,608.87,31400.0,609.331,245
2024-09-18 17:00:00,608.97,609.12,607.3,608.39,26111.0,608.11,192
2024-09-18 18:00:00,608.45,609.25,607.78,609.08,39884.0,608.66,211
2024-09-18 19:00:00,608.89,614.92,608.63,610.51,62105.0,611.51,407
2024-09-18 20:00:00,610.23,614.9,608.5,610.13,176461.0,611.066,1301
2024-09-19 14:30:00,617.61,617.61,611.81,615.31,54081.0,615.853,214
2024-09-19 15:00:00,616.37,617.31,612.81,615.42,71086.0,615.293,524
2024-09-19 16:00:00,615.26,618.22,614.58,618.02,58794.0,616.572,414
2024-09-19 17:00:00,617.9,621.71,617.9,620.83,55507.0,620.329,441
2024-09-19 18:00:00,620.9,623.75,620.9,622.05,62284.0,622.348,308
2024-09-19 19:00:00,622.02,623.02,619.33,621.09,53133.0,621.169,364
2024-09-19 20:00:00,621.21,621.58,618.72,620.25,170277.0,620.424,1067
2024-09-20 14:30:00,619.04,619.04,611.38,611.8,357894.0,617.058,302
2024-09-20 15:00:00,611.92,614.65,610.15,610.39,53777.0,612.293,352
2024-09-20 16:00:00,610.38,612.36,608.2,611.04,30278.0,610.546,239
2024-09-20 17:00:00,611.22,612.95,610.26,612.4,62998.0,611.497,222
2024-09-20 18:00:00,612.43,615.72,612.42,614.86,24296.0,613.996,193
2024-09-20 19:00:00,614.9,615.41,612.18,613.95,31870.0,613.618,273
2024-09-20 20:00:00,613.95,616.46,612.8,613.82,202007.0,614.274,1335
2024-09-23 14:30:00,615.64,616.41,609.21,611.43,38948.0,613.639,212
2024-09-23 15:00:00,610.97,612.46,610.13,611.4,36373.0,611.17,235
2024-09-23 16:00:00,611.4,611.75,608.89,609.19,33593.0,610.553,242
2024-09-23 17:00:00,609.05,609.97,607.8,608.1,29142.0,608.708,200
2024-09-23 18:00:00,608.45,610.64,608.18,608.92,22564.0,609.612,204
2024-09-23 19:00:00,608.77,609.81,608.18,608.76,30115.0,608.871,236
2024-09-23 20:00:00,608.37,611.23,608.0,610.32,74986.0,610.091,578
2024-09-24 14:30:00,611.21,612.49,607.82,609.52,91446.0,610.489,552
2024-09-24 15:00:00,609.52,613.96,607.81,611.58,97777.0,611.051,615
2024-09-24 16:00:00,612.18,613.27,609.45,609.96,52595.0,612.139,218
2024-09-24 17:00:00,609.98,610.92,608.79,610.25,39707.0,609.617,227
2024-09-24 18:00:00,610.26,610.7,609.42,610.0,35866.0,610.081,276
2024-09-24 19:00:00,610.2,612.23,609.06,611.82,39559.0,610.569,328
2024-09-24 20:00:00,611.88,613.95,611.68,612.3,162594.0,612.347,1257
2024-09-25 14:30:00,613.87,613.91,604.32,605.39,54133.0,609.43,283
2024-09-25 15:00:00,605.39,607.09,599.74,600.25,71457.0,603.219,520
2024-09-25 16:00:00,600.25,601.96,599.75,600.36,53345.0,600.845,396
2024-09-25 17:00:00,600.22,601.45,599.17,600.43,77240.0,599.739,639
2024-09-25 18:00:00,600.43,600.43,596.0,598.32,120130.0,597.98,940
2024-09-25 19:00:00,598.1,598.86,596.3,597.75,48489.0,597.398,353
2024-09-25 20:00:00,597.77,599.93,597.01,599.75,104373.0,598.647,818
2024-09-26 14:30:00,604.56,615.26,604.56,611.87,127287.0,609.708,782
2024-09-26 15:00:00,611.26,616.0,610.37,615.88,77351.0,613.309,507
2024-09-26 16:00:00,616.19,616.9,614.5,615.86,52393.0,615.45,379
2024-09-26 17:00:00,615.94,616.85,614.88,615.46,31082.0,615.685,198
2024-09-26 18:00:00,615.6,616.61,614.53,614.93,39378.0,615.502,290
2024-09-26 19:00:00,614.61,616.51,614.61,616.19,40162.0,615.793,323
2024-09-26 20:00:00,616.16,620.54,616.1,619.47,138615.0,618.891,1051
2024-09-27 14:30:00,619.39,623.77,618.15,620.74,42371.0,620.385,174
2024-09-27 15:00:00,620.79,622.46,618.76,620.95,47121.0,620.854,333
2024-09-27 16:00:00,620.55,622.75,618.21,618.22,28049.0,620.736,211
2024-09-27 17:00:00,618.89,619.04,616.5,616.82,21005.0,617.571,157
2024-09-27 18:00:00,617.07,617.56,616.0,616.76,26650.0,616.72,150
2024-09-27 19:00:00,616.95,617.64,615.26,616.48,27225.0,616.403,217
2024-09-27 20:00:00,616.31,616.95,614.04,614.17,68021.0,615.116,512
2024-07-30 14:30:00,609.81,614.79,608.19,610.79,66825.0,610.558,359
2024-07-30 15:00:00,610.45,610.69,604.86,605.19,118257.0,606.288,729
2024-07-30 16:00:00,605.13,605.76,602.85,604.87,73587.0,604.194,609
2024-07-30 17:00:00,604.62,606.46,603.13,605.75,43262.0,604.817,355
2024-07-30 18:00:00,605.23,607.89,605.05,607.63,46576.0,606.123,348
2024-07-30 19:00:00,608.25,610.67,607.74,610.25,80327.0,609.508,624
2024-07-30 20:00:00,610.3,615.74,609.77,615.13,195895.0,613.888,1473
2024-07-31 14:30:00,614.23,615.96,609.29,614.41,102593.0,613.839,566
2024-07-31 15:00:00,613.83,620.63,611.92,619.22,161430.0,616.823,994
2024-07-31 16:00:00,619.08,620.36,618.14,619.88,122424.0,619.519,979
2024-07-31 17:00:00,619.29,620.6,619.15,619.49,84347.0,619.874,602
2024-07-31 18:00:00,619.08,619.99,617.42,618.2,29064.0,618.75,230
2024-07-31 19:00:00,617.39,620.0,616.76,619.65,61006.0,618.401,479
2024-07-31 20:00:00,619.62,620.53,612.72,612.76,305182.0,615.144,2367
2024-08-01 14:30:00,616.4,622.3,613.47,616.01,71894.0,618.113,376
2024-08-01 15:00:00,615.39,618.66,612.87,615.3,78647.0,615.036,590
