date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,19.8,19.85,19.62,19.65,2307744.0,19.714,5352
2024-08-29 15:00:00,19.64,19.74,19.64,19.68,2169266.0,19.691,5838
2024-08-29 16:00:00,19.68,19.73,19.65,19.73,2151734.0,19.691,4996
2024-08-29 17:00:00,19.72,19.81,19.72,19.8,2159329.0,19.762,4554
2024-08-29 18:00:00,19.8,19.82,19.78,19.8,1123726.0,19.797,2825
2024-08-29 19:00:00,19.8,19.84,19.79,19.82,1519559.0,19.818,3982
2024-08-29 20:00:00,19.82,19.85,19.76,19.77,4506121.0,19.8,9680
2024-08-30 14:30:00,19.76,19.87,19.73,19.75,1349311.0,19.8,2265
2024-08-30 15:00:00,19.75,19.78,19.7,19.76,1836047.0,19.749,3846
2024-08-30 16:00:00,19.77,19.79,19.7,19.79,2865869.0,19.755,4681
2024-08-30 17:00:00,19.78,19.84,19.75,19.8,1887372.0,19.793,3256
2024-08-30 18:00:00,19.8,19.84,19.79,19.82,1309563.0,19.82,2324
2024-08-30 19:00:00,19.83,19.85,19.8,19.82,1921293.0,19.827,3524
2024-08-30 20:00:00,19.82,19.91,19.82,19.9,4378141.0,19.881,8658
2024-09-03 14:30:00,19.93,20.23,19.92,20.21,4188552.0,20.084,7956
2024-09-03 15:00:00,20.21,20.23,20.02,20.17,4550891.0,20.101,8469
2024-09-03 16:00:00,20.17,20.22,20.14,20.2,4605676.0,20.179,9808
2024-09-03 17:00:00,20.2,20.27,20.18,20.22,4132752.0,20.235,9079
2024-09-03 18:00:00,20.21,20.37,20.21,20.33,5176667.0,20.312,9158
2024-09-03 19:00:00,20.33,20.38,20.3,20.32,5181196.0,20.331,9746
2024-09-03 20:00:00,20.33,20.45,20.3,20.44,12455779.0,20.391,20855
2024-09-04 14:30:00,20.49,20.66,20.48,20.64,4740799.0,20.572,6933
2024-09-04 15:00:00,20.64,20.67,20.53,20.61,5780879.0,20.595,10181
2024-09-04 16:00:00,20.61,20.87,20.59,20.69,10025165.0,20.744,15409
2024-09-04 17:00:00,20.7,20.72,20.61,20.62,2995042.0,20.685,5531
2024-09-04 18:00:00,20.62,20.64,20.25,20.48,7092855.0,20.427,15265
2024-09-04 19:00:00,20.48,20.57,20.39,20.5,4965949.0,20.484,11361
2024-09-04 20:00:00,20.5,20.61,20.45,20.58,12673157.0,20.563,21352
2024-09-05 14:30:00,20.71,20.83,20.6,20.64,5159379.0,20.689,9949
2024-09-05 15:00:00,20.64,20.72,20.6,20.66,5847756.0,20.662,10591
2024-09-05 16:00:00,20.66,20.7,20.62,20.64,5677912.0,20.642,7359
2024-09-05 17:00:00,20.64,20.67,20.52,20.62,4320448.0,20.583,6930
2024-09-05 18:00:00,20.62,20.64,20.56,20.61,3294636.0,20.601,6262
2024-09-05 19:00:00,20.61,20.63,20.52,20.55,3637085.0,20.571,7575
2024-09-05 20:00:00,20.55,20.67,20.54,20.66,10145733.0,20.609,18060
2024-09-06 14:30:00,20.65,20.83,20.65,20.82,2222438.0,20.763,5122
2024-09-06 15:00:00,20.82,20.87,20.78,20.84,4186200.0,20.827,8369
2024-09-06 16:00:00,20.85,20.92,20.74,20.82,4350762.0,20.806,8303
2024-09-06 17:00:00,20.82,20.82,20.76,20.79,2468109.0,20.794,5810
2024-09-06 18:00:00,20.79,20.85,20.78,20.85,3554618.0,20.807,6612
2024-09-06 19:00:00,20.85,20.94,20.84,20.89,7542832.0,20.891,10285
2024-09-06 20:00:00,20.89,21.0,20.84,20.98,19443191.0,20.941,24277
2024-09-09 14:30:00,20.96,21.12,20.92,21.1,4342860.0,21.005,8673
2024-09-09 15:00:00,21.1,21.17,21.03,21.16,5135297.0,21.091,11945
2024-09-09 16:00:00,21.16,21.27,21.13,21.22,6313418.0,21.2,11065
2024-09-09 17:00:00,21.22,21.34,21.2,21.34,4554078.0,21.274,8206
2024-09-09 18:00:00,21.34,21.36,21.3,21.34,4636397.0,21.338,8566
2024-09-09 19:00:00,21.33,21.35,21.28,21.34,4150798.0,21.316,8793
2024-09-09 20:00:00,21.34,21.6,21.33,21.49,19041379.0,21.438,25533
2024-09-10 14:30:00,21.45,21.49,21.33,21.47,2715801.0,21.416,5657
2024-09-10 15:00:00,21.48,21.65,21.44,21.65,7251642.0,21.538,13361
2024-09-10 16:00:00,21.65,21.86,21.63,21.64,11113252.0,21.734,18699
2024-09-10 17:00:00,21.64,21.65,21.47,21.63,5347313.0,21.55,11573
2024-09-10 18:00:00,21.63,21.75,21.6,21.68,5205043.0,21.684,9487
2024-09-10 19:00:00,21.68,21.7,21.61,21.69,4520377.0,21.652,7657
2024-09-10 20:00:00,21.69,21.77,21.62,21.71,14350059.0,21.717,22259
2024-09-11 14:30:00,21.62,21.62,21.27,21.31,3241163.0,21.427,8112
2024-09-11 15:00:00,21.31,21.4,21.28,21.32,5632410.0,21.346,10791
2024-09-11 16:00:00,21.32,21.36,21.27,21.3,3239947.0,21.315,7256
2024-09-11 17:00:00,21.3,21.35,21.25,21.3,2118845.0,21.296,4502
2024-09-11 18:00:00,21.29,21.31,21.24,21.31,2891653.0,21.282,6131
2024-09-11 19:00:00,21.3,21.33,21.27,21.28,2708088.0,21.294,5784
2024-09-11 20:00:00,21.28,21.48,21.27,21.43,7793895.0,21.388,13767
2024-09-12 14:30:00,21.33,21.42,21.28,21.35,2276843.0,21.348,5114
2024-09-12 15:00:00,21.34,21.37,21.17,21.21,3986511.0,21.27,8975
2024-09-12 16:00:00,21.21,21.39,21.21,21.35,4949071.0,21.305,8522
2024-09-12 17:00:00,21.35,21.46,21.33,21.44,2703918.0,21.413,5320
2024-09-12 18:00:00,21.44,21.53,21.42,21.5,2256256.0,21.479,4354
2024-09-12 19:00:00,21.51,21.55,21.47,21.51,2171329.0,21.512,4763
2024-09-12 20:00:00,21.51,21.64,21.5,21.6,8682888.0,21.588,15654
2024-09-13 14:30:00,21.57,21.65,21.43,21.62,2363277.0,21.559,5580
2024-09-13 15:00:00,21.63,21.67,21.57,21.62,3562988.0,21.622,9847
2024-09-13 16:00:00,21.62,21.67,21.56,21.64,3121054.0,21.621,8242
2024-09-13 17:00:00,21.64,21.66,21.59,21.63,2748325.0,21.622,6117
2024-09-13 18:00:00,21.63,21.63,21.56,21.61,2541297.0,21.586,6258
2024-09-13 19:00:00,21.61,21.62,21.52,21.54,3688973.0,21.567,7984
2024-09-13 20:00:00,21.54,21.65,21.53,21.63,7380856.0,21.61,16095
2024-09-16 14:30:00,21.84,22.08,21.79,22.06,5413723.0,21.955,8845
2024-09-16 15:00:00,22.06,22.2,22.0,22.06,6040426.0,22.093,12811
2024-09-16 16:00:00,22.05,22.21,22.04,22.14,5942682.0,22.121,10336
2024-09-16 17:00:00,22.14,22.19,22.12,22.14,4257486.0,22.154,9035
2024-09-16 18:00:00,22.13,22.29,22.13,22.26,6137487.0,22.231,9325
2024-09-16 19:00:00,22.27,22.27,22.2,22.25,3511011.0,22.239,6335
2024-09-16 20:00:00,22.25,22.34,22.21,22.28,13016612.0,22.275,22728
