date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,7.61,7.61,7.46,7.51,361920.0,7.523,1051
2024-08-29 15:00:00,7.51,7.63,7.51,7.57,517845.0,7.593,1510
2024-08-29 16:00:00,7.57,7.59,7.53,7.56,308934.0,7.563,999
2024-08-29 17:00:00,7.56,7.56,7.49,7.54,376354.0,7.525,1092
2024-08-29 18:00:00,7.54,7.57,7.49,7.56,293112.0,7.527,1136
2024-08-29 19:00:00,7.56,7.57,7.53,7.57,332982.0,7.554,1165
2024-08-29 20:00:00,7.57,7.57,7.46,7.48,882841.0,7.514,2458
2024-08-30 14:30:00,7.5,7.56,7.46,7.47,258715.0,7.508,651
2024-08-30 15:00:00,7.47,7.51,7.43,7.47,246890.0,7.467,801
2024-08-30 16:00:00,7.47,7.5,7.44,7.48,200717.0,7.473,671
2024-08-30 17:00:00,7.49,7.5,7.42,7.42,169512.0,7.464,565
2024-08-30 18:00:00,7.42,7.43,7.39,7.42,188241.0,7.412,519
2024-08-30 19:00:00,7.42,7.44,7.4,7.44,148745.0,7.419,566
2024-08-30 20:00:00,7.44,7.46,7.4,7.46,724149.0,7.439,1976
2024-09-03 14:30:00,7.38,7.54,7.38,7.54,309005.0,7.468,730
2024-09-03 15:00:00,7.53,7.68,7.49,7.68,444363.0,7.575,1359
2024-09-03 16:00:00,7.68,7.73,7.65,7.69,381545.0,7.684,1157
2024-09-03 17:00:00,7.69,7.85,7.68,7.85,442508.0,7.791,1385
2024-09-03 18:00:00,7.86,7.86,7.8,7.82,240057.0,7.83,850
2024-09-03 19:00:00,7.82,7.87,7.81,7.85,220493.0,7.846,760
2024-09-03 20:00:00,7.85,7.89,7.81,7.89,1178757.0,7.86,3127
2024-09-04 14:30:00,7.8,8.0,7.8,7.88,219367.0,7.867,781
2024-09-04 15:00:00,7.87,7.87,7.75,7.85,635802.0,7.8,2137
2024-09-04 16:00:00,7.84,7.94,7.81,7.9,422600.0,7.871,1315
2024-09-04 17:00:00,7.9,7.97,7.89,7.93,277486.0,7.927,868
2024-09-04 18:00:00,7.93,7.93,7.86,7.86,186462.0,7.895,507
2024-09-04 19:00:00,7.86,7.87,7.82,7.87,185611.0,7.853,671
2024-09-04 20:00:00,7.87,7.92,7.85,7.9,762775.0,7.893,2033
2024-09-05 14:30:00,7.91,7.95,7.8,7.82,106698.0,7.843,308
2024-09-05 15:00:00,7.83,7.89,7.75,7.76,164913.0,7.817,641
2024-09-05 16:00:00,7.76,7.76,7.7,7.7,124376.0,7.724,461
2024-09-05 17:00:00,7.7,7.71,7.65,7.65,78903.0,7.678,418
2024-09-05 18:00:00,7.65,7.66,7.6,7.65,95033.0,7.629,476
2024-09-05 19:00:00,7.65,7.66,7.58,7.58,183056.0,7.619,673
2024-09-05 20:00:00,7.58,7.58,7.52,7.54,530360.0,7.546,1852
2024-09-06 14:30:00,7.53,7.62,7.51,7.53,156060.0,7.564,499
2024-09-06 15:00:00,7.52,7.57,7.48,7.54,264134.0,7.532,1123
2024-09-06 16:00:00,7.54,7.59,7.46,7.46,238060.0,7.511,1052
2024-09-06 17:00:00,7.46,7.49,7.44,7.49,150673.0,7.468,543
2024-09-06 18:00:00,7.49,7.54,7.48,7.53,90095.0,7.511,430
2024-09-06 19:00:00,7.53,7.56,7.5,7.54,131226.0,7.537,533
2024-09-06 20:00:00,7.55,7.58,7.5,7.5,413948.0,7.533,1673
