date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,46.37,46.37,45.51,45.67,301160.0,45.898,1691
2024-08-29 15:00:00,45.69,46.23,45.68,45.98,642134.0,46.008,3213
2024-08-29 16:00:00,45.99,46.41,45.92,46.41,456761.0,46.204,2768
2024-08-29 17:00:00,46.4,46.56,46.39,46.45,666629.0,46.488,2945
2024-08-29 18:00:00,46.45,46.75,46.38,46.7,564300.0,46.609,1958
2024-08-29 19:00:00,46.69,46.77,46.49,46.62,1135163.0,46.648,5494
2024-08-29 20:00:00,46.62,46.75,46.41,46.54,1400475.0,46.556,8282
2024-08-30 14:30:00,46.67,47.01,46.6,46.98,590075.0,46.858,1681
2024-08-30 15:00:00,46.96,47.15,46.93,47.0,584490.0,47.048,3202
2024-08-30 16:00:00,46.99,47.1,46.82,46.98,512112.0,46.98,2674
2024-08-30 17:00:00,46.98,47.17,46.82,46.89,1482685.0,46.971,3783
2024-08-30 18:00:00,46.88,46.96,46.8,46.91,999137.0,46.896,2658
2024-08-30 19:00:00,46.91,47.06,46.88,47.0,783413.0,46.967,2720
2024-08-30 20:00:00,46.99,47.31,46.89,47.23,2392722.0,47.095,10003
2024-09-03 14:30:00,47.28,47.31,46.71,46.8,891418.0,47.005,2916
2024-09-03 15:00:00,46.82,46.87,46.43,46.65,586482.0,46.552,3470
2024-09-03 16:00:00,46.65,47.01,46.62,46.98,662072.0,46.906,3050
2024-09-03 17:00:00,46.98,46.99,46.8,46.86,411791.0,46.888,2331
2024-09-03 18:00:00,46.86,46.88,46.67,46.69,343565.0,46.783,1719
2024-09-03 19:00:00,46.68,46.72,46.49,46.51,353421.0,46.632,1980
2024-09-03 20:00:00,46.51,46.57,46.2,46.4,1515522.0,46.361,7182
2024-09-04 14:30:00,46.35,46.81,46.27,46.77,438351.0,46.599,1904
2024-09-04 15:00:00,46.77,46.77,46.52,46.72,673373.0,46.636,2996
2024-09-04 16:00:00,46.72,46.73,46.33,46.38,341329.0,46.484,1671
2024-09-04 17:00:00,46.37,46.44,46.32,46.36,313807.0,46.378,1580
2024-09-04 18:00:00,46.34,46.36,46.09,46.1,229453.0,46.213,1489
2024-09-04 19:00:00,46.11,46.11,45.91,45.97,399743.0,46.001,2341
2024-09-04 20:00:00,45.98,46.17,45.89,46.06,1252560.0,46.013,7534
2024-09-05 14:30:00,46.54,46.54,45.92,45.98,261774.0,46.18,1355
2024-09-05 15:00:00,45.98,46.24,45.7,45.8,489788.0,46.005,2651
2024-09-05 16:00:00,45.83,45.89,45.57,45.59,316486.0,45.678,2030
2024-09-05 17:00:00,45.58,45.6,45.42,45.53,318576.0,45.501,1784
2024-09-05 18:00:00,45.53,45.75,45.47,45.74,290045.0,45.592,1600
2024-09-05 19:00:00,45.75,45.87,45.69,45.83,288230.0,45.761,1684
2024-09-05 20:00:00,45.81,45.81,45.49,45.55,1504144.0,45.597,7085
2024-09-06 14:30:00,45.61,45.94,45.56,45.84,268454.0,45.79,1000
2024-09-06 15:00:00,45.87,45.9,45.18,45.23,497727.0,45.538,3293
2024-09-06 16:00:00,45.23,45.55,44.74,44.8,524705.0,45.047,3216
2024-09-06 17:00:00,44.79,44.83,44.49,44.54,349390.0,44.676,2152
2024-09-06 18:00:00,44.55,44.72,44.51,44.68,697433.0,44.616,3071
2024-09-06 19:00:00,44.67,44.68,44.33,44.43,383172.0,44.43,2178
2024-09-06 20:00:00,44.43,44.55,44.35,44.49,1291724.0,44.449,7260
2024-09-09 14:30:00,44.93,45.02,44.77,44.9,202829.0,44.905,1035
2024-09-09 15:00:00,44.9,45.27,44.9,45.07,395579.0,45.121,2221
2024-09-09 16:00:00,45.05,45.28,44.99,45.23,302750.0,45.131,1901
2024-09-09 17:00:00,45.23,45.44,45.18,45.4,340455.0,45.363,2250
2024-09-09 18:00:00,45.4,45.43,45.27,45.28,313527.0,45.377,1897
2024-09-09 19:00:00,45.28,45.39,45.24,45.34,338323.0,45.329,2045
2024-09-09 20:00:00,45.34,45.44,45.15,45.26,1182927.0,45.277,6722
2024-09-10 14:30:00,45.4,45.4,44.85,44.94,261663.0,45.138,1244
2024-09-10 15:00:00,44.93,44.93,44.12,44.21,649237.0,44.343,3804
2024-09-10 16:00:00,44.2,44.37,44.02,44.12,452587.0,44.175,2634
2024-09-10 17:00:00,44.1,44.31,44.03,44.23,647790.0,44.123,3701
2024-09-10 18:00:00,44.22,44.64,44.21,44.5,526192.0,44.433,2972
2024-09-10 19:00:00,44.51,44.87,44.49,44.86,450047.0,44.723,2714
2024-09-10 20:00:00,44.86,45.05,44.76,45.02,1660851.0,44.911,8343
