date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,270.98,272.05,270.45,271.93,269095.0,271.193,1268
2024-08-29 15:00:00,271.99,273.78,271.99,273.68,591782.0,273.019,3313
2024-08-29 16:00:00,273.73,274.23,273.49,274.18,263791.0,273.818,1822
2024-08-29 17:00:00,274.21,274.76,274.09,274.75,254990.0,274.391,1727
2024-08-29 18:00:00,274.76,275.22,274.53,275.21,387729.0,274.94,2393
2024-08-29 19:00:00,275.2,275.99,273.77,274.38,410939.0,274.88,2954
2024-08-29 20:00:00,274.37,275.19,274.1,274.36,775752.0,274.544,5658
2024-08-30 14:30:00,275.0,276.36,274.89,276.08,288135.0,275.664,1585
2024-08-30 15:00:00,276.18,276.53,275.47,275.56,280784.0,275.919,1887
2024-08-30 16:00:00,275.56,275.72,274.56,274.9,192380.0,275.184,1351
2024-08-30 17:00:00,274.86,275.23,274.26,275.04,142777.0,274.815,1038
2024-08-30 18:00:00,275.06,275.82,275.01,275.05,185868.0,275.298,1305
2024-08-30 19:00:00,275.06,275.93,274.61,275.54,187336.0,275.47,1321
2024-08-30 20:00:00,275.54,276.99,275.45,276.19,951899.0,276.243,5940
2024-09-03 14:30:00,276.37,280.79,276.37,279.57,641293.0,278.674,3260
2024-09-03 15:00:00,279.57,280.22,278.58,279.97,539816.0,279.718,3782
2024-09-03 16:00:00,279.94,281.85,279.92,281.85,496784.0,280.995,3268
2024-09-03 17:00:00,281.86,282.09,281.18,281.74,415040.0,281.717,2727
2024-09-03 18:00:00,281.72,281.95,280.94,281.0,290770.0,281.506,2125
2024-09-03 19:00:00,280.97,281.07,278.74,278.81,464866.0,280.116,3380
2024-09-03 20:00:00,278.82,279.8,277.88,278.68,875045.0,278.504,6132
2024-09-04 14:30:00,278.71,281.57,278.7,281.45,556836.0,280.39,3013
2024-09-04 15:00:00,281.35,281.65,280.54,281.17,541756.0,281.146,3674
2024-09-04 16:00:00,281.19,281.44,279.96,280.89,348280.0,280.696,2246
2024-09-04 17:00:00,280.89,280.91,279.83,280.24,370774.0,280.415,2061
2024-09-04 18:00:00,280.2,280.2,279.41,279.69,281885.0,279.825,1888
2024-09-04 19:00:00,279.74,280.94,279.64,280.48,367707.0,280.327,2549
2024-09-04 20:00:00,280.5,280.95,280.25,280.39,846517.0,280.564,5272
2024-09-05 14:30:00,281.0,281.5,278.87,279.87,323418.0,280.008,1840
2024-09-05 15:00:00,279.7,280.73,278.94,279.0,412071.0,279.972,2788
2024-09-05 16:00:00,279.0,279.08,277.52,278.08,344257.0,278.081,2517
2024-09-05 17:00:00,278.07,278.5,277.41,278.23,266663.0,277.902,1730
2024-09-05 18:00:00,278.19,279.0,277.73,278.98,177899.0,278.321,1291
2024-09-05 19:00:00,278.97,279.27,278.63,278.74,205015.0,278.904,1414
2024-09-05 20:00:00,278.7,278.99,277.86,278.7,685512.0,278.381,4231
2024-09-06 14:30:00,277.77,280.28,277.64,280.02,291277.0,279.225,1330
2024-09-06 15:00:00,280.03,280.14,277.54,278.06,386811.0,278.796,2427
2024-09-06 16:00:00,278.02,279.6,277.43,278.24,381862.0,278.305,2461
2024-09-06 17:00:00,278.25,279.39,278.2,278.79,409028.0,278.604,2206
2024-09-06 18:00:00,278.8,279.37,278.66,279.34,373388.0,279.067,2452
2024-09-06 19:00:00,279.31,279.63,278.78,279.05,400587.0,279.242,2314
2024-09-06 20:00:00,279.05,279.65,278.8,279.42,871628.0,279.255,5472
2024-09-09 14:30:00,282.09,284.26,281.65,283.97,810667.0,282.901,4530
2024-09-09 15:00:00,283.91,285.65,283.73,284.93,695900.0,284.732,4164
2024-09-09 16:00:00,284.93,286.29,284.32,286.04,517273.0,285.371,3204
2024-09-09 17:00:00,286.01,286.71,285.88,286.55,299333.0,286.257,2010
2024-09-09 18:00:00,286.57,286.97,286.09,286.1,462388.0,286.626,2875
2024-09-09 19:00:00,286.12,286.17,285.05,285.29,319806.0,285.634,2230
2024-09-09 20:00:00,285.27,285.72,284.82,285.54,1034480.0,285.312,6606
2024-09-10 14:30:00,285.93,286.4,284.65,285.0,459968.0,285.598,2115
2024-09-10 15:00:00,285.0,285.01,283.61,284.51,469658.0,284.278,2914
2024-09-10 16:00:00,284.51,285.29,284.1,284.16,235061.0,284.819,1776
2024-09-10 17:00:00,284.1,284.66,283.57,284.45,264983.0,284.03,1843
2024-09-10 18:00:00,284.47,285.4,284.38,284.63,232839.0,284.839,1536
2024-09-10 19:00:00,284.61,285.73,284.6,285.63,273344.0,285.138,1700
2024-09-10 20:00:00,285.6,286.0,284.92,285.28,724386.0,285.391,5151
2024-09-11 14:30:00,285.02,285.17,282.32,282.85,260391.0,283.609,1395
2024-09-11 15:00:00,282.83,282.85,279.0,279.54,564099.0,280.173,3813
2024-09-11 16:00:00,279.54,280.03,278.3,278.9,472130.0,279.159,3561
2024-09-11 17:00:00,278.85,280.07,278.67,279.96,267983.0,279.402,1919
2024-09-11 18:00:00,279.94,281.83,279.93,281.78,448981.0,281.04,2815
2024-09-11 19:00:00,281.78,283.22,281.5,282.87,328852.0,282.287,2457
2024-09-11 20:00:00,282.86,284.28,282.79,283.88,657331.0,283.84,4669
2024-09-12 14:30:00,284.0,284.55,281.47,281.74,305738.0,282.824,1711
2024-09-12 15:00:00,281.74,283.37,281.58,282.43,277063.0,282.638,1751
2024-09-12 16:00:00,282.41,283.33,282.34,283.18,162531.0,282.955,1151
2024-09-12 17:00:00,283.14,284.72,283.1,284.46,165792.0,283.632,1057
2024-09-12 18:00:00,284.47,285.05,284.3,284.61,152811.0,284.763,1073
2024-09-12 19:00:00,284.63,285.57,284.15,284.94,195692.0,284.913,1301
2024-09-12 20:00:00,284.92,286.0,284.73,285.41,517748.0,285.384,3934
2024-09-13 14:30:00,286.49,288.09,285.55,287.96,318180.0,287.124,1878
2024-09-13 15:00:00,287.97,288.36,287.11,287.78,342827.0,287.751,2425
2024-09-13 16:00:00,287.8,288.45,287.47,288.3,255504.0,287.881,1846
2024-09-13 17:00:00,288.32,288.34,287.12,287.74,290817.0,287.613,2049
2024-09-13 18:00:00,287.74,288.74,287.74,288.34,320515.0,288.282,2168
2024-09-13 19:00:00,288.35,288.36,287.56,287.78,304522.0,287.857,2261
2024-09-13 20:00:00,287.76,287.96,287.24,287.41,420418.0,287.632,3048
2024-09-16 14:30:00,288.05,290.9,288.05,289.64,458153.0,289.419,2359
2024-09-16 15:00:00,289.6,290.0,287.74,288.6,271540.0,289.032,2175
2024-09-16 16:00:00,288.64,289.82,288.5,289.63,190232.0,289.052,1486
