date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,135.81,135.99,134.64,134.94,50502.0,135.393,256
2024-08-29 15:00:00,134.87,136.36,134.87,136.22,154855.0,135.831,652
2024-08-29 16:00:00,136.24,136.67,136.24,136.5,121385.0,136.418,867
2024-08-29 17:00:00,136.51,136.53,136.14,136.28,112622.0,136.361,662
2024-08-29 18:00:00,136.26,136.27,135.83,136.06,68553.0,136.02,485
2024-08-29 19:00:00,136.04,136.08,135.61,135.77,84370.0,135.891,489
2024-08-29 20:00:00,135.78,135.91,135.24,135.24,307096.0,135.491,2150
2024-08-30 14:30:00,135.44,135.9,135.0,135.31,137400.0,135.473,307
2024-08-30 15:00:00,135.29,135.49,134.85,135.01,68097.0,135.143,529
2024-08-30 16:00:00,135.03,135.28,134.91,135.2,76762.0,135.089,482
2024-08-30 17:00:00,135.2,135.35,134.95,135.08,97200.0,135.105,540
2024-08-30 18:00:00,135.09,135.19,134.5,134.64,58783.0,134.692,382
2024-08-30 19:00:00,134.66,134.8,134.41,134.77,109987.0,134.577,567
2024-08-30 20:00:00,134.77,135.0,134.6,134.89,380691.0,134.756,2954
2024-09-03 14:30:00,134.6,135.65,133.78,134.57,53777.0,134.933,255
2024-09-03 15:00:00,134.73,134.81,134.16,134.5,156357.0,134.468,1020
2024-09-03 16:00:00,134.49,134.7,134.06,134.15,80652.0,134.352,579
2024-09-03 17:00:00,134.11,134.17,133.64,133.65,37315.0,133.89,334
2024-09-03 18:00:00,133.65,134.04,133.55,133.61,47501.0,133.757,386
2024-09-03 19:00:00,133.57,133.84,133.46,133.52,82995.0,133.628,590
2024-09-03 20:00:00,133.5,133.58,132.63,133.53,511755.0,133.27,3420
2024-09-04 14:30:00,133.93,134.99,133.68,134.26,92623.0,134.244,301
2024-09-04 15:00:00,134.13,134.64,133.91,134.46,258048.0,134.322,978
2024-09-04 16:00:00,134.5,134.86,134.3,134.31,115492.0,134.59,723
2024-09-04 17:00:00,134.3,134.41,134.01,134.29,60060.0,134.228,477
2024-09-04 18:00:00,134.3,134.3,133.87,134.27,55056.0,134.046,412
2024-09-04 19:00:00,134.28,134.61,134.23,134.43,71721.0,134.454,596
2024-09-04 20:00:00,134.44,134.9,134.35,134.78,323588.0,134.655,2236
2024-09-05 14:30:00,134.8,134.97,133.95,134.24,150601.0,134.725,176
2024-09-05 15:00:00,134.05,134.54,133.86,134.44,56400.0,134.336,435
2024-09-05 16:00:00,134.4,134.51,134.3,134.33,46677.0,134.42,374
2024-09-05 17:00:00,134.36,134.54,134.21,134.42,39583.0,134.342,322
2024-09-05 18:00:00,134.43,134.58,134.25,134.58,76636.0,134.433,388
2024-09-05 19:00:00,134.59,134.76,134.59,134.67,73043.0,134.653,582
2024-09-05 20:00:00,134.66,134.66,134.29,134.5,288049.0,134.488,2058
2024-09-06 14:30:00,134.42,135.48,134.28,135.13,93585.0,135.057,584
2024-09-06 15:00:00,135.13,135.27,134.35,134.5,84343.0,134.884,620
2024-09-06 16:00:00,134.55,135.02,133.97,134.16,79164.0,134.384,665
2024-09-06 17:00:00,134.1,134.28,133.91,133.93,69378.0,134.064,592
2024-09-06 18:00:00,133.92,134.44,133.84,134.41,88029.0,134.13,692
2024-09-06 19:00:00,134.41,134.74,134.32,134.44,101148.0,134.518,833
2024-09-06 20:00:00,134.44,134.53,133.57,133.84,393806.0,133.843,3124
2024-09-09 14:30:00,133.81,134.2,133.05,133.79,66565.0,133.806,433
2024-09-09 15:00:00,133.83,134.03,133.17,133.54,109279.0,133.611,767
2024-09-09 16:00:00,133.54,133.55,132.88,132.95,76379.0,133.156,630
2024-09-09 17:00:00,132.98,133.14,132.7,133.12,68739.0,132.862,589
2024-09-09 18:00:00,133.1,133.11,132.55,132.57,173530.0,132.868,1308
2024-09-09 19:00:00,132.58,132.99,132.57,132.9,162806.0,132.803,936
2024-09-09 20:00:00,132.87,133.2,132.44,133.04,766769.0,132.883,4403
2024-09-10 14:30:00,133.07,134.08,133.07,133.97,161146.0,133.661,810
2024-09-10 15:00:00,133.97,134.17,133.49,133.74,176772.0,133.778,1355
2024-09-10 16:00:00,133.76,133.96,133.32,133.49,180418.0,133.594,1238
2024-09-10 17:00:00,133.45,133.46,132.85,133.19,75663.0,133.201,616
2024-09-10 18:00:00,133.23,133.55,132.83,133.31,356968.0,133.299,1687
2024-09-10 19:00:00,133.31,133.39,133.02,133.31,82820.0,133.225,535
2024-09-10 20:00:00,133.31,133.4,132.81,132.89,339552.0,133.043,2201
2024-09-11 14:30:00,132.43,132.54,130.63,131.16,73817.0,131.321,386
2024-09-11 15:00:00,131.15,131.73,130.87,131.04,163801.0,131.366,617
2024-09-11 16:00:00,131.06,131.65,131.03,131.28,76171.0,131.402,605
2024-09-11 17:00:00,131.27,132.09,131.17,131.99,144599.0,131.712,640
2024-09-11 18:00:00,131.99,132.29,131.91,132.09,71205.0,132.109,551
2024-09-11 19:00:00,132.09,133.0,132.03,132.92,215851.0,132.606,1078
