date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,70.81,71.15,70.39,70.67,197346.0,70.666,1139
2024-08-29 15:00:00,70.69,70.95,70.19,70.83,240543.0,70.546,1753
2024-08-29 16:00:00,70.84,70.95,70.58,70.64,187354.0,70.737,1531
2024-08-29 17:00:00,70.61,70.71,70.4,70.47,153470.0,70.548,1174
2024-08-29 18:00:00,70.45,70.68,70.33,70.57,146548.0,70.501,1146
2024-08-29 19:00:00,70.56,70.71,70.11,70.2,179567.0,70.459,1174
2024-08-29 20:00:00,70.18,70.28,69.9,69.92,509479.0,70.064,3495
2024-08-30 14:30:00,69.97,70.28,69.7,69.72,125710.0,69.962,665
2024-08-30 15:00:00,69.74,69.84,69.25,69.42,346827.0,69.55,1835
2024-08-30 16:00:00,69.39,69.46,68.83,69.27,376103.0,69.113,2146
2024-08-30 17:00:00,69.25,69.26,68.83,68.91,287360.0,69.009,1754
2024-08-30 18:00:00,68.9,69.04,68.81,68.99,204740.0,68.901,1506
2024-08-30 19:00:00,69.0,69.1,68.95,68.99,155152.0,69.02,1193
2024-08-30 20:00:00,68.98,69.15,68.8,69.07,760951.0,68.993,5178
2024-09-03 14:30:00,69.08,70.41,68.68,69.8,304614.0,69.745,1427
2024-09-03 15:00:00,69.78,69.95,69.1,69.18,222408.0,69.35,1568
2024-09-03 16:00:00,69.19,69.45,68.77,68.84,189113.0,69.178,1456
2024-09-03 17:00:00,68.84,69.23,68.73,69.16,205642.0,68.997,1539
2024-09-03 18:00:00,69.14,69.2,68.84,68.88,165257.0,69.061,1281
2024-09-03 19:00:00,68.88,69.28,68.82,69.0,311460.0,69.077,1962
2024-09-03 20:00:00,69.0,69.15,68.6,68.95,646815.0,68.852,4506
2024-09-04 14:30:00,68.54,69.23,68.34,68.38,219098.0,68.836,1208
2024-09-04 15:00:00,68.36,68.77,68.0,68.69,233967.0,68.442,1787
2024-09-04 16:00:00,68.67,68.69,68.11,68.14,159011.0,68.315,1378
2024-09-04 17:00:00,68.15,68.49,68.01,68.46,187379.0,68.268,1143
2024-09-04 18:00:00,68.46,68.63,68.21,68.36,144589.0,68.421,1178
2024-09-04 19:00:00,68.36,68.64,68.28,68.29,143050.0,68.469,1182
2024-09-04 20:00:00,68.28,68.39,68.06,68.19,491815.0,68.226,3756
