date,open,high,low,close,volume,average,barCount
2024-08-29 14:30:00,195.94,199.86,195.8,199.55,81890.0,198.288,397
2024-08-29 15:00:00,199.77,200.89,199.0,200.01,102270.0,200.015,648
2024-08-29 16:00:00,200.15,200.66,199.28,199.84,70682.0,200.068,445
2024-08-29 17:00:00,200.05,200.93,199.37,199.91,49547.0,200.111,330
2024-08-29 18:00:00,199.76,199.92,198.71,199.52,37025.0,199.282,237
2024-08-29 19:00:00,199.5,199.98,197.44,198.04,102947.0,198.824,760
2024-08-29 20:00:00,198.06,198.46,196.6,197.19,160055.0,197.483,1279
2024-08-30 14:30:00,198.5,200.0,198.42,199.68,69925.0,199.052,405
2024-08-30 15:00:00,199.73,200.41,198.7,198.72,77043.0,199.678,550
2024-08-30 16:00:00,198.71,198.85,197.7,198.18,67759.0,198.215,455
2024-08-30 17:00:00,198.05,198.62,197.57,198.58,45222.0,198.083,339
2024-08-30 18:00:00,198.68,198.97,198.11,198.16,40025.0,198.61,314
2024-08-30 19:00:00,198.13,199.31,198.13,199.05,34420.0,198.76,274
2024-08-30 20:00:00,199.01,200.11,199.01,199.98,169800.0,199.619,1211
2024-09-03 14:30:00,199.99,200.75,197.8,199.71,196221.0,199.57,1136
2024-09-03 15:00:00,199.52,199.84,196.33,196.35,307014.0,198.283,2251
2024-09-03 16:00:00,196.35,197.57,196.31,196.52,219884.0,196.931,1613
2024-09-03 17:00:00,196.6,196.79,194.46,194.63,205467.0,195.674,1311
2024-09-03 18:00:00,194.63,195.1,193.39,193.44,214037.0,194.458,1654
2024-09-03 19:00:00,193.47,193.65,191.9,192.09,187988.0,192.689,1446
2024-09-03 20:00:00,192.03,193.64,190.47,193.22,813389.0,192.22,5460
2024-09-04 14:30:00,158.74,163.36,157.68,161.72,1690853.0,159.835,9535
2024-09-04 15:00:00,161.47,162.75,159.11,162.1,1282514.0,161.367,8555
2024-09-04 16:00:00,162.05,163.48,158.35,158.86,921525.0,160.393,5251
2024-09-04 17:00:00,158.91,159.86,156.83,158.81,752648.0,158.37,4647
2024-09-04 18:00:00,158.83,159.3,158.23,159.02,432424.0,158.76,3057
2024-09-04 19:00:00,159.07,159.13,156.03,156.41,512530.0,157.536,3481
2024-09-04 20:00:00,156.46,157.41,156.0,157.17,997198.0,156.868,6721
2024-09-05 14:30:00,156.5,159.47,155.88,158.62,340529.0,157.981,1701
2024-09-05 15:00:00,158.74,159.65,156.03,156.51,458652.0,157.72,2949
2024-09-05 16:00:00,156.43,156.89,156.07,156.45,204300.0,156.383,1552
2024-09-05 17:00:00,156.49,159.75,156.32,159.53,311383.0,158.234,2004
2024-09-05 18:00:00,159.58,163.3,159.57,162.95,641920.0,162.107,3939
2024-09-05 19:00:00,162.99,163.22,162.18,163.09,222147.0,162.716,1629
2024-09-05 20:00:00,163.08,163.49,161.0,162.3,771556.0,162.245,5494
2024-09-06 14:30:00,163.27,164.88,160.06,160.08,233513.0,162.7,1112
2024-09-06 15:00:00,160.19,161.74,158.12,158.47,276817.0,159.964,1923
2024-09-06 16:00:00,158.47,160.24,158.15,158.61,173559.0,158.793,1226
2024-09-06 17:00:00,158.59,158.96,156.7,156.88,195706.0,157.76,1399
2024-09-06 18:00:00,156.81,157.17,155.62,155.68,324650.0,156.406,2297
2024-09-06 19:00:00,155.68,157.05,155.28,156.96,336659.0,156.049,2110
2024-09-06 20:00:00,156.94,158.1,156.68,156.81,580371.0,157.413,4047
2024-09-09 14:30:00,158.0,159.88,157.2,159.62,176554.0,158.926,1011
2024-09-09 15:00:00,159.55,159.55,157.47,157.8,142940.0,158.652,1082
2024-09-09 16:00:00,157.8,159.69,157.62,159.63,124464.0,158.455,951
2024-09-09 17:00:00,159.69,161.2,159.65,161.02,145287.0,160.548,967
2024-09-09 18:00:00,161.02,161.03,158.74,158.81,121437.0,160.144,968
2024-09-09 19:00:00,158.78,160.08,158.74,160.06,134691.0,159.384,1072
2024-09-09 20:00:00,160.01,160.84,158.75,159.14,336027.0,159.616,2672
2024-09-10 14:30:00,160.0,160.19,156.09,156.39,167716.0,157.562,886
2024-09-10 15:00:00,156.45,157.43,155.5,156.19,246924.0,156.226,1130
2024-09-10 16:00:00,156.04,156.28,153.7,153.75,215972.0,155.103,1250
2024-09-10 17:00:00,153.7,154.94,153.45,154.6,91447.0,154.298,612
2024-09-10 18:00:00,154.57,155.43,154.31,155.11,100652.0,154.841,620
2024-09-10 19:00:00,155.18,156.08,155.14,155.8,104180.0,155.593,694
2024-09-10 20:00:00,155.79,156.57,155.56,155.89,270507.0,156.072,1986
2024-09-11 14:30:00,155.76,156.91,155.05,156.01,74993.0,156.062,440
2024-09-11 15:00:00,156.03,156.48,154.66,155.52,259290.0,155.563,2117
2024-09-11 16:00:00,155.5,158.6,155.37,158.4,168649.0,157.433,1170
2024-09-11 17:00:00,158.4,159.95,158.29,159.27,82069.0,159.361,580
2024-09-11 18:00:00,159.32,160.3,159.26,160.19,97950.0,159.765,644
2024-09-11 19:00:00,160.19,161.03,159.74,160.32,106032.0,160.503,742
2024-09-11 20:00:00,160.3,162.23,159.98,161.66,355818.0,161.528,2559
2024-09-12 14:30:00,162.98,163.73,162.0,162.64,83603.0,162.929,483
2024-09-12 15:00:00,162.66,168.19,162.51,166.87,406711.0,166.067,2682
2024-09-12 16:00:00,166.98,168.58,166.41,167.5,411953.0,167.785,1239
2024-09-12 17:00:00,167.47,168.72,166.7,167.01,183703.0,167.684,1319
2024-09-12 18:00:00,167.11,168.15,167.03,167.89,120497.0,167.748,893
2024-09-12 19:00:00,167.88,168.54,167.43,168.0,160529.0,167.959,1317
2024-09-12 20:00:00,167.93,168.1,166.25,166.76,432749.0,167.087,3422
2024-09-13 14:30:00,167.22,169.19,166.98,168.77,95036.0,168.051,499
2024-09-13 15:00:00,168.93,171.78,168.35,170.46,321083.0,170.399,2265
2024-09-13 16:00:00,170.5,170.96,169.14,169.85,147957.0,169.922,1160
2024-09-13 17:00:00,169.84,170.26,168.83,169.5,100531.0,169.381,685
2024-09-13 18:00:00,169.52,169.84,169.2,169.38,85778.0,169.526,647
2024-09-13 19:00:00,169.42,169.54,168.5,169.01,109820.0,169.085,880
2024-09-13 20:00:00,168.97,170.47,168.84,170.08,318224.0,169.795,2369
2024-09-16 14:30:00,170.0,171.31,169.38,169.8,146025.0,170.487,1075
2024-09-16 15:00:00,169.83,170.87,168.74,169.97,114043.0,169.941,935
2024-09-16 16:00:00,169.8,171.87,169.61,170.72,78828.0,170.655,387
2024-09-16 17:00:00,170.85,171.97,170.11,171.79,31585.0,171.084,233
2024-09-16 18:00:00,171.97,172.39,171.66,172.09,72422.0,172.048,468
2024-09-16 19:00:00,172.06,172.18,171.08,171.36,40897.0,171.631,271
2024-09-16 20:00:00,171.36,172.01,170.77,171.78,185692.0,171.582,1546
2024-09-17 14:30:00,172.56,173.47,170.62,171.15,161453.0,171.894,776
2024-09-17 15:00:00,171.19,172.48,170.61,171.2,169140.0,171.337,1091
2024-09-17 16:00:00,171.2,172.08,170.8,171.6,175874.0,171.67,1036
2024-09-17 17:00:00,171.69,171.87,169.55,170.14,180354.0,170.295,896
2024-09-17 18:00:00,170.06,171.14,169.8,170.91,97590.0,170.549,683
2024-09-17 19:00:00,170.85,172.0,170.8,171.52,90366.0,171.376,591
2024-09-17 20:00:00,171.54,171.9,170.11,170.32,208034.0,170.66,1618
2024-09-18 14:30:00,170.0,170.42,168.58,169.52,109197.0,169.477,492
2024-09-18 15:00:00,169.46,169.49,167.24,167.26,135785.0,168.208,768
2024-09-18 16:00:00,167.31,167.41,166.14,166.25,76529.0,166.814,531
2024-09-18 17:00:00,166.23,168.32,166.21,168.2,55196.0,167.259,403
2024-09-18 18:00:00,168.14,169.08,167.89,168.49,67544.0,168.544,473
2024-09-18 19:00:00,168.45,171.22,168.0,170.11,184083.0,169.999,1136
2024-09-18 20:00:00,170.1,170.1,168.0,168.49,229774.0,168.715,1648
2024-09-19 14:30:00,172.78,173.0,169.38,171.1,153127.0,170.892,703
2024-09-19 15:00:00,171.13,173.13,170.78,172.41,125996.0,172.203,695
2024-09-19 16:00:00,172.42,174.39,172.27,173.4,114548.0,173.51,804
2024-09-19 17:00:00,173.41,174.73,173.34,174.66,100010.0,174.351,672
2024-09-19 18:00:00,174.69,174.78,173.23,173.73,93810.0,173.859,779
2024-09-19 19:00:00,173.73,173.83,172.28,172.52,108829.0,173.02,831
2024-09-19 20:00:00,172.51,172.74,171.65,172.5,237739.0,172.326,1968
