Original Index,Values,Ticker,Forward Return,Monday Datetime,Monday First Hour Close,Friday Last Hour Open
77,5.0,NFLX,20.520399666944222,2022-10-17 14:30:00,240.2,289.49
58,69.0,ISRG,14.489085732363172,2022-10-17 14:30:00,189.66,217.14
104,61.0,T,13.020489094514215,2022-10-17 14:30:00,15.13,17.1
112,107.0,TWLO,10.374124310627506,2022-10-17 14:30:00,67.09,74.05
99,103.0,SNOW,9.900124843945077,2022-10-17 14:30:00,160.2,176.06
76,97.0,NET,8.38670936749399,2022-10-17 14:30:00,49.96,54.15
81,14.0,ORCL,8.191330343796697,2022-10-17 14:30:00,66.9,72.38
5,4.0,AMAT,7.743886405469366,2022-10-17 14:30:00,76.06,81.95
29,45.0,CRM,7.315427183155624,2022-10-17 14:30:00,148.18,159.02
49,124.0,GS,6.464427591188154,2022-10-17 14:30:00,304.59,324.28
51,97.0,HOG,20.133481646273644,2022-10-24 14:30:00,35.96,43.2
97,100.0,SHOP,18.88695652173913,2022-10-24 14:30:00,28.75,34.18
46,89.0,GILD,14.554469884789272,2022-10-24 14:30:00,68.57,78.55
96,67.0,SCHW,14.02214022140223,2022-10-24 14:30:00,70.46,80.34
78,3.0,NOW,12.264664272499722,2022-10-24 14:30:00,367.56,412.64
109,56.0,TSLA,12.186503067484669,2022-10-24 14:30:00,203.75,228.58
79,95.0,NVDA,11.817440912795444,2022-10-24 14:30:00,12.27,13.72
102,102.0,SQ,11.282703488372094,2022-10-24 14:30:00,55.04,61.25
58,126.0,ISRG,11.11565739225313,2022-10-24 14:30:00,219.96,244.41
92,68.0,ROKU,10.951304705157177,2022-10-24 14:30:00,48.67,54.0
93,47.0,RNG,39.526098901098905,2022-11-07 14:30:00,29.12,40.63
76,73.0,NET,36.24075490946188,2022-11-07 14:30:00,39.21,53.42
111,122.0,TROW,30.781204397314916,2022-11-07 14:30:00,102.79,134.43
37,62.0,DOCU,28.879099363680854,2022-11-07 14:30:00,40.86,52.66
112,88.0,TWLO,28.281430219146475,2022-11-07 14:30:00,43.35,55.61
68,79.0,MDB,27.320353982300887,2022-11-07 14:30:00,141.25,179.84
105,103.0,TEAM,26.12456747404846,2022-11-07 14:30:00,115.6,145.8
92,95.0,ROKU,25.58799675587996,2022-11-07 14:30:00,49.32,61.94
97,90.0,SHOP,25.545851528384272,2022-11-07 14:30:00,32.06,40.25
99,78.0,SNOW,23.97763822943787,2022-11-07 14:30:00,130.58,161.89
13,95.0,BABA,11.071181755355916,2022-11-14 14:30:00,72.35,80.36
64,63.0,LNC,8.282652765710974,2022-11-14 14:30:00,34.53,37.39
32,64.0,CSCO,6.028921023359274,2022-11-14 14:30:00,44.95,47.66
122,85.0,WMT,4.82003788676068,2022-11-14 14:30:00,47.51,49.8
96,88.0,SCHW,4.262552301255218,2022-11-14 14:30:00,76.48,79.74
47,37.0,GIS,3.483160455884234,2022-11-14 14:30:00,78.09,80.81
53,65.0,IBM,2.943638392857142,2022-11-14 14:30:00,143.36,147.58
59,78.0,JNJ,2.701598786322789,2022-11-14 14:30:00,171.38,176.01
24,31.0,CI,2.5402446877012186,2022-11-14 14:30:00,310.6,318.49
114,72.0,UAA,2.497285559174795,2022-11-14 14:30:00,9.21,9.44
80,82.0,OKTA,27.245687091017256,2022-11-28 14:30:00,50.43,64.17
13,93.0,BABA,18.73440987265327,2022-11-28 14:30:00,76.17,90.44
120,5.0,WDAY,13.925233644859802,2022-11-28 14:30:00,149.8,170.66
105,23.0,TEAM,12.08293612964729,2022-11-28 14:30:00,125.88,141.09
71,61.0,META,11.68384879725086,2022-11-28 14:30:00,110.58,123.5
77,7.0,NFLX,10.863992240005526,2022-11-28 14:30:00,288.66,320.02
68,52.0,MDB,9.8671209540034,2022-11-28 14:30:00,146.75,161.23
97,22.0,SHOP,8.884401817264017,2022-11-28 14:30:00,39.62,43.14
92,20.0,ROKU,8.63180515759311,2022-11-28 14:30:00,55.84,60.66
102,29.0,SQ,8.555555555555557,2022-11-28 14:30:00,63.0,68.39
68,9.0,MDB,26.743050582644344,2022-12-05 14:30:00,153.61,194.69
37,5.0,DOCU,13.019079685746362,2022-12-05 14:30:00,44.55,50.35
76,24.0,NET,6.721595836947097,2022-12-05 14:30:00,46.12,49.22
34,41.0,DDOG,4.4678784515054994,2022-12-05 14:30:00,72.07,75.29
124,93.0,ZBH,3.4204900509784544,2022-12-05 14:30:00,121.62,125.78
103,43.0,SYK,3.37120895647088,2022-12-05 14:30:00,239.38,247.45
